year,q,y,pchick,pbeef,pcor,pf,cpi,qprod,pop,meatex,time,ln_q,ln_y,ln_pch,ln_pb,z,z_sq,z_cu,z_lag,z_lag_sq
1950,14.3,7863,69.5,31.2,59.8,NA,24.1,2628500,151.684,NA,41,2.6602595372658615,8.969923491991516,1.0591149120741372,0.2582062543188272,0.9087938204599766,0.8259062081062402,0.7505784582064825,NA,NA
1951,15.1,7953,72.9,36.5,72.1,NA,26,2843000,154.287,NA,42,2.714694743820879,8.981304494957135,1.0309921009931304,0.3392157225669637,1.0199575062694213,1.0403133145953365,1.0610753740935353,0.9087938204599766,0.8259062081062402
1952,15.3,8071,73.1,36.2,71.3,NA,26.5,2851200,156.954,NA,43,2.72785282839839,8.996032669324372,1.014683633763556,0.31191438583954895,0.9897515944280737,0.9796082186729141,0.9695687963463618,1.0199575062694213,1.0403133145953365
1953,15.2,8319,71.3,28.5,62.7,NA,26.7,2953900,159.565,NA,44,2.7212954278522306,9.026297334283887,0.9822327620140464,0.06524052186840094,0.8536978822326713,0.7288000741285479,0.6221750798545551,0.9897515944280737,0.9796082186729141
1954,15.8,8276,64.4,27.4,63.4,NA,26.9,3099700,162.391,NA,45,2.760009940032921,9.021115038865434,0.8729873465025145,0.018416726786231068,0.857337574835387,0.7350277172246228,0.6301668805221486,0.8536978822326713,0.7288000741285479
1955,14.7,8675,67,27.1,56.1,NA,26.8,2958100,165.275,NA,46,2.6878474937846906,9.06820060481506,0.9162907318741551,0.011131840368844199,0.7387339250118395,0.5457278119633981,0.40314764851984425,0.857337574835387,0.7350277172246228
1956,16.8,8930,58.8,26.7,57.7,NA,27.2,3492200,168.221,NA,47,2.8213788864092133,9.097171673870545,0.7709248816026295,-0.018553407895747834,0.7520402002121024,0.565564462735059,0.4253272117881239,0.7387339250118395,0.5457278119633981
1957,17.6,8988,57.3,28.7,51.6,NA,28.1,3647100,171.274,NA,48,2.8678989020441064,9.10364563330522,0.7125310473809937,0.021127546425875277,0.6077520961478169,0.36936261037206525,0.22448090069225202,0.7520402002121024,0.565564462735059
1958,19.3,8922,56.6,33.4,50.1,NA,28.9,4144800,174.141,NA,49,2.9601050959108397,9.09627541568821,0.6721673900907509,0.1447143048642682,0.5501794129724327,0.3026973864586906,0.166537870390132,0.6077520961478169,0.36936261037206525
1959,19.8,9167,51.6,34.4,48.6,NA,29.1,4331118,177.073,NA,50,2.9856819377004897,9.1233653579617755,0.5727834983100701,0.16731839020190567,0.5128853567290013,0.26305138914703485,0.1349152055607363,0.5501794129724327,0.3026973864586906
1960,19.2,9210,52.4,33.5,46,51.53361,29.6,4333602,180.671,50,51,2.954910279033736,9.128045129249353,0.5711322299969818,0.1237710775010061,0.44086703515908027,0.1943637426899577,0.08568856698214401,0.5128853567290013,0.26305138914703485
1961,20.6,9361,47.4,33,45.1,51.86824,29.9,4944130,183.691,49,52,3.0252910757955354,9.144307401371744,0.4607637483043901,0.09864908106983963,0.411023766111992,0.1689405363088855,0.06943857548265785,0.44086703515908027,0.1943637426899577
