software,model,model_num,n,k_inst,beta_p,se_p,pval_p,ci_low,ci_high,f_usual,p_f,f_eff_mop,cv5,cv10,cv20,hansen_j,hansen_p,beta_p_stata,se_p_stata,f_usual_stata,f_eff_mop_stata,hansen_p_stata,diff_beta_p,absdiff_beta_p,sqdiff_beta_p,diff_se_p,absdiff_se_p,sqdiff_se_p,diff_f_usual,absdiff_f_usual,sqdiff_f_usual,diff_f_eff_mop,absdiff_f_eff_mop,sqdiff_f_eff_mop,diff_hansen_p,absdiff_hansen_p,sqdiff_hansen_p
Python,Z1,1,52,1,-1.7108604,.9790796,.080565028,-3.6298563,.20813568,2.6611295,.10937251,2.6611295,37.417999,23.108999,15.062,,,-1.7108604,.9406693,2.6611295,2.6611295,,0,0,0,.0384103059768677,.0384103059768677,.0014753516052366,0,0,0,0,0,0,,,
R,Z1,1,52,1,-1.7108604,.9790796,.080565028,-3.6298211,.20810041,2.6611295,.10937251,2.6611295,37.417999,23.108999,15.062,,,-1.7108604,.9406693,2.6611295,2.6611295,,0,0,0,.0384103059768677,.0384103059768677,.0014753516052366,0,0,0,0,0,0,,,
Python,Z2,2,52,2,-.26147324,.081467263,.001329429,-.42114908,-.10179742,29.374477,5.2943387e-09,28.913782,23.816,15.08,10.117,14.59220600128174,.0001334653934464,-.26147324,.07827121,29.374477,28.913782,.0001334653934464,0,0,0,.0031960532069206,.0031960532069206,.0000102147561015,0,0,0,0,0,0,0,0,0
R,Z2,2,52,2,-.26147324,.081467263,.001329429,-.42114615,-.10180035,29.374477,5.2943387e-09,28.913782,23.816,15.08,10.117,14.5922062100569,.0001334653987013,-.26147324,.07827121,29.374477,28.913782,.0001334653934464,0,0,0,.0031960532069206,.0031960532069206,.0000102147561015,0,0,0,0,0,0,5.25488523138e-12,5.25488523138e-12,2.76138187950e-23
Python,Z3,3,52,3,-.25588888,.077032045,.00089422753,-.40687171,-.10490609,23.22373,2.6626956e-09,23.975019,28.391001,17.476,11.37,14.68309593200684,.0006480464944616,-.25588888,.074009992,23.22373,23.975019,.0006480464944616,0,0,0,.0030220523476601,.0030220523476601,9.13280039200e-06,0,0,0,0,0,0,0,0,0
R,Z3,3,52,3,-.25588888,.077032045,.00089422753,-.40686893,-.10490886,23.22373,2.6626956e-09,23.975019,28.391001,17.476,11.37,14.68309615266796,.0006480465185298,-.25588888,.074009992,23.22373,23.975019,.0006480464944616,0,0,0,.0030220523476601,.0030220523476601,9.13280039200e-06,0,0,0,0,0,0,2.40682119417e-11,2.40682119417e-11,5.79278826070e-22
Python,Z4,4,51,1,-2.7391524,2.5405509,.28095675,-7.7186322,2.2403276,.997675,.32298863,.997675,37.417999,23.108999,15.062,,,-2.7391524,2.4388874,.997675,.997675,,0,0,0,.1016635894775391,.1016635894775391,.0103354854254576,0,0,0,0,0,0,,,
R,Z4,4,51,1,-2.7391524,2.5405509,.28095675,-7.7185407,2.240236,.997675,.32298863,.997675,37.417999,23.108999,15.062,,,-2.7391524,2.4388874,.997675,.997675,,0,0,0,.1016635894775391,.1016635894775391,.0103354854254576,0,0,0,0,0,0,,,
Python,Z5,5,51,2,-.2745001,.10841628,.011344362,-.486996,-.062004182,24.222378,6.5213811e-08,22.863237,18.452,11.808,8.0500002,14.51924133300781,.0001387352822348,-.2745001,.10407786,24.222378,22.863237,.0001387352822348,0,0,0,.0043384209275246,.0043384209275246,.0000188218961444,0,0,0,0,0,0,0,0,0
R,Z5,5,51,2,-.2745001,.10841628,.011344362,-.48699209,-.062008087,24.222378,6.5213811e-08,22.863237,18.452,11.808,8.0500002,14.51924115148788,.0001387352771409,-.2745001,.10407786,24.222378,22.863237,.0001387352822348,0,0,0,.0043384209275246,.0043384209275246,.0000188218961444,0,0,0,0,0,0,-5.09397407068e-12,5.09397407068e-12,2.59485718328e-23
Python,Z6,6,51,2,-1.2328457,.65207922,.058672704,-2.510921,.04522961,1.7238084,.18970847,1.5474461,10.947,7.572,5.605,1.996099829673767,.1577045470476151,-1.2328457,.62598538,1.7238084,1.5474461,.1577045470476151,0,0,0,.0260938405990601,.0260938405990601,.0006808885172092,0,0,0,0,0,0,0,0,0
R,Z6,6,51,2,-1.2328457,.65207922,.058672704,-2.5108974,.045206122,1.7238084,.18970847,1.5474461,10.947,7.572,5.605,1.99609977167854,.157704553247735,-1.2328457,.62598538,1.7238084,1.5474461,.1577045470476151,0,0,0,.0260938405990601,.0260938405990601,.0006808885172092,0,0,0,0,0,0,6.20011991748e-09,6.20011991748e-09,3.84414869911e-17
Python,Z7,7,51,4,-.26908898,.088436939,.0023444917,-.44242537,-.095752582,17.309433,1.3429804e-08,12.484454,27.594999,16.774,10.773,15.6990909576416,.0013069760752842,-.26908898,.084898017,17.309433,12.484454,.0013069760752842,0,0,0,.0035389214754105,.0035389214754105,.0000125239652091,0,0,0,0,0,0,0,0,0
R,Z7,7,51,4,-.26908898,.088436939,.0023444917,-.44242218,-.095755763,17.309433,1.3429804e-08,12.484454,27.594999,16.774,10.773,15.69909060430452,.0013069760534716,-.26908898,.084898017,17.309433,12.484454,.0013069760752842,0,0,0,.0035389214754105,.0035389214754105,.0000125239652091,0,0,0,0,0,0,-2.18126014213e-11,2.18126014213e-11,4.75789580763e-22
