model,N,k_inst,beta_p,se_p,pval_p,ci_low,ci_high,F_usual,p_F,F_eff_MOP,cv5,cv10,cv20,hansen_J,hansen_p,software
Z1,52,1,-1.710860374167694,0.9406693,0.068946637,-3.5545382,0.13281752,2.661129392642621,0.10937251,2.6611295,37.417561,23.108509,15.06155,,,Stata
Z1,52,1,-1.71086037448395,0.9790796179650024,0.0805650297273149,-3.62982116369259,0.2081004147246898,2.6611293923502566,0.1093725083589755,2.6611293926361723,37.418,23.109,15.062,,,R
Z1,52,1,-1.710860374250842,0.9790796182384924,0.0805650298531916,-3.629856425998288,0.2081356774966032,2.6611293924164228,0.1093725083546839,2.661129392634808,37.418,23.109,15.062,,,Python
Z2,52,2,-0.2614732498502075,0.07827121,0.00083595881,-0.414882,-0.1080645,29.37447728595109,5.2943387e-09,28.913782,23.816481,15.07971,10.11726,14.5922062100864,0.00013346539,Stata
Z2,52,2,-0.2614732498631369,0.0814672605108394,0.0013294290042232,-0.4211461463835243,-0.1018003533427495,29.374477286129647,5.294338670563111e-09,28.913783069741303,23.816,15.08,10.117,14.592206210056895,0.0001334653987012711,R
Z2,52,2,-0.2614732498658298,0.081467260510143,0.0013294290039434,-0.4211490804657101,-0.1017974192659496,29.37447728615041,5.29433867051426e-09,28.913783069762196,23.816,15.08,10.117,14.592206210190454,0.0001334653986918,Python
Z3,52,3,-0.2558888917816231,0.074009992,0.00054523029,-0.40094581,-0.11083197,23.22372947737356,2.6626956e-09,23.975019,28.39072,17.47649,11.37019,14.68309615217247,0.00064804649,Stata
Z3,52,3,-0.2558888917523325,0.077032043072047,0.0008942275466394723,-0.4068689218290828,-0.1049088616755822,23.22372947738244,2.662695540881487e-09,23.97502034613128,28.391,17.476,11.37,14.683096152667964,0.000648046518529808,R
Z3,52,3,-0.2558888917746316,0.0770320430780795,0.0008942275465454,-0.4068716962076675,-0.1049060873415956,23.22372947711088,2.662695541307039e-09,23.97502034613849,28.391,17.476,11.37,14.683096152105636,0.000648046518712,Python
Z4,51,1,-2.739152315413157,2.4388874,0.26138842,-7.5192838,2.0409791,0.9976750084855468,0.32298863,0.997675,37.417561,23.108509,15.06155,,,Stata
Z4,51,1,-2.7391523150435546,2.5405509150683816,0.2809567496484499,-7.718540609467859,2.24023597938075,0.9976750084278528,0.3229886356012966,0.9976750084844028,37.418,23.109,15.062,,,R
Z4,51,1,-2.7391523154192328,2.540550916951404,0.2809567499390303,-7.718632112643983,2.240327481805518,0.9976750086005765,0.3229886355598468,0.9976750084820082,37.418,23.109,15.062,,,Python
Z5,51,2,-0.2745000933709887,0.10407786,0.0083532063,-0.47848895,-0.070511237,24.22237803710172,6.5213811e-08,22.863237,18.45236,11.80845,8.0496378,14.51924114946047,0.00013873528,Stata
Z5,51,2,-0.2745000933701198,0.1084162812340408,0.0113443621837729,-0.4869920999266056,-0.062008086813634,24.22237803707465,6.52138132342645e-08,22.863237004636105,18.452,11.808,8.05,14.519241151487885,0.00013873527714087347,R
Z5,51,2,-0.2745000933900599,0.1084162812465492,0.0113443621872732,-0.4869960046332963,-0.0620041821468234,24.222378037122155,6.521381323275576e-08,22.863237004777456,18.452,11.808,8.05,14.519241150135242,0.0001387352772404,Python
Z6,51,2,-1.232845651046872,0.62598538,0.048901673,-2.4597545,-0.0059368303,1.723808386491684,0.18970847,1.5474461,10.94662,7.5715942,5.6050191,1.996099771163791,0.15770455,Stata
Z6,51,2,-1.2328456510941912,0.652079214257158,0.0586727025159425,-2.510897426105398,0.0452061239170153,1.723808386312882,0.1897084779337492,1.5474461375361055,10.947,7.572,5.605,1.99609977167854,0.1577045532477349,R
Z6,51,2,-1.2328456510601882,0.6520792141036328,0.0586727024634471,-2.5109209107033084,0.045229608582932,1.723808386460194,0.1897084779077515,1.5474461375317174,10.947,7.572,5.605,1.996099770871407,0.1577045533317381,Python
Z7,51,4,-0.2690889794417178,0.084898017,0.0015267226,-0.43548602,-0.10269193,17.30943284870789,1.3429804e-08,12.484454,27.59524,16.773729,10.77321,15.6990906043444,0.0013069761,Stata
Z7,51,4,-0.2690889794233249,0.0884369385491699,0.0023444915775078,-0.4424221938826798,-0.0957557649639699,17.30943284874199,1.3429803863833049e-08,12.48445455539782,27.595,16.774,10.773,15.69909060430452,0.0013069760534715,R
Z7,51,4,-0.269088979450288,0.0884369385470706,0.00234449157457,-0.4424253790025464,-0.0957525798980295,17.30943284867974,1.3429803864465253e-08,12.4844545554161,27.595,16.774,10.773,15.699090604457307,0.0013069760533774,Python
