software,model,model_num,n,k_inst,beta_p,se_p,pval_p,ci_low,ci_high,f_usual,p_f,f_eff_mop,cv5,cv10,cv20,hansen_j,hansen_p
Python,Z1,1,52,1,-1.7108604,.9790796,.080565028,-3.6298563,.20813568,2.6611295,.10937251,2.6611295,37.417999,23.108999,15.062,,
R,Z1,1,52,1,-1.7108604,.9790796,.080565028,-3.6298211,.20810041,2.6611295,.10937251,2.6611295,37.417999,23.108999,15.062,,
Stata,Z1,1,52,1,-1.7108604,.9406693,.068946637,-3.5545382,.13281752,2.6611295,.10937251,2.6611295,37.417561,23.108509,15.06155,,
Python,Z2,2,52,2,-.26147324,.081467263,.001329429,-.42114908,-.10179742,29.374477,5.2943387e-09,28.913782,23.816,15.08,10.117,14.59220600128174,.0001334653934464
R,Z2,2,52,2,-.26147324,.081467263,.001329429,-.42114615,-.10180035,29.374477,5.2943387e-09,28.913782,23.816,15.08,10.117,14.5922062100569,.0001334653987013
Stata,Z2,2,52,2,-.26147324,.07827121,.00083595881,-.414882,-.1080645,29.374477,5.2943387e-09,28.913782,23.816481,15.07971,10.11726,14.59220600128174,.0001334653934464
Python,Z3,3,52,3,-.25588888,.077032045,.00089422753,-.40687171,-.10490609,23.22373,2.6626956e-09,23.975019,28.391001,17.476,11.37,14.68309593200684,.0006480464944616
R,Z3,3,52,3,-.25588888,.077032045,.00089422753,-.40686893,-.10490886,23.22373,2.6626956e-09,23.975019,28.391001,17.476,11.37,14.68309615266796,.0006480465185298
Stata,Z3,3,52,3,-.25588888,.074009992,.00054523029,-.40094581,-.11083197,23.22373,2.6626956e-09,23.975019,28.39072,17.47649,11.37019,14.68309593200684,.0006480464944616
Python,Z4,4,51,1,-2.7391524,2.5405509,.28095675,-7.7186322,2.2403276,.997675,.32298863,.997675,37.417999,23.108999,15.062,,
R,Z4,4,51,1,-2.7391524,2.5405509,.28095675,-7.7185407,2.240236,.997675,.32298863,.997675,37.417999,23.108999,15.062,,
Stata,Z4,4,51,1,-2.7391524,2.4388874,.26138842,-7.5192838,2.0409791,.997675,.32298863,.997675,37.417561,23.108509,15.06155,,
Python,Z5,5,51,2,-.2745001,.10841628,.011344362,-.486996,-.062004182,24.222378,6.5213811e-08,22.863237,18.452,11.808,8.0500002,14.51924133300781,.0001387352822348
R,Z5,5,51,2,-.2745001,.10841628,.011344362,-.48699209,-.062008087,24.222378,6.5213811e-08,22.863237,18.452,11.808,8.0500002,14.51924115148788,.0001387352771409
Stata,Z5,5,51,2,-.2745001,.10407786,.0083532063,-.47848895,-.070511237,24.222378,6.5213811e-08,22.863237,18.45236,11.80845,8.0496378,14.51924133300781,.0001387352822348
Python,Z6,6,51,2,-1.2328457,.65207922,.058672704,-2.510921,.04522961,1.7238084,.18970847,1.5474461,10.947,7.572,5.605,1.996099829673767,.1577045470476151
R,Z6,6,51,2,-1.2328457,.65207922,.058672704,-2.5108974,.045206122,1.7238084,.18970847,1.5474461,10.947,7.572,5.605,1.99609977167854,.157704553247735
Stata,Z6,6,51,2,-1.2328457,.62598538,.048901673,-2.4597545,-.0059368303,1.7238084,.18970847,1.5474461,10.94662,7.5715942,5.6050191,1.996099829673767,.1577045470476151
Python,Z7,7,51,4,-.26908898,.088436939,.0023444917,-.44242537,-.095752582,17.309433,1.3429804e-08,12.484454,27.594999,16.774,10.773,15.6990909576416,.0013069760752842
R,Z7,7,51,4,-.26908898,.088436939,.0023444917,-.44242218,-.095755763,17.309433,1.3429804e-08,12.484454,27.594999,16.774,10.773,15.69909060430452,.0013069760534716
Stata,Z7,7,51,4,-.26908898,.084898017,.0015267226,-.43548602,-.10269193,17.309433,1.3429804e-08,12.484454,27.59524,16.773729,10.77321,15.6990909576416,.0013069760752842
