software,metric,n,mae,rmse,max_abs,mean_relative_abs
Python,F_eff_MOP,7,4.4706759399255294e-07,6.843138080466001e-07,1.3461384895663286e-06,3.0134991714851165e-08
R,F_eff_MOP,7,4.4704154887411006e-07,6.843048659125577e-07,1.3461312811102744e-06,3.0134427886467404e-08
Python,F_usual,7,1.2618564923120142e-10,1.5826183396542575e-10,2.6268054398315144e-10,3.4161754934854e-11
R,F_usual,7,1.1106694928843451e-10,1.4862821845584993e-10,2.923643549479493e-10,4.013813033523667e-11
Python,beta_p,7,2.1827856982221353e-11,3.3504607301271895e-11,8.314793298325185e-11,3.5716314429766694e-11
R,beta_p,7,1.135227943395632e-10,1.8525161967579973e-10,3.6960257077112146e-10,8.479994622957085e-11
Python,hansen_p,5,6.837048215448983e-10,1.4902053567458317e-09,3.331738107625881e-09,3.722383021080471e-08
R,hansen_p,5,6.668707239903833e-10,1.4526420627101747e-09,3.2477349143356093e-09,3.720433959380982e-08
Python,p_F,7,2.158988125197384e-09,3.7062012803812635e-09,7.907751509161898e-09,2.0840317940338522e-08
R,p_F,7,2.168010396582568e-09,3.7227459440417892e-09,7.933749213151486e-09,2.0904166087187444e-08
Python,pval_p,7,0.0065155920811429974,0.00943671157482096,0.019568329939030293,0.36675759345061876
R,pval_p,7,0.0065155920291215235,0.009436711474246875,0.0195683296484499,0.36675759347184084
Python,se_p,7,0.025751873382195884,0.0423293292453847,0.10166351695140374,0.04131951040707479
R,se_p,7,0.025751873093805572,0.04232932857716758,0.10166351506838156,0.0413195102662696
