year,beefq,vealq,bfvlq,porkq,poultq,fishq,cbfvlq,cporkq,cpoultq,cfishq,bfvlp,porkp,poultp,fishp,cpi,pop,pce,xbfvl,xpork,xpoult,xfish,xtotal,xtotal_calc,w_bfvl,w_pork,w_poult,w_fish,share_sum,share_gap,share_problem,diff_xtotal,ln_p_bfvl,lngp_bfvl,ln_p_pork,lngp_pork,ln_p_poult,lngp_poult,ln_p_fish,lngp_fish,wbar_bfvl,wbar_pork,wbar_poult,wbar_fish,lnP_stone,ln_xtotal,ln_real_x,meat_pce_share,d_bfvl_poult,d_pork_poult,d_poult_poult,d_fish_poult,L1_lngp_bfvl,L2_lngp_bfvl,L1_lngp_pork,L2_lngp_pork,L1_lngp_poult,L2_lngp_poult,L1_lngp_fish,L2_lngp_fish,y_bfvl,y_pork,y_fish
1970,84.40908745,2.469830043,86.87891749,55.38551575,40.1262471,11.74336266,212.8533479,103.5709144,42.13255946,34.40805259,43.5,45.4,53.2,31.3,38.84166667,205.052,648.3,92.59120632,47.02119516,22.41452163,10.76972046,172.7966436,172.79664357,0.5358391483020402,0.27211868349139373,0.1297161864195578,0.06232598178700839,1,0,FALSE,-3.00000237984932e-8,3.7727609380946383,-0.9582157718647384,3.8155121050473024,-0.9110993994331151,3.9740583963475986,-0.8116779035669381,3.4436180975461075,-1.338135560905092,0.4671386771893912,0.24231339235157603,0.1741917988835807,0.11635613157545205,3.77988669708772,5.152115432396589,1.3722287353088691,0.26653808972697823,-0.14653786829780024,-0.09942149586617699,0,-0.5264576573381539,NA,NA,NA,NA,NA,NA,NA,NA,0.5358391483020402,0.27211868349139373,0.06232598178700839
1971,83.939645959999993,2.265254381,86.20490034,60.55895793,40.12886625,11.48988014,211.2020058,113.2452513,42.13530957,33.66534881,45.5,41.1,53.5,34.5,40.48333333,207.661,701.6,96.09691266,46.54379829,22.54239062,11.61454534,176.7976469,176.79764691,0.5435418080474723,0.2632602814770121,0.12750390638103543,0.06569400409448017,1,0,FALSE,1.0000007932831068e-8,3.817712325956905,-0.9132643840024719,3.716008121502189,-1.0106033829782284,3.979681653901961,-0.8060546460125759,3.5409593240373143,-1.2407943344138852,0.4671386771893912,0.24231339235157603,0.1741917988835807,0.11635613157545205,3.789079855052521,5.175005840782394,1.3859259857298727,0.2519920851054732,-0.10720973798989597,-0.20454873696565246,0,-0.4347396884013093,-0.9582157718647384,NA,-0.9110993994331151,NA,-0.8116779035669381,NA,-1.338135560905092,NA,0.5435418080474723,0.2632602814770121,0.06569400409448017
1972,85.29386198,1.931133228,87.22499521,54.66486863,41.45498401,12.49190075,213.7012383,102.2233043,43.52773321,36.6012692,49.7,47.6,54.2,37.6,41.80833333,209.896,770.2,106.2095154,48.65829287,23.5920314,13.76207722,192.2219169,192.22191689000002,0.5525359288804665,0.2531360297371551,0.12273330628317822,0.07159473509920006,1,0,FALSE,-9.999979511121637e-9,3.906004933102583,-0.8249717768567937,3.8628327612373745,-0.863778743243043,3.9926809084456005,-0.7930553914689362,3.6270040503958487,-1.1547496080553508,0.4671386771893912,0.24231339235157603,0.1741917988835807,0.11635613157545205,3.878178518329836,5.258650521720818,1.3804720033909819,0.24957402868086212,-0.03191638538785746,-0.07072335177410682,0,-0.36169421658641454,-0.9132643840024719,-0.9582157718647384,-1.0106033829782284,-0.9110993994331151,-0.8060546460125759,-0.8116779035669381,-1.2407943344138852,-1.338135560905092,0.5525359288804665,0.2531360297371551,0.07159473509920006
1973,80.51974526,1.512032051,82.03177731,48.74997506,39.84086565,12.74131821,200.9778544,91.16245335,41.83290894,37.33206235,59.6,63.3,76,43.1,44.425,211.909,852,119.7828012,57.70583297,31.79301079,16.09011887,225.3717639,225.37176383000002,0.5314898333508773,0.25604730596832015,0.14106918386627065,0.07139367681453176,0.9999999999999999,-1.1102230246251565e-16,FALSE,-6.999997026468918e-8,4.087655574071304,-0.6433211358880726,4.147885329150131,-0.5787261753302868,4.330733340286331,-0.4550029596282057,3.763522997109702,-1.0182306613414975,0.4671386771893912,0.24231339235157603,0.1741917988835807,0.11635613157545205,4.106877390937722,5.417751322374355,1.3108739314366327,0.26452084956572774,-0.1883181762598669,-0.12372321570208111,0,-0.5632277017132918,-0.8249717768567937,-0.9132643840024719,-0.863778743243043,-1.0106033829782284,-0.7930553914689362,-0.8060546460125759,-1.1547496080553508,-1.2407943344138852,0.5314898333508773,0.25604730596832015,0.07139367681453176
1974,85.60552823,1.987219973,87.5927482,52.71794647,39.6991035,12.06898164,214.6022331,98.5825599,41.68405868,35.36211621,61.3,63,72.1,49.7,49.31666667,213.854,932.9,131.5511689,62.10701274,30.05420631,17.57497176,241.2873597,241.28735971000003,0.5452053893668924,0.2573985343229151,0.12455773210052005,0.0728383442096723,0.9999999999999998,-2.220446049250313e-16,FALSE,1.0000036354540498e-8,4.115779842942166,-0.615196867017211,4.143134726391533,-0.583476778088885,4.278054044290903,-0.5076822556236333,3.906004933102583,-0.8757487253486165,0.4671386771893912,0.24231339235157603,0.1741917988835807,0.11635613157545205,4.126266535582974,5.4859885871312475,1.3597220515482737,0.2586422550219745,-0.10751461139357765,-0.07579452246525165,0,-0.36806646972498314,-0.6433211358880726,-0.8249717768567937,-0.5787261753302868,-0.863778743243043,-0.4550029596282057,-0.7930553914689362,-1.0182306613414975,-1.1547496080553508,0.5452053893668924,0.2573985343229151,0.0728383442096723
1975,88.16022004,3.451071847,91.61129189,42.89965264,38.68584925,12.13577623,224.4476651,80.22235044,40.62014171,35.55782436,61.9,77.1,79.7,53.9,53.825,215.973,1033.8,138.9331047,61.85143219,32.37425294,19.16566733,252.3244572,252.32445715999998,0.5506129142760899,0.24512658378882293,0.1283040625723861,0.07595643936270106,1,0,FALSE,-4.000003173132427e-8,4.12552017969055,-0.6054565302688264,4.345103280569283,-0.38150822391113426,4.378269585796169,-0.40746671411836743,3.9871304779149512,-0.7946231805362483,0.4671386771893912,0.24231339235157603,0.1741917988835807,0.11635613157545205,4.20665248913536,5.530715787770187,1.3240632986348269,0.24407473124395435,-0.19798981615045896,0.025958490207233176,0,-0.3871564664178808,-0.615196867017211,-0.6433211358880726,-0.583476778088885,-0.5787261753302868,-0.5076822556236333,-0.4550029596282057,-0.8757487253486165,-1.0182306613414975,0.5506129142760899,0.24512658378882293,0.07595643936270106
1976,94.12567447,3.283801821,97.40947629,45.12382214,42.02227147,12.86032059,238.6532169,84.38154739,44.12338504,37.68073933,59.9,78.1,76.4,60.2,56.93333333,218.035,1151.3,142.9532769,65.90198852,33.71026617,22.68380508,265.2493367,265.24933667,0.5389392437118512,0.2484529814375728,0.12708897444648226,0.08551880040409376,1,0,FALSE,-3.00000237984932e-8,4.092676505121403,-0.6383002048379733,4.35799005684564,-0.36862144763477733,4.335982696172475,-0.44975360374206197,4.097672352314776,-0.6840813061364237,0.4671386771893912,0.24231339235157603,0.1741917988835807,0.11635613157545205,4.19992877242861,5.580670276718109,1.3807415042894995,0.23039115492921045,-0.18854660109591137,0.08113215610728464,0,-0.23432770239436174,-0.6054565302688264,-0.615196867017211,-0.38150822391113426,-0.583476778088885,-0.40746671411836743,-0.5076822556236333,-0.7946231805362483,-0.8757487253486165,0.5389392437118512,0.2484529814375728,0.08551880040409376
1977,91.54518936,3.183373481,94.72856284,46.6806568,42.71486449,12.64081294,232.084979,87.29282822,44.85060771,37.0375819,59.5,73.9,76.9,66.7,60.61666667,220.239,1277.8,138.0905625,64.50940006,34.49011733,24.70406713,261.794147,261.79414701999997,0.5274776539960249,0.24641269025419335,0.1317451811761288,0.09436447457365314,1,0,FALSE,1.9999959022243274e-8,4.085976312551584,-0.6450003974077925,4.302712827954156,-0.4238986765262611,4.3425058765115985,-0.4432304234029383,4.200204952921578,-0.5815487055296211,0.4671386771893912,0.24231339235157603,0.1741917988835807,0.11635613157545205,4.196471021766833,5.567558496541393,1.3710874747745603,0.2048788128189075,-0.2017699740048542,0.01933174687667716,0,-0.13831828212668285,-0.6383002048379733,-0.6054565302688264,-0.36862144763477733,-0.38150822391113426,-0.44975360374206197,-0.40746671411836743,-0.6840813061364237,-0.7946231805362483,0.5274776539960249,0.24641269025419335,0.09436447457365314
1978,87.12660469,2.429266828,89.55587152,46.54530326,44.74533342,13.37017319,219.4118852,87.0397171,46.98260009,39.17460745,73.1,83.4,84.9,73,65.24166667,222.585,1427.6,160.3900881,72.59112406,39.88822748,28.59746344,301.4669031,301.46690308,0.5320321616115764,0.24079301348956558,0.13231378659638432,0.09486103830247367,1,0,FALSE,-2.0000015865662135e-8,4.291828366755733,-0.4391483432036436,4.423648309364701,-0.30296319511571657,4.441474093317302,-0.34426220659723494,4.290459441148391,-0.49129421730280853,0.4671386771893912,0.24231339235157603,0.1741917988835807,0.11635613157545205,4.349677879645817,5.708660235945924,1.3589823563001069,0.21117042804707203,-0.09488613660640866,0.04129901148151838,0,-0.1470320107055736,-0.6450003974077925,-0.6383002048379733,-0.4238986765262611,-0.36862144763477733,-0.4432304234029383,-0.44975360374206197,-0.5815487055296211,-0.6840813061364237,0.5320321616115764,0.24079301348956558,0.09486103830247367
1979,77.94721047,1.680956251,79.62816672,53.16172855,47.67512457,12.98349292,195.0890085,99.41243239,50.0588808,38.04163427,93.1,84.7,89.1,80.1,72.58333333,225.055,1591.2,181.6278669,84.20233023,44.6024628,30.47134905,340.904009,340.90400898,0.5327830184321934,0.2469971839930458,0.1308358412488388,0.08938395632592187,0.9999999999999999,-1.1102230246251565e-16,FALSE,-1.9999959022243274e-8,4.533674184283021,-0.19730252567635542,4.439115601658009,-0.28749590282240867,4.489759334476764,-0.29597696543777285,4.383275854074314,-0.39847780437688574,0.4671386771893912,0.24231339235157603,0.1741917988835807,0.11635613157545205,4.485611998767251,5.831600939062976,1.345988940295725,0.21424334400452488,0.09867443976141743,0.008481062615364188,0,-0.10250083893911288,-0.4391483432036436,-0.6450003974077925,-0.30296319511571657,-0.4238986765262611,-0.34426220659723494,-0.4432304234029383,-0.49129421730280853,-0.5815487055296211,0.5327830184321934,0.2469971839930458,0.08938395632592187
