year,beefq,vealq,bfvlq,porkq,poultq,fishq,cbfvlq,cporkq,cpoultq,cfishq,bfvlp,porkp,poultp,fishp,cpi,pop,pce,xbfvl,xpork,xpoult,xfish,xtotal
1970,84.40908745,2.469830043,86.87891749,55.38551575,40.1262471,11.74336266,212.8533479,103.5709144,42.13255946,34.40805259,43.5,45.4,53.2,31.3,38.84166667,205.052,648.3,92.59120632,47.02119516,22.41452163,10.76972046,172.7966436
1971,83.93964596,2.265254381,86.20490034,60.55895793,40.12886625,11.48988014,211.2020058,113.2452513,42.13530957,33.66534881,45.5,41.1,53.5,34.5,40.48333333,207.661,701.6,96.09691266,46.54379829,22.54239062,11.61454534,176.7976469
1972,85.29386198,1.931133228,87.22499521,54.66486863,41.45498401,12.49190075,213.7012383,102.2233043,43.52773321,36.6012692,49.7,47.6,54.2,37.6,41.80833333,209.896,770.2,106.2095154,48.65829287,23.5920314,13.76207722,192.2219169
1973,80.51974526,1.512032051,82.03177731,48.74997506,39.84086565,12.74131821,200.9778544,91.16245335,41.83290894,37.33206235,59.6,63.3,76,43.1,44.425,211.909,852,119.7828012,57.70583297,31.79301079,16.09011887,225.3717639
1974,85.60552823,1.987219973,87.5927482,52.71794647,39.6991035,12.06898164,214.6022331,98.5825599,41.68405868,35.36211621,61.3,63,72.1,49.7,49.31666667,213.854,932.9,131.5511689,62.10701274,30.05420631,17.57497176,241.2873597
1975,88.16022004,3.451071847,91.61129189,42.89965264,38.68584925,12.13577623,224.4476651,80.22235044,40.62014171,35.55782436,61.9,77.1,79.7,53.9,53.825,215.973,1033.8,138.9331047,61.85143219,32.37425294,19.16566733,252.3244572
1976,94.12567447,3.283801821,97.40947629,45.12382214,42.02227147,12.86032059,238.6532169,84.38154739,44.12338504,37.68073933,59.9,78.1,76.4,60.2,56.93333333,218.035,1151.3,142.9532769,65.90198852,33.71026617,22.68380508,265.2493367
1977,91.54518936,3.183373481,94.72856284,46.6806568,42.71486449,12.64081294,232.084979,87.29282822,44.85060771,37.0375819,59.5,73.9,76.9,66.7,60.61666667,220.239,1277.8,138.0905625,64.50940006,34.49011733,24.70406713,261.794147
1978,87.12660469,2.429266828,89.55587152,46.54530326,44.74533342,13.37017319,219.4118852,87.0397171,46.98260009,39.17460745,73.1,83.4,84.9,73,65.24166667,222.585,1427.6,160.3900881,72.59112406,39.88822748,28.59746344,301.4669031
1979,77.94721047,1.680956251,79.62816672,53.16172855,47.67512457,12.98349292,195.0890085,99.41243239,50.0588808,38.04163427,93.1,84.7,89.1,80.1,72.58333333,225.055,1591.2,181.6278669,84.20233023,44.6024628,30.47134905,340.904009
