linha,coluna,correlacao
Carne bovina e vitela,Carne bovina e vitela,1.0
Carne suína,Carne bovina e vitela,0.9734928267281063
Frango,Carne bovina e vitela,0.9833394850696752
Pescados,Carne bovina e vitela,0.973854433755012
Carne bovina e vitela,Carne suína,0.9734928267281063
Carne suína,Carne suína,1.0
Frango,Carne suína,0.9897249870286625
Pescados,Carne suína,0.9860637373053792
Carne bovina e vitela,Frango,0.9833394850696752
Carne suína,Frango,0.9897249870286625
Frango,Frango,1.0
Pescados,Frango,0.9842049079967343
Carne bovina e vitela,Pescados,0.973854433755012
Carne suína,Pescados,0.9860637373053792
Frango,Pescados,0.9842049079967343
Pescados,Pescados,1.0
