year,produto,observado,previsto,residuo
1971,Carne bovina e vitela,0.5435418080474723,0.5710394120035052,-0.027497603956032846
1972,Carne bovina e vitela,0.5525359288804665,0.5376365770604735,0.014899351819993023
1973,Carne bovina e vitela,0.5314898333508773,0.5808660709899054,-0.0493762376390281
1974,Carne bovina e vitela,0.5452053893668924,0.5445017968041896,0.0007035925627028039
1975,Carne bovina e vitela,0.5506129142760899,0.5419835830739577,0.008629331202132273
1976,Carne bovina e vitela,0.5389392437118512,0.5198831126153095,0.019056131096541695
1977,Carne bovina e vitela,0.5274776539960249,0.5120070737497152,0.015470580246309651
1978,Carne bovina e vitela,0.5320321616115764,0.49801873348576786,0.03401342812580854
1979,Carne bovina e vitela,0.5327830184321934,0.47226483533800456,0.06051818309418888
1980,Carne bovina e vitela,0.5318516912937348,0.4744803697835773,0.05737132151015745
1981,Carne bovina e vitela,0.5217646525333824,0.4663694983841081,0.05539515414927432
1982,Carne bovina e vitela,0.5227225993621734,0.4372635599368734,0.08545903942529998
1983,Carne bovina e vitela,0.5131470626699723,0.44650747278134884,0.06663958988862351
1984,Carne bovina e vitela,0.5035202718939933,0.47881321427258117,0.02470705762141212
1985,Carne bovina e vitela,0.49176570848167517,0.47234004533648144,0.019425663145193728
1986,Carne bovina e vitela,0.47666071140933763,0.4750383224000815,0.0016223890092561533
1987,Carne bovina e vitela,0.45572146183113266,0.4372292205063938,0.018492241324738867
1988,Carne bovina e vitela,0.45566783179855475,0.4510524079430659,0.004615423855488854
1989,Carne bovina e vitela,0.445332100002183,0.4685665644497359,-0.023234464447552894
1990,Carne bovina e vitela,0.4464958726812188,0.44027588157567477,0.006219991105544054
1991,Carne bovina e vitela,0.4420856973362402,0.42949218468106554,0.012593512655174666
1992,Carne bovina e vitela,0.43505327309573755,0.4331264951667785,0.001926777928959067
1993,Carne bovina e vitela,0.4273172414531104,0.43550368276743445,-0.008186441314324056
1994,Carne bovina e vitela,0.4221434793049829,0.4424263131319425,-0.020282833826959557
1995,Carne bovina e vitela,0.4198969319142915,0.4401491082112726,-0.020252176296981117
1996,Carne bovina e vitela,0.4135790458196529,0.4498002368127587,-0.036221190993105834
1997,Carne bovina e vitela,0.4031827540883589,0.44796792268815333,-0.04478516859979442
1998,Carne bovina e vitela,0.3995444218903379,0.45408228167468745,-0.05453785978434955
1999,Carne bovina e vitela,0.39815178586671995,0.45601722831489666,-0.05786544244817671
2000,Carne bovina e vitela,0.40508969931831257,0.44193304036629144,-0.03684334104797887
2001,Carne bovina e vitela,0.4161640232794593,0.4373359523679519,-0.021171929088492636
2002,Carne bovina e vitela,0.4113429540085194,0.44899896271303597,-0.037656008704516575
