produto,year,cook,leverage,rstandard,fitted,observed,produto_nome
bfvl,1971,.0086829919225001,.21369158,-.43783763,-.88995689,-.91326439,Carne bovina e vitela
bfvl,1972,.0000390742528709,.44280639,.017175805,-.82574141,-.82497174,Carne bovina e vitela
bfvl,1973,.2509150887300639,.25117081,2.1185846,-.75337958,-.64332116,Carne bovina e vitela
bfvl,1974,.0131863396063103,.37891832,-.36011341,-.59815961,-.61519688,Carne bovina e vitela
bfvl,1975,.0278467076500952,.17868124,-.87635273,-.55777818,-.60545653,Carne bovina e vitela
bfvl,1976,.1301359493737688,.26487625,-1.4720854,-.56252986,-.63830018,Carne bovina e vitela
bfvl,1977,.0629152502258903,.21690081,-1.1674315,-.58298123,-.6450004,Carne bovina e vitela
bfvl,1978,.1738650021330385,.15584445,2.377099,-.570261,-.43914837,Carne bovina e vitela
bfvl,1979,.1678751177296587,.085547611,3.281296,-.38567266,-.19730255,Carne bovina e vitela
bfvl,1980,.0018035087247432,.12863982,.27073595,-.15710747,-.1419359,Carne bovina e vitela
bfvl,1981,.0208601449951742,.17025624,-.78100669,-.091130383,-.13383873,Carne bovina e vitela
bfvl,1982,.0082193483965888,.11060377,-.6297338,-.084171914,-.11982447,Carne bovina e vitela
bfvl,1983,.0436504201795324,.22108941,-.96057147,-.083954118,-.13484728,Carne bovina e vitela
bfvl,1984,.0083233071219865,.16117202,-.50981808,-.094780043,-.12281099,Carne bovina e vitela
bfvl,1985,.0185213045745503,.072876729,-1.1890106,-.075241461,-.14397053,Carne bovina e vitela
bfvl,1986,.008623937732414,.069427773,-.83279258,-.089651227,-.13787907,Carne bovina e vitela
bfvl,1987,.0009965038052924,.067745492,.2868416,-.08133769,-.064711399,Carne bovina e vitela
bfvl,1988,.0000620812085539,.12285069,.051570777,-.014484919,-.011585397,Carne bovina e vitela
bfvl,1989,.0000954003604111,.096711412,.07311812,.046492834,.050664641,Carne bovina e vitela
bfvl,1990,.0045963517903834,.21919927,.31342441,.11065808,.12728412,Carne bovina e vitela
bfvl,1991,.0007129910083905,.11773726,-.17904395,.16494678,.15485089,Carne bovina e vitela
bfvl,1992,.0058277498036722,.098293059,-.56636626,.18638152,.15409538,Carne bovina e vitela
bfvl,1993,.0000832368980908,.073261887,-.079482779,.19432735,.18973392,Carne bovina e vitela
bfvl,1994,.0046400855303008,.043717172,-.78037935,.22749077,.18167818,Carne bovina e vitela
bfvl,1995,.0066570821380086,.050328057,-.86815906,.22434629,.173557,Carne bovina e vitela
bfvl,1996,.0124501439904325,.085009634,-.89667898,.22207849,.17058748,Carne bovina e vitela
bfvl,1997,.0050778825001159,.14723483,-.42007458,.21083105,.18754332,Carne bovina e vitela
bfvl,1998,.0093227020408818,.11261706,-.66389585,.22289199,.1853479,Carne bovina e vitela
bfvl,1999,.0058944390742855,.15101831,-.44589362,.22959918,.20493501,Carne bovina e vitela
bfvl,2000,.0024238596672661,.16354322,.27273121,.25193688,.26691106,Carne bovina e vitela
bfvl,2001,.0068901415835465,.065841764,.76585966,.30288017,.34731722,Carne bovina e vitela
bfvl,2002,.0035004047557431,.10561378,-.42173246,.37188351,.34794012,Carne bovina e vitela
bfvl,2003,.0155144145538825,.073539086,1.0829234,.37180609,.43438056,Carne bovina e vitela
bfvl,2004,.0592457231448376,.11260236,1.6737459,.44890708,.54356015,Carne bovina e vitela
bfvl,2005,.005492519763634,.15309609,.42696911,.54587495,.56946343,Carne bovina e vitela
bfvl,2006,.0005157782640629,.16504587,.1251227,.5706749,.57753849,Carne bovina e vitela
bfvl,2007,.0135144078200786,.14508015,.69124633,.58279502,.62116414,Carne bovina e vitela
bfvl,2008,.0111789701892455,.12570983,.68299842,.62697256,.66531092,Carne bovina e vitela
bfvl,2009,.0034478315711486,.16561189,-.32283971,.67247325,.65476984,Carne bovina e vitela
bfvl,2010,.0026069138933755,.21608859,.23820812,.67028677,.68294799,Carne bovina e vitela
pork,1971,.4105922662338935,.21369158,-3.0108128,-.84986496,-1.0106034,Carne suina
pork,1972,.002849031432641,.44280639,.14666294,-.87036997,-.86377877,Carne suina
pork,1973,.4753080015196716,.25117081,2.9158821,-.73064125,-.57872617,Carne suina
pork,1974,.1971864779678301,.37891832,-1.3925658,-.51740295,-.58347678,Carne suina
pork,1975,.1339849593712874,.17868124,1.922295,-.48639372,-.38150823,Carne suina
pork,1976,.0347437736021317,.26487625,.76062894,-.40788528,-.36862147,Carne suina
pork,1977,.0153184853683098,.21690081,-.57605153,-.39320779,-.42389864,Carne suina
pork,1978,.0716195329882737,.15584445,1.5256572,-.3873564,-.30296317,Carne suina
pork,1979,.0002388761182951,.085547611,-.12377661,-.28036973,-.28749594,Carne suina
pork,1980,.043033723300915,.12863982,-1.3224865,-.2467884,-.32111248,Carne suina
pork,1981,.0003312664512366,.17025624,-.098420329,-.22697532,-.23237287,Carne suina
pork,1982,.0047826689923127,.11060377,.48036733,-.13876572,-.11149098,Carne suina
pork,1983,.000022932114115,.22108941,-.022016969,-.11927195,-.12044182,Carne suina
pork,1984,.0014506819253277,.16117202,-.21284005,-.12177762,-.13351387,Carne suina
pork,1985,.003176332871941,.072876729,-.49239421,-.10193765,-.13048208,Carne suina
pork,1986,.0044370770162186,.069427773,.59735501,-.086608693,-.051915277,Carne suina
pork,1987,.0032021332907879,.067745492,.51418853,-.0029115262,.026978694,Carne suina
pork,1988,.0126762270749838,.12285069,-.73691702,.037894003,-.0036582758,Carne suina
pork,1989,.0301526485743582,.096711412,-1.2999084,.076926239,.0025446413,Carne suina
pork,1990,.000124784048499,.21919927,.051642317,.13663597,.13938333,Carne suina
pork,1991,.0034634844304576,.11773726,-.39461559,.19429015,.17197433,Carne suina
pork,1992,.0238622437321539,.098293059,-1.1460474,.18937519,.12385507,Carne suina
pork,1993,.002212454341662,.073261887,-.40978143,.17766546,.15391509,Carne suina
pork,1994,.0009408991207529,.043717172,-.35141015,.19117106,.17048171,Carne suina
pork,1995,.0047095395151287,.050328057,-.73020798,.22002304,.17718072,Carne suina
pork,1996,.0036630171117187,.085009634,.4863728,.24394093,.2719512,Carne suina
pork,1997,.000563820741689,.14723483,.13997665,.31482092,.32260323,Carne suina
pork,1998,.0158049723351769,.11261706,-.86442226,.32299885,.27397346,Carne suina
