year,w_bfvl,w_pork,w_poult,w_fish,fit_bfvl,fit_pork,fit_fish,fit_poult,res_bfvl,res_pork,res_poult,res_fish,zres_bfvl,zres_pork,zres_poult,zres_fish,bfvlp,porkp,poultp,fishp,bfvlq,porkq,poultq,fishq,xbfvl,xpork,xpoult,xfish,xtotal_calc,share_sum,lnP_stone,ln_real_x,beefq,vealq,cbfvlq,cporkq,cpoultq,cfishq,cpi,pop,pce,xtotal,diff_xtotal,share_gap,share_problem,ln_p_bfvl,lngp_bfvl,ln_p_pork,lngp_pork,ln_p_poult,lngp_poult,ln_p_fish,lngp_fish,wbar_bfvl,wbar_pork,wbar_poult,wbar_fish,ln_xtotal,meat_pce_share,d_bfvl_poult,d_pork_poult,d_poult_poult,d_fish_poult,L1_lngp_bfvl,L2_lngp_bfvl,L1_lngp_pork,L2_lngp_pork,L1_lngp_poult,L2_lngp_poult,L1_lngp_fish,L2_lngp_fish,y_bfvl,y_pork,y_fish
1971,.5435418233905341,.2632602693116075,.1275039064351924,.065694000862666,.5710394067506469,.2547681069457558,.0584697343317332,.1157227519718641,-.0274975833601128,.0084921623658517,.0117811544633283,.0072242665309328,-.8182712916713678,.8132419739107656,.2978583454709426,.6023109677937872,45.5,41.099998,53.5,34.5,86.204903,60.558956,40.128868,11.489881,96.096916,46.543797,22.542391,11.614545,176.7976484298706,1,3.789079846037433,1.385926003341629,83.939644,2.2652545,211.20201,113.24525,42.135311,33.665348,40.483334,207.661,701.59998,176.79765,-4.76837158203e-06,0,0,3.817712325956905,-.9132643871780517,3.716008084376181,-1.010603413107012,3.979681653901961,-.8060546414759879,3.540959324037314,-1.24079433451261,.467138677933677,.24231339202851,.1741917984997599,.1163561315380531,5.175005849379062,.2519920960405094,-.1072097457020638,-.2045487716310239,0,-.4347396930366219,-.9582157750403182,,-.9110993588262231,,-.8116778846893831,,-1.338135585378879,,.5435418233905341,.2632602693116075,.065694000862666
1972,.5525359301963024,.2531360325165656,.1227333034814063,.0715947338057257,.537636592742005,.2449583098517212,.0589142468441376,.1584908505621362,.0148993374542974,.0081777226648444,-.0357575470807299,.012680486961588,.4433735119194593,.7831300245500953,-.9040441532790721,1.057214091040749,49.700001,47.599998,54.200001,37.599998,87.224998,54.664867,41.454983,12.4919,106.20952,48.658295,23.592031,13.762077,192.2219219207764,1,3.878178515454318,1.38047203243821,85.293861,1.9311333,213.70123,102.2233,43.527733,36.601269,41.808334,209.896,770.20001,192.22192,-1.90734863281e-06,0,0,3.906004948453477,-.8249717646814791,3.862832729181094,-.8637787683020983,3.992680922521974,-.7930553728559748,3.627004009813962,-1.154749648735962,.467138677933677,.24231339202851,.1741917984997599,.1163561315380531,5.258650547892528,.2495740312570999,-.0319163918255043,-.0707233954461235,0,-.3616942758799873,-.9132643871780517,-.9582157750403182,-1.010603413107012,-.9110993588262231,-.8060546414759879,-.8116778846893831,-1.24079433451261,-1.338135585378879,.5525359301963024,.2531360325165656,.0715947338057257
1973,.5314898284702967,.2560473108811794,.1410691850885551,.0713936755599688,.5808660796033875,.2699625549378323,.051792750157672,.0973786153011082,-.0493762511330909,-.013915244056653,.043690569787447,.0196009254022968,-1.469335259880256,-1.332577034748056,1.104611680459829,1.634193907184045,59.599998,63.299999,76,43.099998,82.031776,48.749973,39.840866,12.741318,119.7828,57.705833,31.793011,16.090118,225.3717613220215,1,4.10687737183748,1.31087393940869,80.519745,1.512032,200.97786,91.162453,41.832909,37.332062,44.424999,211.909,852,225.37177,-3.81469726563e-06,0,0,4.087655548469309,-.6433211646656476,4.147885317097375,-.5787261803858179,4.330733340286331,-.4550029550916177,3.763522961706478,-1.018230696843446,.467138677933677,.24231339202851,.1741917984997599,.1163561315380531,5.41775131124617,.264520846622091,-.1883182095740299,-.1237232252942002,0,-.5632277417518279,-.8249717646814791,-.9132643871780517,-.8637787683020983,-1.010603413107012,-.7930553728559748,-.8060546414759879,-1.154749648735962,-1.24079433451261,.5314898284702967,.2560473108811794,.0713936755599688
1974,.545205373439976,.2573985428847682,.124557736543881,.0728383471313748,.5445017857975351,.2548797308852687,.0700771831726753,.1305413001445209,.0007035876424409,.0025188119994994,-.0059835636006399,.0027611639586995,.0209373151587554,.2412110784196891,-.1512801109272549,.2302073614083927,61.299999,63,72.099998,49.700001,87.592751,52.717945,39.699104,12.068981,131.55116,62.107014,30.054207,17.574972,241.2873554229736,1,4.126266527805377,1.359722041558564,85.60553,1.9872199,214.60223,98.582558,41.684059,35.362118,49.316666,213.854,932.90002,241.28735,1.90734863281e-06,0,0,4.115779830496171,-.6151968826387852,4.143134726391533,-.58347677109166,4.278054023127535,-.5076822722504142,3.906004948453477,-.8757487100964467,.467138677933677,.24231339202851,.1741917984997599,.1163561315380531,5.485988569363942,.2586422436579116,-.1075146103883711,-.0757944988412458,0,-.3680664378460325,-.6433211646656476,-.8249717646814791,-.5787261803858179,-.8637787683020983,-.4550029550916177,-.7930553728559748,-1.018230696843446,-1.154749648735962,.545205373439976,.2573985428847682,.0728383471313748
1975,.5506129173040415,.2451265861991719,.1283040601082382,.0759564363885484,.5419835716970495,.26611644887549,.0813379639912317,.1105620154362288,.008629345606992,-.0209898626763181,.0177420446720093,-.0053815276026833,.2567915035859439,-2.010069593540682,.4485652138516111,-.4486757354141567,61.900002,77.099998,79.699997,53.900002,91.61129,42.899654,38.685848,12.135777,138.93311,61.851433,32.374252,19.165667,252.3244571685791,1,4.206652492316358,1.32406329548783,88.160217,3.4510717,224.44766,80.222351,40.62014,35.557823,53.825001,215.97301,1033.8,252.32446,-5.72204589844e-06,0,0,4.125520204341259,-.6054565087936972,4.345103260778377,-.3815082367048159,4.378269547505607,-.4074667478723422,3.987130506224393,-.7946231523255314,.467138677933677,.24231339202851,.1741917984997599,.1163561315380531,5.530715787804187,.2440747197241905,-.197989760921355,.0259585111675262,0,-.3871564044531892,-.6151968826387852,-.6433211646656476,-.58347677109166,-.5787261803858179,-.5076822722504142,-.4550029550916177,-.8757487100964467,-1.018230696843446,.5506129173040415,.2451265861991719,.0759564363885484
1976,.5389392510488629,.2484529709889639,.1270889753512628,.0855188026109105,.5198831230467006,.2576897984085331,.1028024248118965,.1196246537328698,.0190561280021623,-.0092368274195692,.0074643216183929,-.017283622200986,.5670710138509368,-.8845539498363898,.1887175398853002,-1.440992683521488,59.900002,78.099998,76.400002,60.200001,97.409477,45.123821,42.02227,12.860321,142.95328,65.901985,33.710266,22.683805,265.2493343353271,1,4.199928784368538,1.380741483547767,94.125671,3.2838018,238.65321,84.381546,44.123386,37.68074,56.933334,218.035,1151.3,265.24933,5.72204589844e-06,0,0,4.092676530595175,-.6383001825397816,4.357990037308138,-.3686214601750546,4.335982716144712,-.4497535792332368,4.097672364988188,-.6840812935617357,.467138677933677,.24231339202851,.1741917984997599,.1163561315380531,5.580670267916305,.2303911431301656,-.1885466033065448,.0811321190581822,0,-.234327714328499,-.6054565087936972,-.6151968826387852,-.3815082367048159,-.58347677109166,-.4074667478723422,-.5076822722504142,-.7946231523255314,-.8757487100964467,.5389392510488629,.2484529709889639,.0855188026109105
1977,.5274776546704917,.2464126909336577,.1317451782342785,.0943644761615722,.5120070861512176,.2604520281273955,.1216866463363713,.1058542393850156,.0154705685192741,-.0140393371937378,.0258909388492629,-.0273221701747991,.4603721686835267,-1.344460668551093,.6545905354438172,-2.277939592868338,59.5,73.900002,76.900002,66.699997,94.728561,46.680656,42.714863,12.640813,138.09056,64.509399,34.490116,24.704067,261.7941436767578,1,4.196471024730019,1.371087459040874,91.545189,3.1833735,232.08498,87.292831,44.850609,37.037582,60.616665,220.239,1277.8,261.79416,-.0000152587890625,0,0,4.085976312551584,-.6450004005833723,4.302712848602043,-.4238986488811491,4.342505896353977,-.4432303990239719,4.200204907168087,-.5815487513818374,.467138677933677,.24231339202851,.1741917984997599,.1163561315380531,5.567558483770893,.2048788023735405,-.2017700015594004,.0193317501428227,0,-.1383183523578655,-.6383001825397816,-.6054565087936972,-.3686214601750546,-.3815082367048159,-.4497535792332368,-.4074667478723422,-.6840812935617357,-.7946231523255314,.5274776546704917,.2464126909336577,.0943644761615722
1978,.5320321598713535,.2407930131724693,.1323137900885096,.0948610368676675,.4980187489063141,.2504075358040346,.1046351040116964,.1469386112779548,.0340134109650394,-.0096145226315653,-.0146248211894452,-.0097740671440288,1.012168864436765,-.9207234890547585,-.3697536651260817,-.8148962687924052,73.099998,83.400002,84.900002,73,89.55587,46.545303,44.745335,13.370173,160.39009,72.591125,39.888229,28.597464,301.4669094085693,1,4.349677877358893,1.358982379579615,87.126602,2.4292669,219.41188,87.039719,46.982601,39.174606,65.241669,222.58501,1427.6,301.46689,.0000209808349609,0,0,4.291828345881876,-.4391483672530807,4.423648327660611,-.3029631698225819,4.441474111289963,-.3442621840879863,4.290459441148391,-.4912942174015331,.467138677933677,.24231339202851,.1741917984997599,.1163561315380531,5.708660256938508,.2111704360914105,-.0948861831650945,.0412990142654044,0,-.1470320333135469,-.6450004005833723,-.6383001825397816,-.4238986488811491,-.3686214601750546,-.4432303990239719,-.4497535792332368,-.5815487513818374,-.6840812935617357,.5320321598713535,.2407930131724693,.0948610368676675
1979,.5327830177898366,.2469971851636566,.1308358397365511,.0893839573099557,.4722648457827175,.2321698647914699,.0839283814163812,.2116369080094314,.0605181720071191,.0148273203721867,-.0808010682728803,.0054555758935745,1.800895814338059,1.419920953910771,-2.042861977808221,.4548493860601272,93.099998,84.699997,89.099998,80.099998,79.628166,53.161728,47.675125,12.983493,181.62787,84.202332,44.602463,30.47135,340.9040126800537,1,4.485611977233765,1.345988972682863,77.947212,1.6809562,195.089,99.41243,50.05888,38.041634,72.583336,225.05499,1591.2,340.90402,-9.53674316406e-06,0,0,4.533674167893344,-.1973025452416124,4.43911556562781,-.2874959318553829,4.489759317351298,-.2959769780266504,4.383275835024639,-.398477823525285,.467138677933677,.24231339202851,.1741917984997599,.1163561315380531,5.831600949916628,.2142433529041949,.098674432785038,.0084810461712674,0,-.1025008454986347,-.4391483672530807,-.6450004005833723,-.3029631698225819,-.4238986488811491,-.3442621840879863,-.4432303990239719,-.4912942174015331,-.5815487513818374,.5327830177898366,.2469971851636566,.0893839573099557
1980,.5318516985220465,.2461605631138645,.1318950240106214,.0900927143534675,.4744803479291057,.2329310754886504,.0901116212522743,.2024769553299696,.0573713505929409,.0132294876252141,-.0705819313193482,-.0000189068988067,1.707252907995746,1.266906373978493,-1.784495513420555,-.0015763306180578,98.400002,81.900002,93.699997,87.5,77.934288,56.779579,47.358585,12.414042,187.88397,86.959625,46.593742,31.826498,353.2638378143311,1,4.522380324911012,1.344834868750737,76.406654,1.5276335,190.939,106.17781,49.726513,36.373142,82.383331,227.726,1755.8,353.26385,-.0000171661376953,0,0,4.589040819565107,-.1419358935698494,4.405499009490024,-.3211124879931688,4.540098156674922,-.2456381387030264,4.471638793363569,-.310114865186355,.467138677933677,.24231339202851,.1741917984997599,.1163561315380531,5.867215193661749,.2011982161921628,.1037022451331771,-.0754743492901424,0,-.0644767264833286,-.1973025452416124,-.4391483672530807,-.2874959318553829,-.3029631698225819,-.2959769780266504,-.3442621840879863,-.398477823525285,-.4912942174015331,.5318516985220465,.2461605631138645,.0900927143534675
