produto_linha,produto_coluna,elasticidade_compensada
bfvl,bfvl,-0.7624014490761508
pork,bfvl,0.04483878962763632
poult,bfvl,2.528550621897012
fish,bfvl,-0.8179252345599526
bfvl,pork,0.02325870186768164
pork,pork,-0.8258992080213812
poult,pork,0.9588858875986702
fish,pork,0.1910629171546688
bfvl,poult,0.9428737180284157
pork,poult,0.689314181374445
poult,poult,-3.532520760354604
fish,poult,0.06749370791294805
bfvl,fish,-0.2037309708199466
pork,fish,0.09174623701930004
poult,fish,0.045084250858921274
fish,fish,0.5593686094923358
