produto_linha,produto_coluna,elasticidade_compensada
bfvl,bfvl,-0.7624014490759513
bfvl,pork,0.0232587018678318
bfvl,poult,0.9428737180280197
bfvl,fish,-0.20373097081990027
pork,bfvl,0.04483878962792581
pork,pork,-0.8258992080210293
pork,poult,0.689314181374082
pork,fish,0.09174623701902146
poult,bfvl,2.5285506218959495
poult,pork,0.9588858875981654
poult,poult,-3.5325207603532642
poult,fish,0.045084250859148786
fish,bfvl,-0.8179252345597666
fish,pork,0.19106291715408869
fish,poult,0.06749370791328868
fish,fish,0.5593686094923891
