omitted_year,produto,em_full,em_loo,dev
1971,bfvl,-1.360272703511606,-1.3908638,-.030591045
1971,pork,-.9687551957447067,-1.0159715,-.04721636
1971,poult,-3.718749808012046,-3.8556819,-.13693216
1971,fish,.48632703802997,.55867809,.072351061
1972,bfvl,-1.360272703511606,-1.3383857,.021887045
1972,pork,-.9687551957447067,-.8673628,.10139237
1972,poult,-3.718749808012046,-3.594281,.12446893
1972,fish,.48632703802997,.52322805,.036901016
1973,bfvl,-1.360272703511606,-1.083007,.2772657
1973,pork,-.9687551957447067,-.69640929,.2723459
1973,poult,-3.718749808012046,-3.5483115,.17043832
1973,fish,.48632703802997,.70685583,.2205288
1974,bfvl,-1.360272703511606,-1.3672984,-.0070257024
1974,pork,-.9687551957447067,-1.2470666,-.27831146
1974,poult,-3.718749808012046,-4.1237578,-.40500799
1974,fish,.48632703802997,.44105944,-.045267593
1975,bfvl,-1.360272703511606,-1.3594816,.0007911463
1975,pork,-.9687551957447067,-.72328985,.24546532
1975,poult,-3.718749808012046,-3.5042989,.21445093
1975,fish,.48632703802997,.52825487,.041927833
1976,bfvl,-1.360272703511606,-1.3005158,.059756882
1976,pork,-.9687551957447067,-.38720897,.58154625
1976,poult,-3.718749808012046,-2.840796,.87795389
1976,fish,.48632703802997,.5350365,.048709475
1977,bfvl,-1.360272703511606,-1.2759262,.084346451
1977,pork,-.9687551957447067,-.80707598,.16167922
1977,poult,-3.718749808012046,-3.4949102,.22383954
1977,fish,.48632703802997,.47096148,-.015365569
1978,bfvl,-1.360272703511606,-1.2781888,.082083851
1978,pork,-.9687551957447067,-1.1091145,-.14035933
1978,poult,-3.718749808012046,-3.9420912,-.22334149
1978,fish,.48632703802997,.43211612,-.054210927
1979,bfvl,-1.360272703511606,-1.3654774,-.0052047544
1979,pork,-.9687551957447067,-1.1267824,-.15802719
1979,poult,-3.718749808012046,-3.7707131,-.051963355
1979,fish,.48632703802997,.42937776,-.056949262
1980,bfvl,-1.360272703511606,-1.4413676,-.081094936
1980,pork,-.9687551957447067,-.9017083,.067046873
1980,poult,-3.718749808012046,-3.7469292,-.028179437
1980,fish,.48632703802997,.45704928,-.029277772
1981,bfvl,-1.360272703511606,-1.4470916,-.086818926
1981,pork,-.9687551957447067,-.79292578,.17582943
1981,poult,-3.718749808012046,-3.5466855,.17206441
1981,fish,.48632703802997,.48228562,-.0040414077
1982,bfvl,-1.360272703511606,-1.5680517,-.20777895
1982,pork,-.9687551957447067,-1.1396718,-.17091659
1982,poult,-3.718749808012046,-3.9257786,-.20702878
1982,fish,.48632703802997,.43589959,-.050427459
1983,bfvl,-1.360272703511606,-1.4763943,-.11612165
1983,pork,-.9687551957447067,-1.6227651,-.65400982
1983,poult,-3.718749808012046,-5.1006184,-1.3818687
1983,fish,.48632703802997,.30658478,-.17974226
1984,bfvl,-1.360272703511606,-1.3354772,.024795497
1984,pork,-.9687551957447067,-.7986362,.17011902
1984,poult,-3.718749808012046,-3.3890834,.32966653
1984,fish,.48632703802997,.52076244,.034435414
1985,bfvl,-1.360272703511606,-1.3375287,.022744009
1985,pork,-.9687551957447067,-.95927209,.0094830981
1985,poult,-3.718749808012046,-3.7202363,-.0014863927
1985,fish,.48632703802997,.49473384,.0084067928
1986,bfvl,-1.360272703511606,-1.3498217,.010451036
1986,pork,-.9687551957447067,-1.007993,-.039237823
1986,poult,-3.718749808012046,-3.7229187,-.0041689849
1986,fish,.48632703802997,.49376452,.0074374806
1987,bfvl,-1.360272703511606,-1.326502,.03377071
1987,pork,-.9687551957447067,-.99205786,-.023302687
1987,poult,-3.718749808012046,-3.6663849,.052364949
1987,fish,.48632703802997,.49532527,.0089982199
1988,bfvl,-1.360272703511606,-1.3291607,.031112025
1988,pork,-.9687551957447067,-.76831812,.20043705
1988,poult,-3.718749808012046,-3.3667514,.35199836
1988,fish,.48632703802997,.54853851,.062211465
1989,bfvl,-1.360272703511606,-1.3295946,.030678049
1989,pork,-.9687551957447067,-.60837948,.36037573
1989,poult,-3.718749808012046,-3.1646614,.55408835
1989,fish,.48632703802997,.55754292,.071215861
1990,bfvl,-1.360272703511606,-1.3328092,.02746349
1990,pork,-.9687551957447067,-.83807093,.13068424
1990,poult,-3.718749808012046,-3.3591778,.35957193
1990,fish,.48632703802997,.52102858,.034701552
1991,bfvl,-1.360272703511606,-1.3895098,-.029237082
1991,pork,-.9687551957447067,-1.0980954,-.12934017
1991,poult,-3.718749808012046,-3.7788758,-.060125928
1991,fish,.48632703802997,.47234699,-.013980057
1992,bfvl,-1.360272703511606,-1.3708239,-.010551157
1992,pork,-.9687551957447067,-1.1341331,-.16537794
1992,poult,-3.718749808012046,-3.9545543,-.23580454
1992,fish,.48632703802997,.46940774,-.016919309
1993,bfvl,-1.360272703511606,-1.3510692,.0092034517
1993,pork,-.9687551957447067,-1.0005617,-.031806558
1993,poult,-3.718749808012046,-3.7523117,-.033561956
1993,fish,.48632703802997,.48379898,-.0025280556
1994,bfvl,-1.360272703511606,-1.3461379,.014134858
1994,pork,-.9687551957447067,-.93888676,.029868444
1994,poult,-3.718749808012046,-3.6572728,.061476994
1994,fish,.48632703802997,.49210173,.0057746931
1995,bfvl,-1.360272703511606,-1.3555493,.004723317
1995,pork,-.9687551957447067,-.92738986,.041365322
1995,poult,-3.718749808012046,-3.6568775,.061872248
1995,fish,.48632703802997,.49764994,.011322904
1996,bfvl,-1.360272703511606,-1.3464512,.013821577
1996,pork,-.9687551957447067,-.99033749,-.021582277
1996,poult,-3.718749808012046,-3.8107436,-.091993712
1996,fish,.48632703802997,.48741573,.0010886812
1997,bfvl,-1.360272703511606,-1.3319609,.028311782
1997,pork,-.9687551957447067,-.97638947,-.0076342789
1997,poult,-3.718749808012046,-3.8803349,-.16158514
1997,fish,.48632703802997,.49936283,.013035802
1998,bfvl,-1.360272703511606,-1.4111168,-.050844103
1998,pork,-.9687551957447067,-1.0956722,-.12691706
1998,poult,-3.718749808012046,-3.9574864,-.23873663
1998,fish,.48632703802997,.45098755,-.035339478
1999,bfvl,-1.360272703511606,-1.4958818,-.13560914
1999,pork,-.9687551957447067,-1.0011843,-.032429144
1999,poult,-3.718749808012046,-3.6934314,.025318451
1999,fish,.48632703802997,.43524781,-.051079221
2000,bfvl,-1.360272703511606,-1.4205085,-.06023575
2000,pork,-.9687551957447067,-.93104744,.037707772
2000,poult,-3.718749808012046,-3.5814362,.13731371
2000,fish,.48632703802997,.47714749,-.0091795586
2001,bfvl,-1.360272703511606,-1.3614521,-.0011793791
2001,pork,-.9687551957447067,-.96820623,.00054898195
2001,poult,-3.718749808012046,-3.6845257,.034224026
2001,fish,.48632703802997,.48844397,.0021169442
2002,bfvl,-1.360272703511606,-1.4174927,-.057220064
2002,pork,-.9687551957447067,-.9673776,.0013775723
2002,poult,-3.718749808012046,-3.5908201,.12792961
2002,fish,.48632703802997,.47404894,-.0122781
2003,bfvl,-1.360272703511606,-1.3774202,-.017147452
2003,pork,-.9687551957447067,-.92522603,.043529134
2003,poult,-3.718749808012046,-3.608628,.11012188
2003,fish,.48632703802997,.49458128,.008254244
2004,bfvl,-1.360272703511606,-1.3567547,.0035180263
2004,pork,-.9687551957447067,-.92153722,.047217976
2004,poult,-3.718749808012046,-3.6154301,.1033197
2004,fish,.48632703802997,.51653314,.030206123
2005,bfvl,-1.360272703511606,-1.3219602,.038312491
2005,pork,-.9687551957447067,-.82948935,.13926587
2005,poult,-3.718749808012046,-3.3951604,.32358941
2005,fish,.48632703802997,.54822987,.061902832
2006,bfvl,-1.360272703511606,-1.3253378,.034934886
2006,pork,-.9687551957447067,-.81816661,.15058856
2006,poult,-3.718749808012046,-3.4193652,.29938462
2006,fish,.48632703802997,.5428856,.056558542
2007,bfvl,-1.360272703511606,-1.3364336,.023839077
2007,pork,-.9687551957447067,-.93998832,.028766865
2007,poult,-3.718749808012046,-3.6321959,.086553901
2007,fish,.48632703802997,.50973493,.023407875
2008,bfvl,-1.360272703511606,-1.3328497,.027422983
2008,pork,-.9687551957447067,-.99205911,-.023303941
2008,poult,-3.718749808012046,-3.6941659,.024583938
2008,fish,.48632703802997,.47710669,-.0092203431
2009,bfvl,-1.360272703511606,-1.3336589,.0266138
2009,pork,-.9687551957447067,-1.161061,-.19230586
2009,poult,-3.718749808012046,-3.9966269,-.27787697
2009,fish,.48632703802997,.42055443,-.065772615
2010,bfvl,-1.360272703511606,-1.3255804,.034692314
2010,pork,-.9687551957447067,-1.0766177,-.10786249
2010,poult,-3.718749808012046,-3.8777277,-.15897799
2010,fish,.48632703802997,.43344003,-.052887004
