produto_linha,produto_coluna,elasticidade_marshalliana
bfvl,bfvl,-1.3602727467671318
pork,bfvl,-0.23056457990012408
poult,bfvl,2.0291275324127938
fish,bfvl,-1.111167528695678
bfvl,pork,-0.28686809646292477
pork,pork,-0.9687559826666339
poult,pork,0.6998259789656669
fish,pork,0.038952765410205314
bfvl,poult,0.7199329042378468
pork,poult,0.5866187491630153
poult,poult,-3.7187511253602854
fish,poult,-0.041853698368164965
bfvl,fish,-0.3526503276967355
pork,fish,0.023148040668063138
poult,fish,-0.0793133671278349
fish,fish,0.4863270468342509
