produto_linha,produto_coluna,elasticidade_marshalliana
bfvl,bfvl,-1.3602727467690354
bfvl,pork,-0.2868680964638656
bfvl,poult,0.7199329042366664
bfvl,fish,-0.35265032769721305
pork,bfvl,-0.23056457989866336
pork,pork,-0.9687559826656744
pork,poult,0.586618749163089
pork,fish,0.02314804066807629
poult,bfvl,2.0291275324155897
poult,pork,0.6998259789671637
poult,poult,-3.7187511253575067
poult,fish,-0.07931336712664626
fish,bfvl,-1.1111675286952636
fish,pork,0.03895276540974358
fish,poult,-0.04185369836773922
fish,fish,0.486327046834361
