modelo,produto,eta,em_propria,eh_propria
Irrestrito,bfvl,1.052355372844695,-.48669192,.0030965419
Irrestrito,pork,.5577030302320257,-.86987031,-.73514694
Irrestrito,poult,1.749930372429669,1.6885518,1.995321
Irrestrito,fish,.5838140669069211,.085731275,.15445021
Homogeneidade,bfvl,1.098930094574803,-.81305939,-.30159405
Homogeneidade,pork,.5878174369579322,-.9792034,-.83720535
Homogeneidade,poult,1.609366833320383,-1.5372195,-1.2550915
Homogeneidade,fish,.5471956550232999,.36625963,.43066832
Homog. + simetria,bfvl,1.280890947855483,-1.3611197,-.76496601
Homog. + simetria,pork,.5882874835366699,-.96896559,-.82685399
Homog. + simetria,poult,1.068672159080226,-3.7015822,-3.51424
Homog. + simetria,fish,.6320147379689243,.46976763,.54416013
Homog. + simetria L2,bfvl,1.415152685541778,-1.430948,-.77230603
Homog. + simetria L2,pork,.5796559773392973,-.96060872,-.82058221
Homog. + simetria L2,poult,.8095765814644043,-3.4727414,-3.3308196
Homog. + simetria L2,fish,.5047261259730246,.4725247,.53193444
