produto_linha,produto_coluna,gamma
bfvl,bfvl,-0.10722707094557116
pork,bfvl,-0.10232891834477797
poult,bfvl,0.3590810548887209
fish,bfvl,-0.14952506559837175
bfvl,pork,-0.10232891834477797
pork,pork,-0.016528826597493662
poult,pork,0.12482105197758742
fish,pork,-0.005963307035315779
bfvl,poult,0.3590810548887209
pork,poult,0.12482105197758742
poult,poult,-0.4714871297544798
fish,poult,-0.012414977111828485
bfvl,fish,-0.14952506559837175
pork,fish,-0.005963307035315779
poult,fish,-0.012414977111828485
fish,fish,0.16790334974551602
