produto_linha,produto_coluna,gamma
bfvl,bfvl,-0.1072270709454779
bfvl,pork,-0.10232891834470781
bfvl,poult,0.3590810548885358
bfvl,fish,-0.1495250655983501
pork,bfvl,-0.10232891834470781
pork,pork,-0.016528826597408397
pork,poult,0.12482105197749949
pork,fish,-0.005963307035383281
poult,bfvl,0.3590810548885358
poult,pork,0.12482105197749949
poult,poult,-0.47148712975424645
poult,fish,-0.01241497711178885
fish,bfvl,-0.1495250655983501
fish,pork,-0.005963307035383281
fish,poult,-0.01241497711178885
fish,fish,0.16790334974552223
