row_product,column_product,elasticity
CornFlakes,CornFlakes,2.0085904082194546
Cheerios,CornFlakes,-0.1207326154415807
RiceKrispies,CornFlakes,-0.1207326154415807
FrostedFlakes,CornFlakes,-0.1207326154415807
RaisinBran,CornFlakes,-0.1207326154415807
Total,CornFlakes,-0.1207326154415807
HoneyNutCheerios,CornFlakes,-0.1207326154415807
SpecialK,CornFlakes,-0.1207326154415807
GrapeNuts,CornFlakes,-0.1207326154415807
SpoonSizeShdWt,CornFlakes,-0.1207326154415807
100%Natural,CornFlakes,-0.1207326154415807
FrostedMiniWheats,CornFlakes,-0.1207326154415807
NutriGrain,CornFlakes,-0.1207326154415807
Mueslix,CornFlakes,-0.1207326154415807
Wheaties,CornFlakes,-0.1207326154415807
RaisinBran,CornFlakes,-0.1207326154415807
Muesli,CornFlakes,-0.1207326154415807
CornPops,CornFlakes,-0.1207326154415807
RaisinNutBran,CornFlakes,-0.1207326154415807
Basic4,CornFlakes,-0.1207326154415807
CocoaPus,CornFlakes,-0.1207326154415807
GoldenGrahams,CornFlakes,-0.1207326154415807
Cinn.ToastCrunch,CornFlakes,-0.1207326154415807
FrootLoops,CornFlakes,-0.1207326154415807
LowFatGranola,CornFlakes,-0.1207326154415807
Trix,CornFlakes,-0.1207326154415807
Triples,CornFlakes,-0.1207326154415807
Crispix,CornFlakes,-0.1207326154415807
Kix,CornFlakes,-0.1207326154415807
LuckyCharms,CornFlakes,-0.1207326154415807
AppleCinn.Cheerios,CornFlakes,-0.1207326154415807
CracklinOatBran,CornFlakes,-0.1207326154415807
BigBiscuitShdWt,CornFlakes,-0.1207326154415807
HoneyBunchesofOats,CornFlakes,-0.1207326154415807
GreatGraines,CornFlakes,-0.1207326154415807
OtmlRaisinCrisp,CornFlakes,-0.1207326154415807
OatSquares,CornFlakes,-0.1207326154415807
RiceChex,CornFlakes,-0.1207326154415807
TotalRaisinBran,CornFlakes,-0.1207326154415807
Product19,CornFlakes,-0.1207326154415807
AppleJacks,CornFlakes,-0.1207326154415807
CaptCrunch,CornFlakes,-0.1207326154415807
ShreddedWheat,CornFlakes,-0.1207326154415807
FruityPebbles,CornFlakes,-0.1207326154415807
Clusters,CornFlakes,-0.1207326154415807
CinnamonMiniBuns,CornFlakes,-0.1207326154415807
DoubleDipCrunch,CornFlakes,-0.1207326154415807
MultiGrainCheerios,CornFlakes,-0.1207326154415807
Honeycomb,CornFlakes,-0.1207326154415807
Popeye,CornFlakes,-0.1207326154415807
CornFlakes,Cheerios,-0.16282615528114727
Cheerios,Cheerios,3.554665974425412
RiceKrispies,Cheerios,-0.16282615528114727
FrostedFlakes,Cheerios,-0.16282615528114727
RaisinBran,Cheerios,-0.16282615528114727
Total,Cheerios,-0.16282615528114727
HoneyNutCheerios,Cheerios,-0.16282615528114727
SpecialK,Cheerios,-0.16282615528114727
GrapeNuts,Cheerios,-0.16282615528114727
SpoonSizeShdWt,Cheerios,-0.16282615528114727
100%Natural,Cheerios,-0.16282615528114727
FrostedMiniWheats,Cheerios,-0.16282615528114727
NutriGrain,Cheerios,-0.16282615528114727
Mueslix,Cheerios,-0.16282615528114727
Wheaties,Cheerios,-0.16282615528114727
RaisinBran,Cheerios,-0.16282615528114727
Muesli,Cheerios,-0.16282615528114727
CornPops,Cheerios,-0.16282615528114727
RaisinNutBran,Cheerios,-0.16282615528114727
Basic4,Cheerios,-0.16282615528114727
CocoaPus,Cheerios,-0.16282615528114727
GoldenGrahams,Cheerios,-0.16282615528114727
Cinn.ToastCrunch,Cheerios,-0.16282615528114727
FrootLoops,Cheerios,-0.16282615528114727
LowFatGranola,Cheerios,-0.16282615528114727
Trix,Cheerios,-0.16282615528114727
Triples,Cheerios,-0.16282615528114727
Crispix,Cheerios,-0.16282615528114727
Kix,Cheerios,-0.16282615528114727
LuckyCharms,Cheerios,-0.16282615528114727
AppleCinn.Cheerios,Cheerios,-0.16282615528114727
CracklinOatBran,Cheerios,-0.16282615528114727
BigBiscuitShdWt,Cheerios,-0.16282615528114727
HoneyBunchesofOats,Cheerios,-0.16282615528114727
GreatGraines,Cheerios,-0.16282615528114727
OtmlRaisinCrisp,Cheerios,-0.16282615528114727
OatSquares,Cheerios,-0.16282615528114727
RiceChex,Cheerios,-0.16282615528114727
TotalRaisinBran,Cheerios,-0.16282615528114727
Product19,Cheerios,-0.16282615528114727
AppleJacks,Cheerios,-0.16282615528114727
CaptCrunch,Cheerios,-0.16282615528114727
ShreddedWheat,Cheerios,-0.16282615528114727
FruityPebbles,Cheerios,-0.16282615528114727
Clusters,Cheerios,-0.16282615528114727
CinnamonMiniBuns,Cheerios,-0.16282615528114727
DoubleDipCrunch,Cheerios,-0.16282615528114727
MultiGrainCheerios,Cheerios,-0.16282615528114727
Honeycomb,Cheerios,-0.16282615528114727
Popeye,Cheerios,-0.16282615528114727
CornFlakes,RiceKrispies,-0.1406811958350725
Cheerios,RiceKrispies,-0.1406811958350725
RiceKrispies,RiceKrispies,3.341526621864742
FrostedFlakes,RiceKrispies,-0.1406811958350725
RaisinBran,RiceKrispies,-0.1406811958350725
Total,RiceKrispies,-0.1406811958350725
HoneyNutCheerios,RiceKrispies,-0.1406811958350725
SpecialK,RiceKrispies,-0.1406811958350725
GrapeNuts,RiceKrispies,-0.1406811958350725
SpoonSizeShdWt,RiceKrispies,-0.1406811958350725
100%Natural,RiceKrispies,-0.1406811958350725
FrostedMiniWheats,RiceKrispies,-0.1406811958350725
