"row_product","column_product","elasticity"
"CornFlakes","CornFlakes",2.00859040829347
"Cheerios","CornFlakes",-0.12073261544603
"RiceKrispies","CornFlakes",-0.12073261544603
"FrostedFlakes","CornFlakes",-0.12073261544603
"RaisinBran","CornFlakes",-0.12073261544603
"Total","CornFlakes",-0.12073261544603
"HoneyNutCheerios","CornFlakes",-0.12073261544603
"SpecialK","CornFlakes",-0.12073261544603
"GrapeNuts","CornFlakes",-0.12073261544603
"SpoonSizeShdWt","CornFlakes",-0.12073261544603
"100%Natural","CornFlakes",-0.12073261544603
"FrostedMiniWheats","CornFlakes",-0.12073261544603
"NutriGrain","CornFlakes",-0.12073261544603
"Mueslix","CornFlakes",-0.12073261544603
"Wheaties","CornFlakes",-0.12073261544603
"RaisinBran","CornFlakes",-0.12073261544603
"Muesli","CornFlakes",-0.12073261544603
"CornPops","CornFlakes",-0.12073261544603
"RaisinNutBran","CornFlakes",-0.12073261544603
"Basic4","CornFlakes",-0.12073261544603
"CocoaPus","CornFlakes",-0.12073261544603
"GoldenGrahams","CornFlakes",-0.12073261544603
"Cinn.ToastCrunch","CornFlakes",-0.12073261544603
"FrootLoops","CornFlakes",-0.12073261544603
"LowFatGranola","CornFlakes",-0.12073261544603
"Trix","CornFlakes",-0.12073261544603
"Triples","CornFlakes",-0.12073261544603
"Crispix","CornFlakes",-0.12073261544603
"Kix","CornFlakes",-0.12073261544603
"LuckyCharms","CornFlakes",-0.12073261544603
"AppleCinn.Cheerios","CornFlakes",-0.12073261544603
"CracklinOatBran","CornFlakes",-0.12073261544603
"BigBiscuitShdWt","CornFlakes",-0.12073261544603
"HoneyBunchesofOats","CornFlakes",-0.12073261544603
"GreatGraines","CornFlakes",-0.12073261544603
"OtmlRaisinCrisp","CornFlakes",-0.12073261544603
"OatSquares","CornFlakes",-0.12073261544603
"RiceChex","CornFlakes",-0.12073261544603
"TotalRaisinBran","CornFlakes",-0.12073261544603
"Product19","CornFlakes",-0.12073261544603
"AppleJacks","CornFlakes",-0.12073261544603
"CaptCrunch","CornFlakes",-0.12073261544603
"ShreddedWheat","CornFlakes",-0.12073261544603
"FruityPebbles","CornFlakes",-0.12073261544603
"Clusters","CornFlakes",-0.12073261544603
"CinnamonMiniBuns","CornFlakes",-0.12073261544603
"DoubleDipCrunch","CornFlakes",-0.12073261544603
"MultiGrainCheerios","CornFlakes",-0.12073261544603
"Honeycomb","CornFlakes",-0.12073261544603
"Popeye","CornFlakes",-0.12073261544603
"CornFlakes","Cheerios",-0.162826155287148
"Cheerios","Cheerios",3.55466597455641
"RiceKrispies","Cheerios",-0.162826155287148
"FrostedFlakes","Cheerios",-0.162826155287148
"RaisinBran","Cheerios",-0.162826155287148
"Total","Cheerios",-0.162826155287148
"HoneyNutCheerios","Cheerios",-0.162826155287148
"SpecialK","Cheerios",-0.162826155287148
"GrapeNuts","Cheerios",-0.162826155287148
"SpoonSizeShdWt","Cheerios",-0.162826155287148
"100%Natural","Cheerios",-0.162826155287148
"FrostedMiniWheats","Cheerios",-0.162826155287148
"NutriGrain","Cheerios",-0.162826155287148
"Mueslix","Cheerios",-0.162826155287148
"Wheaties","Cheerios",-0.162826155287148
"RaisinBran","Cheerios",-0.162826155287148
"Muesli","Cheerios",-0.162826155287148
"CornPops","Cheerios",-0.162826155287148
"RaisinNutBran","Cheerios",-0.162826155287148
"Basic4","Cheerios",-0.162826155287148
"CocoaPus","Cheerios",-0.162826155287148
"GoldenGrahams","Cheerios",-0.162826155287148
"Cinn.ToastCrunch","Cheerios",-0.162826155287148
"FrootLoops","Cheerios",-0.162826155287148
"LowFatGranola","Cheerios",-0.162826155287148
"Trix","Cheerios",-0.162826155287148
"Triples","Cheerios",-0.162826155287148
"Crispix","Cheerios",-0.162826155287148
"Kix","Cheerios",-0.162826155287148
"LuckyCharms","Cheerios",-0.162826155287148
"AppleCinn.Cheerios","Cheerios",-0.162826155287148
"CracklinOatBran","Cheerios",-0.162826155287148
"BigBiscuitShdWt","Cheerios",-0.162826155287148
"HoneyBunchesofOats","Cheerios",-0.162826155287148
"GreatGraines","Cheerios",-0.162826155287148
"OtmlRaisinCrisp","Cheerios",-0.162826155287148
"OatSquares","Cheerios",-0.162826155287148
"RiceChex","Cheerios",-0.162826155287148
"TotalRaisinBran","Cheerios",-0.162826155287148
"Product19","Cheerios",-0.162826155287148
"AppleJacks","Cheerios",-0.162826155287148
"CaptCrunch","Cheerios",-0.162826155287148
"ShreddedWheat","Cheerios",-0.162826155287148
"FruityPebbles","Cheerios",-0.162826155287148
"Clusters","Cheerios",-0.162826155287148
"CinnamonMiniBuns","Cheerios",-0.162826155287148
"DoubleDipCrunch","Cheerios",-0.162826155287148
"MultiGrainCheerios","Cheerios",-0.162826155287148
"Honeycomb","Cheerios",-0.162826155287148
"Popeye","Cheerios",-0.162826155287148
"CornFlakes","RiceKrispies",-0.140681195840257
"Cheerios","RiceKrispies",-0.140681195840257
"RiceKrispies","RiceKrispies",3.34152662198788
"FrostedFlakes","RiceKrispies",-0.140681195840257
"RaisinBran","RiceKrispies",-0.140681195840257
"Total","RiceKrispies",-0.140681195840257
"HoneyNutCheerios","RiceKrispies",-0.140681195840257
"SpecialK","RiceKrispies",-0.140681195840257
"GrapeNuts","RiceKrispies",-0.140681195840257
"SpoonSizeShdWt","RiceKrispies",-0.140681195840257
"100%Natural","RiceKrispies",-0.140681195840257
"FrostedMiniWheats","RiceKrispies",-0.140681195840257
"NutriGrain","RiceKrispies",-0.140681195840257
"Mueslix","RiceKrispies",-0.140681195840257
"Wheaties","RiceKrispies",-0.140681195840257
"RaisinBran","RiceKrispies",-0.140681195840257
"Muesli","RiceKrispies",-0.140681195840257
"CornPops","RiceKrispies",-0.140681195840257
"RaisinNutBran","RiceKrispies",-0.140681195840257
"Basic4","RiceKrispies",-0.140681195840257
"CocoaPus","RiceKrispies",-0.140681195840257
"GoldenGrahams","RiceKrispies",-0.140681195840257
"Cinn.ToastCrunch","RiceKrispies",-0.140681195840257
"FrootLoops","RiceKrispies",-0.140681195840257
"LowFatGranola","RiceKrispies",-0.140681195840257
"Trix","RiceKrispies",-0.140681195840257
"Triples","RiceKrispies",-0.140681195840257
"Crispix","RiceKrispies",-0.140681195840257
"Kix","RiceKrispies",-0.140681195840257
"LuckyCharms","RiceKrispies",-0.140681195840257
"AppleCinn.Cheerios","RiceKrispies",-0.140681195840257
"CracklinOatBran","RiceKrispies",-0.140681195840257
"BigBiscuitShdWt","RiceKrispies",-0.140681195840257
"HoneyBunchesofOats","RiceKrispies",-0.140681195840257
"GreatGraines","RiceKrispies",-0.140681195840257
"OtmlRaisinCrisp","RiceKrispies",-0.140681195840257
"OatSquares","RiceKrispies",-0.140681195840257
"RiceChex","RiceKrispies",-0.140681195840257
"TotalRaisinBran","RiceKrispies",-0.140681195840257
"Product19","RiceKrispies",-0.140681195840257
"AppleJacks","RiceKrispies",-0.140681195840257
"CaptCrunch","RiceKrispies",-0.140681195840257
"ShreddedWheat","RiceKrispies",-0.140681195840257
"FruityPebbles","RiceKrispies",-0.140681195840257
"Clusters","RiceKrispies",-0.140681195840257
"CinnamonMiniBuns","RiceKrispies",-0.140681195840257
"DoubleDipCrunch","RiceKrispies",-0.140681195840257
"MultiGrainCheerios","RiceKrispies",-0.140681195840257
"Honeycomb","RiceKrispies",-0.140681195840257
"Popeye","RiceKrispies",-0.140681195840257
"CornFlakes","FrostedFlakes",-0.113247045059259
"Cheerios","FrostedFlakes",-0.113247045059259
"RiceKrispies","FrostedFlakes",-0.113247045059259
"FrostedFlakes","FrostedFlakes",2.85133528633497
"RaisinBran","FrostedFlakes",-0.113247045059259
"Total","FrostedFlakes",-0.113247045059259
"HoneyNutCheerios","FrostedFlakes",-0.113247045059259
"SpecialK","FrostedFlakes",-0.113247045059259
"GrapeNuts","FrostedFlakes",-0.113247045059259
"SpoonSizeShdWt","FrostedFlakes",-0.113247045059259
"100%Natural","FrostedFlakes",-0.113247045059259
"FrostedMiniWheats","FrostedFlakes",-0.113247045059259
"NutriGrain","FrostedFlakes",-0.113247045059259
"Mueslix","FrostedFlakes",-0.113247045059259
"Wheaties","FrostedFlakes",-0.113247045059259
"RaisinBran","FrostedFlakes",-0.113247045059259
"Muesli","FrostedFlakes",-0.113247045059259
"CornPops","FrostedFlakes",-0.113247045059259
"RaisinNutBran","FrostedFlakes",-0.113247045059259
"Basic4","FrostedFlakes",-0.113247045059259
"CocoaPus","FrostedFlakes",-0.113247045059259
"GoldenGrahams","FrostedFlakes",-0.113247045059259
"Cinn.ToastCrunch","FrostedFlakes",-0.113247045059259
"FrootLoops","FrostedFlakes",-0.113247045059259
"LowFatGranola","FrostedFlakes",-0.113247045059259
"Trix","FrostedFlakes",-0.113247045059259
"Triples","FrostedFlakes",-0.113247045059259
"Crispix","FrostedFlakes",-0.113247045059259
