firm,product,segment,price,share,own_elasticity_simple_logit
KG,CornFlakes,Fam,1.81,.056699999,2.0085902
GM,Cheerios,Fam,3.16,.0438,3.5546656
KG,RiceKrispies,Fam,2.96,.040399998,3.3415263
KG,FrostedFlakes,Fam,2.52,.038199998,2.851335
KG,RaisinBran,Fam,2.34,.0273,2.6776741
GM,Total,Adult,3.61,.023600001,4.1466551
GM,HoneyNutCheerios,Fam,3.14,.022600001,3.6104798
KG,SpecialK,Adult,3.48,.021600001,4.0055175
PT,GrapeNuts,Adult,2.14,.021199999,2.46417
NB,SpoonSizeShdWt,Adult,2.81,.0208,3.2369847
QK,100%Natural,Adult,2.24,.0196,2.5835345
KG,FrostedMiniWheats,Adult,2.62,.0184,3.0255113
KG,NutriGrain,Adult,2.87,.0155,3.3239963
KG,Mueslix,Adult,3.31,.0153,3.8343775
GM,Wheaties,Fam,2.55,.0152,2.9542766
PT,RaisinBran,Fam,2.23,.0146,2.5851178
KG,CornPops,Fam,3.51,.0146,4.0689526
GM,RaisinNutBran,Adult,2.98,.0135,3.4584084
GM,Basic4,Adult,3.27,.0131,3.7965038
GM,CocoaPus,Kids,3.46,.0128,4.0183167
RL,Muesli,Adult,3.34,.0126,3.879739
GM,GoldenGrahams,Kids,3.24,.0124,3.7643416
GM,Cinn.ToastCrunch,Kids,3.36,.0123,3.9041569
KG,FrootLoops,Kids,3.53,.012,4.1029344
KG,LowFatGranola,Adult,2.68,.0117,3.1159215
GM,Trix,Kids,3.96,.0113,4.6059866
KG,Crispix,Adult,3.28,.0112,3.8154452
GM,Triples,Adult,2.33,.0112,2.710362
GM,LuckyCharms,Kids,3.45,.0108,4.0148206
GM,Kix,Kids,3.67,.0108,4.2708383
KG,CracklinOatBran,Adult,3.19,.0106,3.7130048
GM,AppleCinn.Cheerios,Fam,3.02,.0106,3.5151331
NB,BigBiscuitShdWt,Adult,2.79,.0098999999,3.2497218
GM,OtmlRaisinCrisp,Adult,2.71,.0097000003,3.1571774
PT,HoneyBunchesofOats,Adult,2.85,.0094999997,3.3209496
QK,OatSquares,Adult,2.43,.0093999999,2.8318322
PT,GreatGraines,Adult,2.9,.0088999998,3.3812587
RL,RiceChex,Adult,3.4,.0088999998,3.9642344
GM,TotalRaisinBran,Adult,3,.0088999998,3.4978538
KG,Product19,Adult,3.38,.0088999998,3.9409153
KG,AppleJacks,Kids,3.64,.0083999997,4.2462039
QK,CaptCrunch,Kids,2.55,.0082999999,2.9749756
PT,FruityPebbles,Kids,3.21,.0082999999,3.7449694
NB,ShreddedWheat,Adult,2.82,.0080000004,3.2909684
GM,Clusters,Fam,3.14,.0077999998,3.6651504
KG,CinnamonMiniBuns,Fam,2.75,.0076000001,3.2105718
GM,MultiGrainCheerios,Fam,3.34,.0074999998,3.8997781
PT,Honeycomb,Kids,3.4,.0074,3.9702342
KG,DoubleDipCrunch,Adult,3.01,.0073000002,3.5151789
QK,Popeye,Kids,1.77,.0066999998,2.0683148
