row_product,column_product,elasticity
GreatGraines,GreatGraines,-2.1926105
RiceChex,GreatGraines,.050662424
OtmlRaisinCrisp,GreatGraines,.050662424
Basic4,GreatGraines,.050662424
100%Natural,GreatGraines,.050662424
LowFatGranola,GreatGraines,.050662424
CracklinOatBran,GreatGraines,.050662424
Total,GreatGraines,.050662424
DoubleDipCrunch,GreatGraines,.050662424
NutriGrain,GreatGraines,.050662424
OatSquares,GreatGraines,.050662424
Muesli,GreatGraines,.050662424
Product19,GreatGraines,.050662424
BigBiscuitShdWt,GreatGraines,.050662424
TotalRaisinBran,GreatGraines,.050662424
FrostedMiniWheats,GreatGraines,.050662424
SpecialK,GreatGraines,.050662424
HoneyBunchesofOats,GreatGraines,.050662424
RaisinNutBran,GreatGraines,.050662424
ShreddedWheat,GreatGraines,.050662424
GrapeNuts,GreatGraines,.050662424
SpoonSizeShdWt,GreatGraines,.050662424
Triples,GreatGraines,.050662424
Mueslix,GreatGraines,.050662424
Crispix,GreatGraines,.050662424
Cheerios,GreatGraines,.018373424
FrostedFlakes,GreatGraines,.018373424
CornFlakes,GreatGraines,.018373424
CinnamonMiniBuns,GreatGraines,.018373424
RiceKrispies,GreatGraines,.018373424
Wheaties,GreatGraines,.018373424
RaisinBran,GreatGraines,.018373424
HoneyNutCheerios,GreatGraines,.018373424
AppleCinn.Cheerios,GreatGraines,.018373424
Clusters,GreatGraines,.018373424
RaisinBran,GreatGraines,.018373424
CornPops,GreatGraines,.018373424
MultiGrainCheerios,GreatGraines,.018373424
CocoaPus,GreatGraines,.018373424
Cinn.ToastCrunch,GreatGraines,.018373424
CaptCrunch,GreatGraines,.018373424
Popeye,GreatGraines,.018373424
FruityPebbles,GreatGraines,.018373424
Trix,GreatGraines,.018373424
Kix,GreatGraines,.018373424
Honeycomb,GreatGraines,.018373424
FrootLoops,GreatGraines,.018373424
LuckyCharms,GreatGraines,.018373424
AppleJacks,GreatGraines,.018373424
GoldenGrahams,GreatGraines,.018373424
GreatGraines,RiceChex,.048021585
GreatGraines,OtmlRaisinCrisp,.042446457
GreatGraines,Basic4,.040337123
GreatGraines,100%Natural,.061370786
GreatGraines,LowFatGranola,.052046735
GreatGraines,CracklinOatBran,.039437689
GreatGraines,Total,.040223654
GreatGraines,DoubleDipCrunch,.04495015
GreatGraines,NutriGrain,.064853758
GreatGraines,OatSquares,.062363449
GreatGraines,Muesli,.036873393
GreatGraines,Product19,.045800894
