model,parameter,estimate,std_error,statistic,p_value,objective_gmm,sigma_nested
OLS,b0,-2.0208343996055764,0.8216115354305581,-2.4595983776524952,0.013909257086516491,NA,NA
OLS,price,-0.22401891912400385,0.19874199297598366,-1.127184626507568,0.25966442900495973,NA,NA
OLS,cals,5.053779333584196e-4,0.0025159761755194545,0.20086753534304755,0.8408021533492777,NA,NA
OLS,fat,-0.00511221456791644,0.0501072844653563,-0.10202537659870546,0.9187365325691191,NA,NA
OLS,sugar,-0.029487366329115305,0.016481455792051777,-1.789123891794538,0.07359486522100711,NA,NA
IV_own,b0,-7.429019538813691,3.1692804610853966,-2.344071353113837,0.019074521869174653,0.20560253374138177,NA
IV_own,cals,0.008551499387012829,0.006332328479470584,1.3504510094093822,0.1768713581330028,0.20560253374138177,NA
IV_own,fat,-0.07472505329857881,0.1295188468306365,-0.5769434729162775,0.5639776419566354,0.20560253374138177,NA
IV_own,sugar,-0.04993447325750111,0.030828576390772116,-1.6197463231694325,0.10528678097198818,0.20560253374138177,NA
IV_own,price,1.3030094867217485,0.8962875095526398,1.4537851669629025,0.14600587714021476,0.20560253374138177,NA
IV_rival,b0,-7.429019538802095,3.1692804610309464,-2.3440713531504507,0.019074521867302106,0.20560253374228188,NA
IV_rival,cals,0.00855149938699551,0.006332328479424976,1.3504510094163735,0.1768713581307616,0.20560253374228188,NA
IV_rival,fat,-0.0747250532984225,0.12951884683027565,-0.5769434729166779,0.5639776419563649,0.20560253374228188,NA
IV_rival,sugar,-0.04993447325745315,0.0308285763907002,-1.6197463231716553,0.10528678097151042,0.20560253374228188,NA
IV_rival,price,1.3030094867185653,0.8962875095386454,1.4537851669820498,0.14600587713490454,0.20560253374228188,NA
IV_both,b0,-7.429019538808916,3.1692804610699548,-2.3440713531237516,0.019074521868667586,0.20560253374151127,NA
IV_both,cals,0.008551499387006167,0.006332328479451543,1.3504510094123912,0.17687135813203822,0.20560253374151127,NA
IV_both,fat,-0.07472505329852908,0.12951884683046372,-0.576943472916663,0.5639776419563749,0.20560253374151127,NA
IV_both,sugar,-0.04993447325748246,0.030828576390734542,-1.6197463231708018,0.10528678097169385,0.20560253374151127,NA
IV_both,price,1.3030094867202706,0.8962875095480328,1.453785166968726,0.14600587713859972,0.20560253374151127,NA
GMM_own_1,b0,-7.429022419205459,3.169282551671936,-2.3440707157165024,0.019074554467710034,0.2056025337436135,NA
GMM_own_1,bcals,0.008551504740605629,0.006332332394552182,1.3504510199058155,0.17687135476814675,0.2056025337436135,NA
GMM_own_1,bfat,-0.07472513267246086,0.1295189174832894,-0.5769437710294478,0.5639774405653202,0.2056025337436135,NA
GMM_own_1,bsugar,-0.049934514783720456,0.030828589675973232,-1.6197469721632365,0.10528664150300748,0.2056025337436135,NA
GMM_own_1,bp,1.3030103755870734,0.8962880724929791,1.4537852455883042,0.14600585533481228,0.2056025337436135,NA
GMM_own_2,b0,-7.009837907802118,2.8433821951019946,-2.4653168047113936,0.013689215642748068,0.32337656922005775,NA
GMM_own_2,bcals,0.0080061908174907,0.005701534732390415,1.4042167930693354,0.16025430268829546,0.32337656922005775,NA
GMM_own_2,bfat,-0.06394757898074876,0.11469865975859606,-0.5575268195403323,0.5771675402635196,0.32337656922005775,NA
GMM_own_2,bsugar,-0.048623363396790284,0.02887055548032703,-1.6841852395227799,0.09214587494871425,0.32337656922005775,NA
GMM_own_2,bp,1.1764212926245619,0.804015387673552,1.4631825592649166,0.14341743179795094,0.32337656922005775,NA
GMM_rival_1,b0,-7.42902356541307,3.169282524792795,-2.3440710972584475,0.019074534954430556,0.20560253374482831,NA
GMM_rival_1,bcals,0.008551501134263544,0.006332333235178139,1.3504502711192168,0.17687159480781697,0.20560253374482831,NA
GMM_rival_1,bfat,-0.07472502439439858,0.12951891285644504,-0.5769429556378504,0.5639779914058296,0.20560253374482831,NA
GMM_rival_1,bsugar,-0.049934470509702296,0.030828595843529108,-1.6197452119825786,0.10528701976674673,0.20560253374482831,NA
GMM_rival_1,bp,1.3030107294333289,0.8962880701601139,1.453785644162995,0.14600574479701736,0.20560253374482831,NA
GMM_rival_2,b0,-7.0098411087911,2.8433844403050728,-2.4653159838066077,0.013689247008710777,0.32337648665352414,NA
GMM_rival_2,bcals,0.008006197792227398,0.005701538976200354,1.4042169711804593,0.1602542496664627,0.32337648665352414,NA
GMM_rival_2,bfat,-0.06394779930690347,0.1146987660031577,-0.5575282240189312,0.5771665809560989,0.32337648665352414,NA
GMM_rival_2,bsugar,-0.048623388743896545,0.028870568530450866,-1.6841853561910858,0.09214585240844385,0.32337648665352414,NA
GMM_rival_2,bp,1.176422200537083,0.8040159923178294,1.4631825881294667,0.14341742390183312,0.32337648665352414,NA
GMM_both_1,b0,-7.429022419205459,3.1692825516394176,-2.344070715740554,0.019074554466479963,0.20560253374378853,NA
GMM_both_1,bcals,0.008551504740605629,0.006332332394521007,1.3504510199124637,0.17687135476601554,0.20560253374378853,NA
GMM_both_1,bfat,-0.07472513267246086,0.1295189174830923,-0.5769437710303258,0.5639774405647272,0.20560253374378853,NA
GMM_both_1,bsugar,-0.049934514783720456,0.030828589675957144,-1.6197469721640818,0.10528664150282582,0.20560253374378853,NA
GMM_both_1,bp,1.3030103755870734,0.8962880724834351,1.4537852456037845,0.14600585533051907,0.20560253374378853,NA
GMM_both_2,b0,-7.009837443332314,2.843382018540637,-2.465316794445407,0.013689216035000906,0.3233765692198136,NA
GMM_both_2,bcals,0.008006190124224183,0.005701534343064807,1.4042167673624026,0.16025431034098367,0.3233765692198136,NA
GMM_both_2,bfat,-0.06394760552425469,0.11469866067995188,-0.5575270464813026,0.5771673852549433,0.3233765692198136,NA
