product,firm,segment,price,share,markup_monoproduct,mc_monoproduct,markup_multiproduct,mc_multiproduct,markup_mono_over_price,markup_multi_over_price
CornFlakes,KG,Fam,1.81,0.0567,-0.9011294649861192,2.7111294649861195,-1.2606190483781798,3.07061904837818,-0.4978615828652592,-0.6964746123636353
Cheerios,GM,Fam,3.16,0.0438,-0.8889724161487202,4.04897241614872,-1.1454459295531678,4.3054459295531675,-0.28132038485718996,-0.3624828890991037
RiceKrispies,KG,Fam,2.96,0.0404,-0.8858226597763718,3.845822659776372,-1.260619048378179,4.220619048378179,-0.2992644120866121,-0.42588481364127667
FrostedFlakes,KG,Fam,2.52,0.0382,-0.883796448660227,3.403796448660227,-1.2606190483781796,3.7806190483781794,-0.350712876452471,-0.5002456541183252
RaisinBran,KG,Fam,2.34,0.0273,-0.8738926948919568,3.213892694891957,-1.260619048378179,3.600619048378179,-0.37345841662049434,-0.5387260890505039
Total,GM,Adult,3.61,0.0236,-0.870581139206684,4.480581139206684,-1.1454459295531676,4.755445929553168,-0.24115821030656068,-0.31729804142747026
HoneyNutCheerios,GM,Fam,3.14,0.022600000000000002,-0.8696904279940723,4.009690427994072,-1.1454459295531676,4.285445929553168,-0.2769714738834625,-0.36479169730992594
SpecialK,KG,Adult,3.48,0.0216,-0.8688015375320997,4.3488015375321,-1.2606190483781794,4.740619048378179,-0.24965561423336197,-0.36224685298223547
GrapeNuts,PT,Adult,2.14,0.0212,-0.868446489907444,3.008446489907444,-0.9139183145053286,3.053918314505329,-0.4058161167791794,-0.42706463294641517
SpoonSizeShdWt,NB,Adult,2.8099999999999996,0.0208,-0.8680917323543773,3.678091732354377,-0.8842561368161931,3.694256136816193,-0.30892944211899553,-0.31468189922284456
100%Natural,QK,Adult,2.24,0.0196,-0.8670291965742617,3.107029196574262,-0.8891583936416383,3.1291583936416387,-0.38706660561350964,-0.3969457114471599
FrostedMiniWheats,KG,Adult,2.62,0.0184,-0.8659692586811392,3.4859692586811395,-1.2606190483781792,3.880619048378179,-0.3305226178172287,-0.48115230854128976
NutriGrain,KG,Adult,2.8699999999999997,0.0155,-0.8634184096713116,3.7334184096713114,-1.2606190483781787,4.130619048378178,-0.3008426514534187,-0.43924008654291946
Mueslix,KG,Adult,3.3099999999999996,0.015300000000000001,-0.863243042877431,4.173243042877431,-1.2606190483781798,4.5706190483781794,-0.26079850237988855,-0.3808516762471843
Wheaties,GM,Fam,2.55,0.0152,-0.8631553861915174,3.413155386191517,-1.1454459295531678,3.6954459295531676,-0.338492308310399,-0.4491944821777129
RaisinBran,PT,Fam,2.23,0.0146,-0.8626298196888637,3.0926298196888635,-0.9139183145053286,3.1439183145053287,-0.38682951555554423,-0.40982884058534913
Muesli,RL,Adult,3.34,0.0126,-0.8608825443806019,4.200882544380602,-0.8687127484122701,4.20871274841227,-0.25774926478461135,-0.26009363724918266
CornPops,KG,Fam,3.51,0.0146,-0.8626298196888637,4.372629819688863,-1.260619048378179,4.770619048378179,-0.24576348139283866,-0.35915072603366927
RaisinNutBran,GM,Adult,2.98,0.013500000000000002,-0.8616679415320895,3.8416679415320893,-1.1454459295531676,4.125445929553168,-0.2891503159503656,-0.38437782870911663
Basic4,GM,Adult,3.27,0.0131,-0.8613186992820006,4.131318699282001,-1.1454459295531678,4.415445929553168,-0.26340021384770657,-0.35028927509271185
CocoaPus,GM,Kids,3.46,0.0128,-0.8610569533239529,4.321056953323953,-1.145445929553168,4.605445929553168,-0.24886039113409045,-0.3310537368650775
GoldenGrahams,GM,Kids,3.24,0.0124,-0.8607082060767581,4.100708206076758,-1.1454459295531678,4.385445929553168,-0.2656506808878883,-0.3535326943065333
Cinn.ToastCrunch,GM,Kids,3.36,0.0123,-0.8606210634012416,4.220621063401241,-1.1454459295531678,4.505445929553168,-0.25613722125036953,-0.3409065266527285
FrootLoops,KG,Kids,3.53,0.012,-0.8603597412159982,4.390359741215998,-1.2606190483781796,4.790619048378179,-0.24372797201586355,-0.3571158777275297
LowFatGranola,KG,Adult,2.68,0.011700000000000002,-0.8600985776802654,3.540098577680266,-1.2606190483781794,3.9406190483781796,-0.32093230510457665,-0.47038024193215644
Trix,GM,Kids,3.96,0.011300000000000001,-0.8597506061711402,4.81975060617114,-1.145445929553168,5.105445929553168,-0.2171087389321061,-0.2892540226144364
Triples,GM,Adult,2.3299999999999996,0.011200000000000002,-0.8596636572829756,3.189663657282975,-1.1454459295531678,3.4754459295531674,-0.3689543593489166,-0.4916076950871966
Crispix,KG,Adult,3.2800000000000002,0.011200000000000002,-0.8596636572829756,4.139663657282976,-1.260619048378179,4.540619048378179,-0.26209257843993156,-0.38433507572505454
Kix,GM,Kids,3.67,0.0108,-0.8593160375266946,4.529316037526694,-1.1454459295531685,4.815445929553168,-0.23414605927157892,-0.31211060750767533
LuckyCharms,GM,Kids,3.4499999999999997,0.0108,-0.8593160375266946,4.309316037526695,-1.1454459295531687,4.595445929553168,-0.24907711232657817,-0.33201331291396197
AppleCinn.Cheerios,GM,Fam,3.02,0.0106,-0.859142333051755,3.879142333051755,-1.1454459295531683,4.165445929553169,-0.28448421624230297,-0.37928673164012194
CracklinOatBran,KG,Adult,3.19,0.0106,-0.859142333051755,4.049142333051755,-1.26061904837818,4.45061904837818,-0.2693236153767257,-0.3951783850715298
BigBiscuitShdWt,NB,Adult,2.79,0.009899999999999999,-0.8585349200297003,3.6485349200297,-0.884256136816193,3.674256136816193,-0.3077186093296417,-0.3169376834466641
HoneyBunchesofOats,PT,Adult,2.8499999999999996,0.0095000000000000015,-0.8581882123386233,3.708188212338623,-0.9139183145053286,3.7639183145053283,-0.3011186709960082,-0.3206730928088873
GreatGraines,PT,Adult,2.9,0.0089,-0.8576686755336559,3.757668675533656,-0.9139183145053285,3.8139183145053286,-0.2957478191495365,-0.31514424638114774
OtmlRaisinCrisp,GM,Adult,2.71,0.0097,-0.8583615311737922,3.5683615311737924,-1.1454459295531687,3.8554459295531687,-0.3167385723888532,-0.4226737747428667
OatSquares,QK,Adult,2.4299999999999997,0.0094,-0.8581015791655626,3.2881015791655623,-0.8891583936416383,3.3191583936416382,-0.3531282218788324,-0.36590880396775244
RiceChex,RL,Adult,3.4,0.0089,-0.8576686755336559,4.2576686755336555,-0.8687127484122702,4.26871274841227,-0.25225549280401643,-0.25550374953302063
TotalRaisinBran,GM,Adult,3,0.0089,-0.8576686755336559,3.857668675533656,-1.1454459295531687,4.145445929553169,-0.2858895585112186,-0.3818153098510562
Product19,KG,Adult,3.38,0.0089,-0.8576686755336559,4.237668675533656,-1.2606190483781794,4.640619048378179,-0.2537481288561112,-0.37296421549650277
