idProduct,firm,product,segment,price,share,delta,cals,fat,sugar,shelf_price,ad_price,share_pct,outside_share,cons,idfirm,idsegment,total_firm_cals,total_all_cals,n_firm_cals,own_cals,rival_cals,total_firm_fat,total_all_fat,n_firm_fat,own_fat,rival_fat,total_firm_sugar,total_all_sugar,n_firm_sugar,own_sugar,rival_sugar,n_products_firm,n_total_products,n_rival_products,nest_share,share_within_nest,log_share_within_nest,n_products_nest,n_same_nest_other,n_rival_nest,total_nest_cals,nest_own_cals,nest_rival_cals,total_nest_fat,nest_own_fat,nest_rival_fat,total_nest_sugar,nest_own_sugar,nest_rival_sugar
1,KG,CornFlakes,Fam,1.81,0.0567,-1.4548756252744204,100.0,0.0,2.0,1.95,7.109,5.67,0.2429,1.0,2,2,2300.0,7281.0,17,2200.0,4981.0,19.0,80.4,17,19.0,61.400000000000006,164.0,505.40000000000003,17,162.0,341.40000000000003,17,50,33,0.3069,0.18475073313782991,-1.6887477508919841,13,12,37,1750.0,1650.0,5531.0,14.0,14.0,66.4,140.0,138.0,365.40000000000003
2,GM,Cheerios,Fam,3.16,0.0438,-1.7130160186257266,110.0,2.0,1.0,3.47,7.287,4.38,0.2429,1.0,1,2,2550.0,7281.0,18,2440.0,4731.0,32.3,80.4,18,30.299999999999997,48.10000000000001,202.0,505.40000000000003,18,201.0,303.40000000000003,18,50,32,0.3069,0.14271749755620722,-1.9468881442432902,13,12,37,1750.0,1640.0,5531.0,14.0,12.0,66.4,140.0,139.0,365.40000000000003
3,KG,RiceKrispies,Fam,2.96,0.0404,-1.7938200510410225,120.0,0.0,3.0,3.2,6.034,4.04,0.2429,1.0,2,2,2300.0,7281.0,17,2180.0,4981.0,19.0,80.4,17,19.0,61.400000000000006,164.0,505.40000000000003,17,161.0,341.40000000000003,17,50,33,0.3069,0.13163897034864777,-2.027692176658586,13,12,37,1750.0,1630.0,5531.0,14.0,14.0,66.4,140.0,137.0,365.40000000000003
4,KG,FrostedFlakes,Fam,2.52,0.0382,-1.8498143203955972,120.0,0.0,13.0,2.68,7.867,3.82,0.2429,1.0,2,2,2300.0,7281.0,17,2180.0,4981.0,19.0,80.4,17,19.0,61.400000000000006,164.0,505.40000000000003,17,151.0,341.40000000000003,17,50,33,0.3069,0.12447051156728575,-2.083686446013161,13,12,37,1750.0,1630.0,5531.0,14.0,14.0,66.4,140.0,127.0,365.40000000000003
5,KG,RaisinBran,Fam,2.34,0.0273,-2.185763133817213,200.0,1.5,18.0,2.5,5.591,2.73,0.2429,1.0,2,2,2300.0,7281.0,17,2100.0,4981.0,19.0,80.4,17,17.5,61.400000000000006,164.0,505.40000000000003,17,146.0,341.40000000000003,17,50,33,0.3069,0.08895405669599218,-2.4196352594347763,13,12,37,1750.0,1550.0,5531.0,14.0,12.5,66.4,140.0,122.0,365.40000000000003
6,GM,Total,Adult,3.61,0.0236,-2.3314031239765622,110.0,1.0,5.0,4.04,3.926,2.36,0.2429,1.0,1,1,2550.0,7281.0,18,2440.0,4731.0,32.3,80.4,18,31.299999999999997,48.10000000000001,202.0,505.40000000000003,18,197.0,303.40000000000003,18,50,32,0.3293,0.0716671727907683,-2.6357224773507544,25,24,25,4116.0,4006.0,3165.0,52.6,51.6,27.800000000000004,219.6,214.6,285.80000000000007
7,GM,HoneyNutCheerios,Fam,3.14,0.0226,-2.3746999297298865,120.0,1.5,11.0,3.41,4.03,2.26,0.2429,1.0,1,2,2550.0,7281.0,18,2430.0,4731.0,32.3,80.4,18,30.799999999999997,48.10000000000001,202.0,505.40000000000003,18,191.0,303.40000000000003,18,50,32,0.3069,0.0736396220267188,-2.6085720553474503,13,12,37,1750.0,1630.0,5531.0,14.0,12.5,66.4,140.0,129.0,365.40000000000003
8,KG,SpecialK,Adult,3.48,0.0216,-2.4199565213180074,110.0,0.0,3.0,3.78,3.531,2.16,0.2429,1.0,2,1,2300.0,7281.0,17,2190.0,4981.0,19.0,80.4,17,19.0,61.400000000000006,164.0,505.40000000000003,17,161.0,341.40000000000003,17,50,33,0.3293,0.06559368357121168,-2.724275874692199,25,24,25,4116.0,4006.0,3165.0,52.6,52.6,27.800000000000004,219.6,216.6,285.80000000000007
9,PT,GrapeNuts,Adult,2.14,0.0212,-2.4386486543301604,200.0,1.0,7.0,2.29,6.74,2.12,0.2429,1.0,4,1,950.0,7281.0,6,750.0,6331.0,10.7,80.4,6,9.7,69.7,66.5,505.40000000000003,6,59.5,438.90000000000003,6,50,44,0.3293,0.06437898572730034,-2.7429680077043517,25,24,25,4116.0,3916.0,3165.0,52.6,51.6,27.800000000000004,219.6,212.6,285.80000000000007
10,NB,SpoonSizeShdWt,Adult,2.81,0.0208,-2.457696849300855,170.0,0.5,0.0,3.05,0.025,2.08,0.2429,1.0,3,1,486.0,7281.0,3,316.0,6795.0,2.2,80.4,3,1.7000000000000002,78.2,9.6,505.40000000000003,3,9.6,495.8,3,50,47,0.3293,0.06316428788338901,-2.762016202675046,25,24,25,4116.0,3946.0,3165.0,52.6,52.1,27.800000000000004,219.6,219.6,285.80000000000007
11,QK,100%Natural,Adult,2.24,0.0196,-2.517120269771655,220.0,8.0,13.5,2.55,1.612,1.96,0.2429,1.0,5,1,665.0,7281.0,4,445.0,6616.0,13.5,80.4,4,5.5,66.9,47.3,505.40000000000003,4,33.8,458.1,4,50,46,0.3293,0.05952019435165503,-2.821439623145847,25,24,25,4116.0,3896.0,3165.0,52.6,44.6,27.800000000000004,219.6,206.1,285.80000000000007
12,KG,FrostedMiniWheats,Adult,2.62,0.0184,-2.580299171393187,170.0,1.0,10.0,2.75,6.106,1.84,0.2429,1.0,2,1,2300.0,7281.0,17,2130.0,4981.0,19.0,80.4,17,18.0,61.400000000000006,164.0,505.40000000000003,17,154.0,341.40000000000003,17,50,33,0.3293,0.055876100819921046,-2.8846185247673786,25,24,25,4116.0,3946.0,3165.0,52.6,51.6,27.800000000000004,219.6,209.6,285.80000000000007
13,KG,NutriGrain,Adult,2.87,0.0155,-2.751809812082926,100.0,1.0,0.0,3.1,2.508,1.55,0.2429,1.0,2,1,2300.0,7281.0,17,2200.0,4981.0,19.0,80.4,17,18.0,61.400000000000006,164.0,505.40000000000003,17,164.0,341.40000000000003,17,50,33,0.3293,0.047069541451563925,-3.0561291654571177,25,24,25,4116.0,4016.0,3165.0,52.6,51.6,27.800000000000004,219.6,219.6,285.80000000000007
14,KG,Mueslix,Adult,3.31,0.015300000000000001,-2.7647970076097375,200.0,4.0,13.0,3.58,1.975,1.53,0.2429,1.0,2,1,2300.0,7281.0,17,2100.0,4981.0,19.0,80.4,17,15.0,61.400000000000006,164.0,505.40000000000003,17,151.0,341.40000000000003,17,50,33,0.3293,0.046462192529608266,-3.0691163609839287,25,24,25,4116.0,3916.0,3165.0,52.6,48.6,27.800000000000004,219.6,206.6,285.80000000000007
15,GM,Wheaties,Fam,2.55,0.0152,-2.7713544081558963,110.0,1.0,4.0,2.86,2.257,1.52,0.2429,1.0,1,2,2550.0,7281.0,18,2440.0,4731.0,32.3,80.4,18,31.299999999999997,48.10000000000001,202.0,505.40000000000003,18,198.0,303.40000000000003,18,50,32,0.3069,0.04952753339850114,-3.0052265337734596,13,12,37,1750.0,1640.0,5531.0,14.0,13.0,66.4,140.0,136.0,365.40000000000003
16,PT,RaisinBran,Fam,2.23,0.0146,-2.8116283072938364,190.0,1.0,20.0,2.57,4.361,1.46,0.2429,1.0,4,2,950.0,7281.0,6,760.0,6331.0,10.7,80.4,6,9.7,69.7,66.5,505.40000000000003,6,46.5,438.90000000000003,6,50,44,0.3069,0.04757249918540241,-3.0455004329113997,13,12,37,1750.0,1560.0,5531.0,14.0,13.0,66.4,140.0,120.0,365.40000000000003
17,RL,Muesli,Adult,3.34,0.0126,-2.9589530220506948,210.0,2.7,14.0,3.93,0.215,1.26,0.2429,1.0,6,1,330.0,7281.0,2,120.0,6951.0,2.7,80.4,2,0.0,77.7,16.0,505.40000000000003,2,2.0,489.40000000000003,2,50,48,0.3293,0.038262982083206803,-3.2632723754248865,25,24,25,4116.0,3906.0,3165.0,52.6,49.9,27.800000000000004,219.6,205.6,285.80000000000007
18,KG,CornPops,Fam,3.51,0.0146,-2.8116283072938364,120.0,0.0,14.0,3.69,3.198,1.46,0.2429,1.0,2,2,2300.0,7281.0,17,2180.0,4981.0,19.0,80.4,17,19.0,61.400000000000006,164.0,505.40000000000003,17,150.0,341.40000000000003,17,50,33,0.3069,0.04757249918540241,-3.0455004329113997,13,12,37,1750.0,1630.0,5531.0,14.0,14.0,66.4,140.0,126.0,365.40000000000003
19,GM,RaisinNutBran,Adult,2.98,0.013500000000000002,-2.889960150563743,210.0,4.5,16.0,3.22,1.659,1.35,0.2429,1.0,1,1,2550.0,7281.0,18,2340.0,4731.0,32.3,80.4,18,27.799999999999997,48.10000000000001,202.0,505.40000000000003,18,186.0,303.40000000000003,18,50,32,0.3293,0.04099605223200729,-3.194279503937935,25,24,25,4116.0,3906.0,3165.0,52.6,48.1,27.800000000000004,219.6,203.6,285.80000000000007
20,GM,Basic4,Adult,3.27,0.0131,-2.9200376058010216,210.0,3.0,12.0,3.63,2.51,1.31,0.2429,1.0,1,1,2550.0,7281.0,18,2340.0,4731.0,32.3,80.4,18,29.299999999999997,48.10000000000001,202.0,505.40000000000003,18,190.0,303.40000000000003,18,50,32,0.3293,0.03978135438809596,-3.224356959175213,25,24,25,4116.0,3906.0,3165.0,52.6,49.6,27.800000000000004,219.6,207.6,285.80000000000007
21,GM,CocoaPus,Kids,3.46,0.0128,-2.943204665082556,120.0,1.0,14.0,3.67,2.097,1.28,0.2429,1.0,1,3,2550.0,7281.0,18,2430.0,4731.0,32.3,80.4,18,31.299999999999997,48.10000000000001,202.0,505.40000000000003,18,188.0,303.40000000000003,18,50,32,0.1215,0.10534979423868314,-2.2504690918550314,12,11,38,1415.0,1295.0,5866.0,13.8,12.8,66.60000000000001,145.8,131.8,359.6
