product,own_elasticity_nested_logit
Trix,-1.7388690335564672
Total,-1.6223139804372104
AppleJacks,-1.6039014898974446
CornPops,-1.5636610980765182
SpecialK,-1.5553001943332554
FrootLoops,-1.5470836093879177
Kix,-1.5323651836931131
Product19,-1.5155377839658006
RiceChex,-1.5104502867309704
CocoaPus,-1.5082787967715754
LuckyCharms,-1.4969004605308769
MultiGrainCheerios,-1.4945853454576927
Muesli,-1.4882593726335218
Mueslix,-1.4784748729077422
Honeycomb,-1.463238258615876
Crispix,-1.4629925645191313
Basic4,-1.4496207983854166
CracklinOatBran,-1.4346428285944808
Cinn.ToastCrunch,-1.4310377769616074
FruityPebbles,-1.3871451406762014
HoneyNutCheerios,-1.3850835341024272
GoldenGrahams,-1.3826145803401293
DoubleDipCrunch,-1.3564934783048157
TotalRaisinBran,-1.350484612287926
Cheerios,-1.3413962576214415
AppleCinn.Cheerios,-1.3389185206751277
Clusters,-1.335102194656903
RaisinNutBran,-1.3319253605528365
GreatGraines,-1.2772459895182455
HoneyBunchesofOats,-1.2722124606312517
NutriGrain,-1.2711085185628774
BigBiscuitShdWt,-1.2408386484191876
RiceKrispies,-1.2393217476349523
OtmlRaisinCrisp,-1.211646458192184
CinnamonMiniBuns,-1.2061295168145867
ShreddedWheat,-1.2023379344978957
LowFatGranola,-1.187389577507053
SpoonSizeShdWt,-1.1864650318410035
FrostedMiniWheats,-1.1574577466373293
FrostedFlakes,-1.103090838987083
CaptCrunch,-1.0844092840726633
Wheaties,-1.0763636273790742
OatSquares,-1.0400455317095687
Triples,-1.0334229965315864
RaisinBran,-0.9942076912850936
100%Natural,-0.9891371096208879
RaisinBran,-0.9614576476136281
GrapeNuts,-0.9027332852847026
CornFlakes,-0.7278121566426278
Popeye,-0.7246486287856594
