product,firm,segment,price,share,markup_monoproduct,mc_monoproduct,markup_multiproduct,mc_multiproduct,markup_mono_over_price,markup_multi_over_price
CornFlakes,KG,Fam,1.81,0.0567,-0.2046431596872966,2.0146431596872967,-0.28628191091951194,2.096281910919512,-0.11306251916425226,-0.15816680161299002
Cheerios,GM,Fam,3.16,0.0438,-0.20188233898036695,3.361882338980367,-0.2601265227503394,3.4201265227503397,-0.06388681613302752,-0.08231851985770233
RiceKrispies,KG,Fam,2.96,0.0404,-0.20116704098898175,3.161167040988982,-0.28628191091951194,3.246281910919512,-0.0679618381719533,-0.09671686179713242
FrostedFlakes,KG,Fam,2.52,0.0382,-0.2007068959586472,2.720706895958647,-0.2862819109195119,2.806281910919512,-0.07964559363438381,-0.1136039329045682
RaisinBran,KG,Fam,2.34,0.0273,-0.1984577902056409,2.5384577902056407,-0.28628191091951194,2.626281910919512,-0.08481102145540209,-0.12234269697415041
Total,GM,Adult,3.61,0.0236,-0.1977057481903184,3.807705748190318,-0.26012652275033943,3.8701265227503394,-0.05476613523277518,-0.07205720851809956
HoneyNutCheerios,GM,Fam,3.14,0.0226,-0.19750347097710955,3.3375034709771096,-0.26012652275033943,3.4001265227503397,-0.0628991945786973,-0.08284284164023549
SpecialK,KG,Adult,3.48,0.0216,-0.19730160724961865,3.6773016072496185,-0.28628191091951194,3.766281910919512,-0.05669586415218927,-0.08226491693089423
GrapeNuts,PT,Adult,2.14,0.0212,-0.19722097725074264,2.337220977250743,-0.20754745998605195,2.347547459986052,-0.09215933516389843,-0.09698479438600557
SpoonSizeShdWt,NB,Adult,2.81,0.0208,-0.1971404131260487,3.0071404131260486,-0.20081128943412763,3.0108112894341277,-0.0701567306498394,-0.07146309232531232
100%Natural,QK,Adult,2.24,0.0196,-0.1968991151907659,2.436899115190766,-0.2019245737793168,2.441924573779317,-0.08790139071016334,-0.09014489900862356
FrostedMiniWheats,KG,Adult,2.62,0.0184,-0.19665840722598502,2.8166584072259853,-0.2862819109195119,2.906281910919512,-0.07506046077327672,-0.1092679049311114
NutriGrain,KG,Adult,2.87,0.0155,-0.19607911887559867,3.066079118875599,-0.28628191091951194,3.156281910919512,-0.06832025047930267,-0.09974979474547455
Mueslix,KG,Adult,3.31,0.015300000000000001,-0.19603929372705076,3.506039293727051,-0.2862819109195119,3.596281910919512,-0.05922637272720566,-0.08649000329894618
Wheaties,GM,Fam,2.55,0.0152,-0.19601938721875192,2.7460193872187517,-0.26012652275033943,2.8101265227503394,-0.07687034792892233,-0.10201040107856449
RaisinBran,PT,Fam,2.23,0.0146,-0.19590003301504658,2.4259000330150466,-0.20754745998605195,2.437547459986052,-0.08784754843724062,-0.09307060985921613
Muesli,RL,Adult,3.34,0.0126,-0.19550323327225733,3.5355032332722574,-0.19728144356977703,3.537281443569777,-0.05853390217732256,-0.05906630046999312
CornPops,KG,Fam,3.51,0.0146,-0.19590003301504658,3.7059000330150464,-0.28628191091951194,3.796281910919512,-0.05581197521796199,-0.08156179798276694
RaisinNutBran,GM,Adult,2.98,0.013500000000000002,-0.19568159405273886,3.175681594052739,-0.2601265227503394,3.2401265227503395,-0.0656649644472278,-0.0872907794464226
Basic4,GM,Adult,3.27,0.0131,-0.19560228243289784,3.465602282432898,-0.26012652275033943,3.5301265227503396,-0.05981721175317977,-0.07954939533649524
CocoaPus,GM,Kids,3.46,0.0128,-0.19554284089650212,3.6555428408965023,-0.2601265227503394,3.7201265227503395,-0.05651527193540524,-0.07518107593940444
GoldenGrahams,GM,Kids,3.24,0.0124,-0.19546364168998268,3.435463641689983,-0.26012652275033943,3.5001265227503398,-0.06032828447221687,-0.08028596381183316
Cinn.ToastCrunch,GM,Kids,3.36,0.0123,-0.19544385191153882,3.5554438519115386,-0.2601265227503395,3.6201265227503394,-0.05816781306891036,-0.07741860796141056
FrootLoops,KG,Kids,3.53,0.012,-0.1953845066123754,3.725384506612375,-0.28628191091951194,3.816281910919512,-0.05534971858707519,-0.08109969147861529
LowFatGranola,KG,Adult,2.68,0.011699999999999999,-0.19532519734192744,2.875325197341928,-0.28628191091951205,2.966281910919512,-0.0728825363216147,-0.10682160855205673
Trix,GM,Kids,3.96,0.0113,-0.1952461743026468,4.155246174302647,-0.2601265227503394,4.2201265227503395,-0.049304589470365354,-0.06568851584604529
Triples,GM,Adult,2.33,0.011200000000000002,-0.19522642853259192,2.525226428532592,-0.2601265227503394,2.5901265227503396,-0.08378816675218537,-0.11164228444220574
Crispix,KG,Adult,3.28,0.011200000000000002,-0.19522642853259192,3.475226428532592,-0.28628191091951194,3.566281910919512,-0.05952025260139998,-0.08728107040229023
Kix,GM,Kids,3.67,0.0108,-0.19514748537507773,3.865147485375078,-0.2601265227503394,3.9301265227503395,-0.0531737017370784,-0.07087916151235406
LuckyCharms,GM,Kids,3.45,0.0108,-0.19514748537507773,3.645147485375078,-0.2601265227503395,3.7101265227503397,-0.05656448851451528,-0.07539899210154767
AppleCinn.Cheerios,GM,Fam,3.02,0.0106,-0.19510803773299665,3.2151080377329966,-0.2601265227503394,3.2801265227503396,-0.06460531050761478,-0.08613461018223158
CracklinOatBran,KG,Adult,3.19,0.0106,-0.19510803773299665,3.3851080377329965,-0.28628191091951194,3.476281910919512,-0.06116239427366666,-0.08974354574279371
BigBiscuitShdWt,NB,Adult,2.79,0.009899999999999999,-0.1949700964882607,2.9849700964882606,-0.20081128943412765,2.9908112894341277,-0.0698817550137135,-0.071975372557035
HoneyBunchesofOats,PT,Adult,2.85,0.0095,-0.19489136045737193,3.044891360457372,-0.20754745998605184,3.057547459986052,-0.0683829334938147,-0.0728236701705445
GreatGraines,PT,Adult,2.9,0.0089,-0.1947733755756502,3.09477337557565,-0.20754745998605187,3.1075474599860518,-0.06716323295712076,-0.07156808965036271
OtmlRaisinCrisp,GM,Adult,2.71,0.0097,-0.19493072052209118,2.904930720522091,-0.26012652275033943,2.9701265227503395,-0.07193015517420338,-0.09598764677134296
OatSquares,QK,Adult,2.43,0.009399999999999999,-0.19487168638504632,2.6248716863850463,-0.2019245737793168,2.631924573779317,-0.08019410962347584,-0.08309653241947193
RiceChex,RL,Adult,3.4,0.0089,-0.1947733755756502,3.59477337557565,-0.19728144356977706,3.597281443569777,-0.05728628693401477,-0.058023953991110905
TotalRaisinBran,GM,Adult,3.0,0.0089,-0.1947733755756502,3.19477337557565,-0.2601265227503394,3.2601265227503395,-0.06492445852521674,-0.08670884091677979
Product19,KG,Adult,3.38,0.0089,-0.1947733755756502,3.57477337557565,-0.28628191091951194,3.666281910919512,-0.057625259046050356,-0.08469879021287335
AppleJacks,KG,Kids,3.64,0.0084,-0.1946751639098698,3.83467516390987,-0.28628191091951194,3.926281910919512,-0.053482187887326865,-0.07864887662623954
CaptCrunch,QK,Kids,2.55,0.0083,-0.19465553346075112,2.744655533460751,-0.20192457377931686,2.7519245737793168,-0.07633550331794162,-0.07918610736443799
ShreddedWheat,NB,Adult,2.82,0.008,-0.19459666585990615,3.014596665859906,-0.20081128943412763,3.0208112894341275,-0.06900590987939935,-0.07120967710430058
FruityPebbles,PT,Kids,3.21,0.0083,-0.19465553346075112,3.404655533460751,-0.20754745998605192,3.417547459986052,-0.06064035310303773,-0.06465652959067038
Clusters,GM,Fam,3.14,0.0078000000000000005,-0.19455744056946875,3.3345574405694687,-0.26012652275033943,3.4001265227503397,-0.061960968334225715,-0.08284284164023549
CinnamonMiniBuns,KG,Fam,2.75,0.0076,-0.1945182310893056,2.9445182310893054,-0.28628191091951194,3.036281910919512,-0.07073390221429295,-0.1041025130616407
DoubleDipCrunch,KG,Adult,3.01,0.0073,-0.19445944649242156,3.204459446492421,-0.28628191091951194,3.296281910919512,-0.06460446727322976,-0.09511026940847574
MultiGrainCheerios,GM,Fam,3.34,0.0075,-0.19449863227509007,3.5344986322750898,-0.26012652275033943,3.6001265227503394,-0.05823312343565571,-0.07788219244022139
Honeycomb,PT,Kids,3.4,0.0074,-0.19447903740985983,3.59447903740986,-0.2075474599860519,3.6075474599860518,-0.057199716885252896,-0.061043370584132915
Popeye,QK,Kids,1.77,0.0067,-0.19434198382465206,1.964341983824652,-0.20192457377931677,1.9719245737793167,-0.1097977309743797,-0.11408168010130891
