idProduct,firm,product,segment,price,share,delta,cals,fat,sugar,shelf_price,ad_price,share_pct,outside_share,cons,idfirm,idsegment,total_firm_cals,total_all_cals,n_firm_cals,own_cals,rival_cals,total_firm_fat,total_all_fat,n_firm_fat,own_fat,rival_fat,total_firm_sugar,total_all_sugar,n_firm_sugar,own_sugar,rival_sugar,n_products_firm,n_total_products,n_rival_products,nest_share,share_within_nest,log_share_within_nest,n_products_nest,n_same_nest_other,n_rival_nest,total_nest_cals,nest_own_cals,nest_rival_cals,total_nest_fat,nest_own_fat,nest_rival_fat,total_nest_sugar,nest_own_sugar,nest_rival_sugar
35,PT,GreatGraines,Adult,2.9,.0088999998,-3.3065987,215,5.5,10.5,3.43,2.648,.89,.2429,1,PT,Adult,950,7281,6,735,6331,10.7,80.400002,6,5.1999998,69.700005,66.5,505.39999,6,56,438.89999,6,50,44,.32929999,.027027028,-3.6109178,25,24,25,4116,3901,3165,52.599998,47.099998,27.800003,219.60001,209.10001,285.79999
17,RL,Muesli,Adult,3.34,.0126,-2.9589529,210,2.7,14,3.93,.215,1.26,.2429,1,RL,Adult,330,7281,2,120,6951,2.7,80.400002,2,4.7683717e-08,77.700005,16,505.39999,2,2,489.39999,2,50,48,.32929999,.038262982,-3.2632723,25,24,25,4116,3906,3165,52.599998,49.899998,27.800003,219.60001,205.60001,285.79999
39,GM,TotalRaisinBran,Adult,3,.0088999998,-3.3065987,180,1,19,3.5,1.874,.89,.2429,1,GM,Adult,2550,7281,18,2370,4731,32.299999,80.400002,18,31.299999,48.100002,202,505.39999,18,183,303.39999,18,50,32,.32929999,.027027028,-3.6109178,25,24,25,4116,3936,3165,52.599998,51.599998,27.800003,219.60001,200.60001,285.79999
20,GM,Basic4,Adult,3.27,.0131,-2.9200375,210,3,12,3.63,2.51,1.31,.2429,1,GM,Adult,2550,7281,18,2340,4731,32.299999,80.400002,18,29.299999,48.100002,202,505.39999,18,190,303.39999,18,50,32,.32929999,.039781358,-3.2243569,25,24,25,4116,3906,3165,52.599998,49.599998,27.800003,219.60001,207.60001,285.79999
32,KG,CracklinOatBran,Adult,3.19,.0106,-3.1317959,190,6,15,3.51,2.279,1.06,.2429,1,KG,Adult,2300,7281,17,2110,4981,19,80.400002,17,13,61.400002,164,505.39999,17,149,341.39999,17,50,33,.32929999,.032189492,-3.4361153,25,24,25,4116,3926,3165,52.599998,46.599998,27.800003,219.60001,204.60001,285.79999
6,GM,Total,Adult,3.61,.023600001,-2.331403,110,1,5,4.04,3.926,2.36,.2429,1,GM,Adult,2550,7281,18,2440,4731,32.299999,80.400002,18,31.299999,48.100002,202,505.39999,18,197,303.39999,18,50,32,.32929999,.071667179,-2.6357224,25,24,25,4116,4006,3165,52.599998,51.599998,27.800003,219.60001,214.60001,285.79999
34,PT,HoneyBunchesofOats,Adult,2.85,.0094999997,-3.241358,125,2.2,6,3.18,3.749,.95,.2429,1,PT,Adult,950,7281,6,825,6331,10.7,80.400002,6,8.5,69.700005,66.5,505.39999,6,60.5,438.89999,6,50,44,.32929999,.028849075,-3.5456774,25,24,25,4116,3991,3165,52.599998,50.399998,27.800003,219.60001,213.60001,285.79999
47,KG,DoubleDipCrunch,Adult,3.01,.0073000002,-3.5047755,110,0,11,3.52,1.454,.73,.2429,1,KG,Adult,2300,7281,17,2190,4981,19,80.400002,17,19,61.400002,164,505.39999,17,153,341.39999,17,50,33,.32929999,.022168238,-3.8090947,25,24,25,4116,4006,3165,52.599998,52.599998,27.800003,219.60001,208.60001,285.79999
40,KG,Product19,Adult,3.38,.0088999998,-3.3065987,100,0,4,3.7,1.408,.89,.2429,1,KG,Adult,2300,7281,17,2200,4981,19,80.400002,17,19,61.400002,164,505.39999,17,160,341.39999,17,50,33,.32929999,.027027028,-3.6109178,25,24,25,4116,4016,3165,52.599998,52.599998,27.800003,219.60001,215.60001,285.79999
33,NB,BigBiscuitShdWt,Adult,2.79,.0098999999,-3.200115,156,1.2,9.6,3.05,0,.99,.2429,1,NB,Adult,486,7281,3,330,6795,2.2,80.400002,3,1,78.200005,9.6000004,505.39999,3,3.8146973e-07,495.79999,3,50,47,.32929999,.030063773,-3.5044343,25,24,25,4116,3960,3165,52.599998,51.399998,27.800003,219.60001,210,285.79999
36,GM,OtmlRaisinCrisp,Adult,2.71,.0097000003,-3.2205238,210,2.5,19,3.04,1.641,.97,.2429,1,GM,Adult,2550,7281,18,2340,4731,32.299999,80.400002,18,29.799999,48.100002,202,505.39999,18,183,303.39999,18,50,32,.32929999,.029456425,-3.5248432,25,24,25,4116,3906,3165,52.599998,50.099998,27.800003,219.60001,200.60001,285.79999
8,KG,SpecialK,Adult,3.48,.021600001,-2.4199564,110,0,3,3.78,3.531,2.16,.2429,1,KG,Adult,2300,7281,17,2190,4981,19,80.400002,17,19,61.400002,164,505.39999,17,161,341.39999,17,50,33,.32929999,.06559369,-2.7242758,25,24,25,4116,4006,3165,52.599998,52.599998,27.800003,219.60001,216.60001,285.79999
