model,parameter,estimate,std_error,t_stat,p_value,gmm_objective,sigma_nested
Q1_MQO_logit_simples,const,-2.020834615020774,.82161152,-2.4595988,.017816972,,
Q1_MQO_logit_simples,cals,.0005053781721585,.0025159761,.20086764,.84170723,,
Q1_MQO_logit_simples,fat,-.0051122173051704,.050107282,-.10202543,.91918975,,
Q1_MQO_logit_simples,sugar,-.0294873637873902,.016481455,-1.7891238,.0803269,,
Q1_MQO_logit_simples,alpha,.2240188691103894,.19874199,1.1271844,.26563922,,
Q2_2SLS_own_firm,const,-7.429019088179107,3.1692798,-2.3440716,,,
Q2_2SLS_own_firm,cals,.0085514986348856,.0063323276,1.3504511,,,
Q2_2SLS_own_firm,fat,-.0747250474625988,.12951884,-.57694352,,,
Q2_2SLS_own_firm,sugar,-.0499344681975912,.030828573,-1.6197463,,,
Q2_2SLS_own_firm,alpha,-1.303009348672871,.89628738,-1.4537853,,,
Q2_2SLS_rival_firms,const,-7.429012001382947,3.1692729,-2.3440745,,,
Q2_2SLS_rival_firms,cals,.0085514880913814,.0063323169,1.3504517,,,
Q2_2SLS_rival_firms,fat,-.0747249562430885,.1295187,-.57694334,,,
Q2_2SLS_rival_firms,sugar,-.0499344414040412,.030828537,-1.6197474,,,
Q2_2SLS_rival_firms,alpha,-1.30300734768016,.89628536,-1.4537863,,,
Q2_2SLS_both,const,-7.429019088179107,3.1692798,-2.3440716,,,
Q2_2SLS_both,cals,.0085514986348856,.0063323276,1.3504511,,,
Q2_2SLS_both,fat,-.0747250474625988,.12951884,-.57694352,,,
Q2_2SLS_both,sugar,-.0499344681975912,.030828573,-1.6197463,,,
Q2_2SLS_both,alpha,-1.303009348672871,.89628738,-1.4537853,,,
Q3_GMM_own_firm_step1,const,-7.429019086202288,3.1692798,-2.3440716,.019074509,.2056026,
Q3_GMM_own_firm_step1,cals,.0085514986316026,.0063323276,1.3504511,.17687134,.2056026,
Q3_GMM_own_firm_step1,fat,-.0747250474324428,.12951884,-.57694352,.56397766,.2056026,
Q3_GMM_own_firm_step1,sugar,-.0499344681892546,.030828573,-1.6197463,.10528678,.2056026,
Q3_GMM_own_firm_step1,alpha,-1.30300934812611,.89628738,-1.4537853,.14600585,.2056026,
Q3_GMM_own_firm_2step,const,-7.009838333870732,2.8433824,-2.4653168,.013689214,.32337692,
Q3_GMM_own_firm_2step,cals,.0080061916829683,.0057015354,1.4042169,.16025428,.32337692,
Q3_GMM_own_firm_2step,fat,-.0639476108146226,.11469867,-.55752701,.57716739,.32337692,
Q3_GMM_own_firm_2step,sugar,-.0486233721611242,.028870557,-1.6841855,.09214583,.32337692,
Q3_GMM_own_firm_2step,alpha,-1.176421436238755,.8040154,-1.4631827,.14341739,.32337692,
Q3_GMM_rival_firms_step1,const,-7.429011998293902,3.1692729,-2.3440745,.019074358,.20560415,
Q3_GMM_rival_firms_step1,cals,.0085514880873514,.0063323169,1.3504517,.17687115,.20560415,
Q3_GMM_rival_firms_step1,fat,-.0747249562203098,.1295187,-.57694334,.56397772,.20560415,
Q3_GMM_rival_firms_step1,sugar,-.0499344413861142,.030828537,-1.6197474,.10528655,.20560415,
Q3_GMM_rival_firms_step1,alpha,-1.303007346768538,.89628536,-1.4537863,.14600557,.20560415,
Q3_GMM_rival_firms_2step,const,-7.009832230939082,2.8433769,-2.4653194,.013689113,.32337931,
Q3_GMM_rival_firms_2step,cals,.0080061841179748,.0057015265,1.4042177,.16025405,.32337931,
Q3_GMM_rival_firms_2step,fat,-.063947567704659,.11469857,-.55752718,.57716727,.32337931,
Q3_GMM_rival_firms_2step,sugar,-.0486233513817216,.028870527,-1.6841866,.092145622,.32337931,
Q3_GMM_rival_firms_2step,alpha,-1.17641967527284,.80401385,-1.4631834,.14341721,.32337931,
Q3_GMM_both_step1,const,-7.429016318364347,3.169277,-2.3440728,.019074446,.20560312,
Q3_GMM_both_step1,cals,.0085514913705547,.0063323225,1.350451,.17687136,.20560312,
Q3_GMM_both_step1,fat,-.0747248804507024,.12951873,-.57694262,.5639782,.20560312,
Q3_GMM_both_step1,sugar,-.0499344620381437,.030828562,-1.6197467,.1052867,.20560312,
Q3_GMM_both_step1,alpha,-1.3030086638597,.89628661,-1.4537858,.14600572,.20560312,
