product,own_elasticity_nested_logit
Trix,-2.5066082
Total,-2.3016989
Kix,-2.2992146
AppleJacks,-2.2970169
CornPops,-2.2257206
FrootLoops,-2.2216702
SpecialK,-2.2139056
CocoaPus,-2.1729622
LuckyCharms,-2.1644342
RiceChex,-2.1596618
Product19,-2.1490397
Muesli,-2.129606
Honeycomb,-2.127635
MultiGrainCheerios,-2.114188
Mueslix,-2.1090112
Cinn.ToastCrunch,-2.0970819
Basic4,-2.0816255
Crispix,-2.0815823
CracklinOatBran,-2.031729
GoldenGrahams,-2.0191741
FruityPebbles,-2.001477
Clusters,-1.9763761
HoneyNutCheerios,-1.9751337
Cheerios,-1.9713087
DoubleDipCrunch,-1.9116658
TotalRaisinBran,-1.9108593
AppleCinn.Cheerios,-1.8981875
RaisinNutBran,-1.8941228
RiceKrispies,-1.8410416
GreatGraines,-1.8355358
NutriGrain,-1.8064107
HoneyBunchesofOats,-1.8000067
ShreddedWheat,-1.7715105
SpoonSizeShdWt,-1.7645639
BigBiscuitShdWt,-1.7639321
OtmlRaisinCrisp,-1.7195394
CinnamonMiniBuns,-1.7172016
LowFatGranola,-1.6930434
FrostedMiniWheats,-1.6519705
Wheaties,-1.5687625
FrostedFlakes,-1.5661533
CaptCrunch,-1.5563639
OatSquares,-1.5238577
Triples,-1.4571705
RaisinBran,-1.4521717
100%Natural,-1.4038509
RaisinBran,-1.3832632
GrapeNuts,-1.3311321
CornFlakes,-1.0734277
Popeye,-1.0415478
