firm,product,segment,price,share,markup_monoproduct,mc_monoproduct,markup_multiproduct,mc_multiproduct,markup_mono_over_price,markup_multi_over_price
GM,Basic4,Adult,3.27,.0131,-.8613192759121893,4.13131927591219,-1.145446699289889,4.415446699289888,-.2634003901872138,-.3502895104862045
KG,SpecialK,Adult,3.48,.021600001,-.8688021195827949,4.348802119582794,-1.260619884235008,4.740619884235008,-.2496557814893089,-.3622470931709794
PT,GreatGraines,Adult,2.9,.0088999998,-.8576692494465129,3.757669249446513,-.913918925345573,3.813918925345573,-.2957480170505217,-.3151444570157148
GM,Triples,Adult,2.33,.0112,-.8596642323722927,3.189664232372293,-1.145446699289893,3.475446699289893,-.368954606168366,-.491608025446306
KG,Mueslix,Adult,3.31,.0153,-.8632436207856587,4.173243620785659,-1.26061988423501,4.57061988423501,-.2607986769745193,-.3808519287719065
GM,OtmlRaisinCrisp,Adult,2.71,.0097000003,-.8583621059866811,3.568362105986681,-1.145446699289891,3.855446699289891,-.3167387844969303,-.4226740587785576
PT,GrapeNuts,Adult,2.14,.021199999,-.8684470706703132,3.008447070670313,-.9139189253455776,3.053918925345578,-.4058163881636977,-.4270649183857839
QK,100%Natural,Adult,2.24,.0196,-.8670297771466534,3.107029777146654,-.8891589885994146,3.129158988599415,-.3870668647976131,-.39694597705331
RL,Muesli,Adult,3.34,.0126,-.8608831206472978,4.200883120647298,-.8687133297274142,4.208713329727414,-.2577494373195502,-.260093811295633
RL,RiceChex,Adult,3.4,.0088999998,-.8576692494465129,4.257669249446513,-.8687133297274156,4.268713329727415,-.2522556616019156,-.2555039205080634
GM,TotalRaisinBran,Adult,3,.0088999998,-.8576692494465129,3.857669249446513,-1.14544669928989,4.14544669928989,-.2858897498155043,-.3818155664299634
KG,CracklinOatBran,Adult,3.19,.0106,-.8591429078688745,4.049142907868874,-1.260619884235011,4.450619884235011,-.2693237955701801,-.3951786470956148
KG,Crispix,Adult,3.28,.0112,-.8596642323722927,4.139664232372293,-1.260619884235011,4.540619884235011,-.2620927537720405,-.3843353305594546
KG,LowFatGranola,Adult,2.68,.0117,-.8600991531316806,3.540099153131681,-1.26061988423501,3.94061988423501,-.3209325198252539,-.4703805538190335
KG,FrostedMiniWheats,Adult,2.62,.0184,-.8659698386986544,3.485969838698654,-1.26061988423501,3.88061988423501,-.3305228391979597,-.4811526275706143
GM,RaisinNutBran,Adult,2.98,.0135,-.8616685186160848,3.841668518616085,-1.145446699289892,4.125446699289892,-.289150509602713,-.3843780870100307
PT,HoneyBunchesofOats,Adult,2.85,.0094999997,-.8581887865228437,3.708188786522844,-.9139189253455759,3.763918925345576,-.3011188724641557,-.3206733071387985
KG,Product19,Adult,3.38,.0088999998,-.8576692494465129,4.237669249446513,-1.26061988423501,4.64061988423501,-.2537482986528145,-.372964462791423
NB,ShreddedWheat,Adult,2.82,.0080000004,-.8568911226195888,3.676891122619589,-.8842567290665407,3.70425672906654,-.3038621002197123,-.3135662159810428
GM,Total,Adult,3.61,.023600001,-.8705817227429359,4.480581722742936,-1.145446699289892,4.755446699289893,-.2411583719509518,-.3172982546509397
NB,BigBiscuitShdWt,Adult,2.79,.0098999999,-.8585354946641505,3.64853549466415,-.8842567290665413,3.674256729066541,-.3077188152918102,-.3169378957227746
