,,,average transaction price,ave shelf price,ave ad price,in sample market share,sgmnt,cals,fat,suger
1,KG,CornFlakes,1.81,1.95,7.109,5.67,Fam,100,0,2
2,GM,Cheerios,3.16,3.47,7.287,4.38,Fam,110,2,1
3,KG,RiceKrispies,2.96,3.2,6.034,4.04,Fam,120,0,3
4,KG,FrostedFlakes,2.52,2.68,7.867,3.82,Fam,120,0,13
5,KG,RaisinBran,2.34,2.5,5.591,2.73,Fam,200,1.5,18
6,GM,Total,3.61,4.04,3.926,2.36,Adult,110,1,5
7,GM,HoneyNutCheerios,3.14,3.41,4.03,2.26,Fam,120,1.5,11
8,KG,SpecialK,3.48,3.78,3.531,2.16,Adult,110,0,3
9,PT,GrapeNuts,2.14,2.29,6.74,2.12,Adult,200,1,7
10,NB,SpoonSizeShdWt,2.81,3.05,0.025,2.08,Adult,170,0.5,0
11,QK,100%Natural,2.24,2.55,1.612,1.96,Adult,220,8,13.5
12,KG,FrostedMiniWheats,2.62,2.75,6.106,1.84,Adult,170,1,10
13,KG,NutriGrain,2.87,3.1,2.508,1.55,Adult,100,1,0
14,KG,Mueslix,3.31,3.58,1.975,1.53,Adult,200,4,13
15,GM,Wheaties,2.55,2.86,2.257,1.52,Fam,110,1,4
16,PT,RaisinBran,2.23,2.57,4.361,1.46,Fam,190,1,20
17,RL,Muesli,3.34,3.93,0.215,1.26,Adult,210,2.7,14
18,KG,CornPops,3.51,3.69,3.198,1.46,Fam,120,0,14
19,GM,RaisinNutBran,2.98,3.22,1.659,1.35,Adult,210,4.5,16
20,GM,Basic4,3.27,3.63,2.51,1.31,Adult,210,3,12
21,GM,CocoaPus,3.46,3.67,2.097,1.28,Kids,120,1,14
22,GM,GoldenGrahams,3.24,3.54,2.953,1.24,Kids,120,1,11
23,GM,Cinn.ToastCrunch,3.36,3.56,2.963,1.23,Kids,130,3,10
24,KG,FrootLoops,3.53,3.76,3.11,1.2,Kids,120,1,15
25,KG,LowFatGranola,2.68,3.1,2.327,1.17,Adult,190,3,12
26,GM,Trix,3.96,4.22,3.236,1.13,Kids,120,1.5,13
27,GM,Triples,2.33,2.8,3.036,1.12,Adult,120,1,6
28,KG,Crispix,3.28,3.49,3.225,1.12,Adult,110,0,3
29,GM,Kix,3.67,3.93,3.801,1.08,Kids,120,0.8,6
30,GM,LuckyCharms,3.45,3.72,3.079,1.08,Kids,120,1,13
31,GM,AppleCinn.Cheerios,3.02,3.35,3.12,1.06,Fam,120,2,13
32,KG,CracklinOatBran,3.19,3.51,2.279,1.06,Adult,190,6,15
33,NB,BigBiscuitShdWt,2.79,3.05,0,0.99,Adult,156,1.2,9.6
34,PT,HoneyBunchesofOats,2.85,3.18,3.749,0.95,Adult,125,2.2,6
35,PT,GreatGraines,2.9,3.43,2.648,0.89,Adult,215,5.5,10.5
36,GM,OtmlRaisinCrisp,2.71,3.04,1.641,0.97,Adult,210,2.5,19
37,QK,OatSquares,2.43,2.71,1.472,0.94,Adult,220,3,9
38,RL,RiceChex,3.4,3.53,0.875,0.89,Adult,120,0,2
39,GM,TotalRaisinBran,3,3.5,1.874,0.89,Adult,180,1,19
40,KG,Product19,3.38,3.7,1.408,0.89,Adult,100,0,4
41,KG,AppleJacks,3.64,3.91,1.465,0.84,Kids,120,1,16
42,QK,CaptCrunch,2.55,2.86,1.714,0.83,Kids,105,1.5,11.5
43,NB,ShreddedWheat,2.82,3,2.925,0.8,Adult,160,0.5,0
44,PT,FruityPebbles,3.21,3.48,1.71,0.83,Kids,110,1,12
45,GM,Clusters,3.14,3.52,1.425,0.78,Fam,210,3.5,14
46,KG,CinnamonMiniBuns,2.75,3.14,0.002,0.76,Fam,120,0.5,12
47,KG,DoubleDipCrunch,3.01,3.52,1.454,0.73,Adult,110,0,11
48,GM,MultiGrainCheerios,3.34,3.74,2.52,0.75,Fam,110,1,15
49,PT,Honeycomb,3.4,3.67,2.567,0.74,Kids,110,0,11
50,QK,Popeye,1.77,1.77,0,0.67,Kids,120,1,13.3
51,basketof,allotherbrands,2.68,,0.645,24.29,,,,
