id,firm,product,price,shelf_price,ad_price,share_pct,segment,cals,fat,sugar,share,outside_share,delta,firm_id,segment_id,own_cals,rival_cals,own_fat,rival_fat,own_sugar,rival_sugar,n_products_firm,n_rival_products,nest_share,share_within_nest,log_share_within_nest,n_products_nest,n_same_nest_other,n_rival_nest,nest_own_cals,nest_rival_cals,nest_own_fat,nest_rival_fat,nest_own_sugar,nest_rival_sugar
1,KG,CornFlakes,1.81,1.95,7.109,5.67,Fam,100.0,0.0,2.0,0.0567,0.2429,-1.4548756252744204,2,2,2200.0,4981.0,19.0,61.400000000000006,162.0,341.40000000000003,17,33,0.3069,0.18475073313782991,-1.6887477508919841,13,12,37,1650.0,5531.0,14.0,66.4,138.0,365.40000000000003
2,GM,Cheerios,3.16,3.47,7.287,4.38,Fam,110.0,2.0,1.0,0.0438,0.2429,-1.7130160186257266,1,2,2440.0,4731.0,30.299999999999997,48.10000000000001,201.0,303.40000000000003,18,32,0.3069,0.14271749755620722,-1.9468881442432902,13,12,37,1640.0,5531.0,12.0,66.4,139.0,365.40000000000003
3,KG,RiceKrispies,2.96,3.2,6.034,4.04,Fam,120.0,0.0,3.0,0.0404,0.2429,-1.7938200510410225,2,2,2180.0,4981.0,19.0,61.400000000000006,161.0,341.40000000000003,17,33,0.3069,0.13163897034864777,-2.027692176658586,13,12,37,1630.0,5531.0,14.0,66.4,137.0,365.40000000000003
4,KG,FrostedFlakes,2.52,2.68,7.867,3.82,Fam,120.0,0.0,13.0,0.0382,0.2429,-1.8498143203955972,2,2,2180.0,4981.0,19.0,61.400000000000006,151.0,341.40000000000003,17,33,0.3069,0.12447051156728575,-2.083686446013161,13,12,37,1630.0,5531.0,14.0,66.4,127.0,365.40000000000003
5,KG,RaisinBran,2.34,2.5,5.591,2.73,Fam,200.0,1.5,18.0,0.0273,0.2429,-2.185763133817213,2,2,2100.0,4981.0,17.5,61.400000000000006,146.0,341.40000000000003,17,33,0.3069,0.08895405669599218,-2.4196352594347763,13,12,37,1550.0,5531.0,12.5,66.4,122.0,365.40000000000003
6,GM,Total,3.61,4.04,3.926,2.36,Adult,110.0,1.0,5.0,0.0236,0.2429,-2.3314031239765622,1,1,2440.0,4731.0,31.299999999999997,48.10000000000001,197.0,303.40000000000003,18,32,0.3293,0.0716671727907683,-2.6357224773507544,25,24,25,4006.0,3165.0,51.6,27.800000000000004,214.6,285.80000000000007
7,GM,HoneyNutCheerios,3.14,3.41,4.03,2.26,Fam,120.0,1.5,11.0,0.0226,0.2429,-2.3746999297298865,1,2,2430.0,4731.0,30.799999999999997,48.10000000000001,191.0,303.40000000000003,18,32,0.3069,0.0736396220267188,-2.6085720553474503,13,12,37,1630.0,5531.0,12.5,66.4,129.0,365.40000000000003
8,KG,SpecialK,3.48,3.78,3.531,2.16,Adult,110.0,0.0,3.0,0.0216,0.2429,-2.4199565213180074,2,1,2190.0,4981.0,19.0,61.400000000000006,161.0,341.40000000000003,17,33,0.3293,0.06559368357121168,-2.724275874692199,25,24,25,4006.0,3165.0,52.6,27.800000000000004,216.6,285.80000000000007
9,PT,GrapeNuts,2.14,2.29,6.74,2.12,Adult,200.0,1.0,7.0,0.0212,0.2429,-2.4386486543301604,4,1,750.0,6331.0,9.7,69.7,59.5,438.90000000000003,6,44,0.3293,0.06437898572730034,-2.7429680077043517,25,24,25,3916.0,3165.0,51.6,27.800000000000004,212.6,285.80000000000007
10,NB,SpoonSizeShdWt,2.81,3.05,0.025,2.08,Adult,170.0,0.5,0.0,0.0208,0.2429,-2.457696849300855,3,1,316.0,6795.0,1.7000000000000002,78.2,9.6,495.8,3,47,0.3293,0.06316428788338901,-2.762016202675046,25,24,25,3946.0,3165.0,52.1,27.800000000000004,219.6,285.80000000000007
11,QK,100%Natural,2.24,2.55,1.612,1.96,Adult,220.0,8.0,13.5,0.0196,0.2429,-2.517120269771655,5,1,445.0,6616.0,5.5,66.9,33.8,458.1,4,46,0.3293,0.05952019435165503,-2.821439623145847,25,24,25,3896.0,3165.0,44.6,27.800000000000004,206.1,285.80000000000007
12,KG,FrostedMiniWheats,2.62,2.75,6.106,1.84,Adult,170.0,1.0,10.0,0.0184,0.2429,-2.580299171393187,2,1,2130.0,4981.0,18.0,61.400000000000006,154.0,341.40000000000003,17,33,0.3293,0.055876100819921046,-2.8846185247673786,25,24,25,3946.0,3165.0,51.6,27.800000000000004,209.6,285.80000000000007
13,KG,NutriGrain,2.87,3.1,2.508,1.55,Adult,100.0,1.0,0.0,0.0155,0.2429,-2.751809812082926,2,1,2200.0,4981.0,18.0,61.400000000000006,164.0,341.40000000000003,17,33,0.3293,0.047069541451563925,-3.0561291654571177,25,24,25,4016.0,3165.0,51.6,27.800000000000004,219.6,285.80000000000007
14,KG,Mueslix,3.31,3.58,1.975,1.53,Adult,200.0,4.0,13.0,0.015300000000000001,0.2429,-2.7647970076097375,2,1,2100.0,4981.0,15.0,61.400000000000006,151.0,341.40000000000003,17,33,0.3293,0.046462192529608266,-3.0691163609839287,25,24,25,3916.0,3165.0,48.6,27.800000000000004,206.6,285.80000000000007
15,GM,Wheaties,2.55,2.86,2.257,1.52,Fam,110.0,1.0,4.0,0.0152,0.2429,-2.7713544081558963,1,2,2440.0,4731.0,31.299999999999997,48.10000000000001,198.0,303.40000000000003,18,32,0.3069,0.04952753339850114,-3.0052265337734596,13,12,37,1640.0,5531.0,13.0,66.4,136.0,365.40000000000003
16,PT,RaisinBran,2.23,2.57,4.361,1.46,Fam,190.0,1.0,20.0,0.0146,0.2429,-2.8116283072938364,4,2,760.0,6331.0,9.7,69.7,46.5,438.90000000000003,6,44,0.3069,0.04757249918540241,-3.0455004329113997,13,12,37,1560.0,5531.0,13.0,66.4,120.0,365.40000000000003
17,RL,Muesli,3.34,3.93,0.215,1.26,Adult,210.0,2.7,14.0,0.0126,0.2429,-2.9589530220506948,6,1,120.0,6951.0,0.0,77.7,2.0,489.40000000000003,2,48,0.3293,0.038262982083206803,-3.2632723754248865,25,24,25,3906.0,3165.0,49.9,27.800000000000004,205.6,285.80000000000007
18,KG,CornPops,3.51,3.69,3.198,1.46,Fam,120.0,0.0,14.0,0.0146,0.2429,-2.8116283072938364,2,2,2180.0,4981.0,19.0,61.400000000000006,150.0,341.40000000000003,17,33,0.3069,0.04757249918540241,-3.0455004329113997,13,12,37,1630.0,5531.0,14.0,66.4,126.0,365.40000000000003
19,GM,RaisinNutBran,2.98,3.22,1.659,1.35,Adult,210.0,4.5,16.0,0.013500000000000002,0.2429,-2.889960150563743,1,1,2340.0,4731.0,27.799999999999997,48.10000000000001,186.0,303.40000000000003,18,32,0.3293,0.04099605223200729,-3.194279503937935,25,24,25,3906.0,3165.0,48.1,27.800000000000004,203.6,285.80000000000007
20,GM,Basic4,3.27,3.63,2.51,1.31,Adult,210.0,3.0,12.0,0.0131,0.2429,-2.9200376058010216,1,1,2340.0,4731.0,29.299999999999997,48.10000000000001,190.0,303.40000000000003,18,32,0.3293,0.03978135438809596,-3.224356959175213,25,24,25,3906.0,3165.0,49.6,27.800000000000004,207.6,285.80000000000007
21,GM,CocoaPus,3.46,3.67,2.097,1.28,Kids,120.0,1.0,14.0,0.0128,0.2429,-2.943204665082556,1,3,2430.0,4731.0,31.299999999999997,48.10000000000001,188.0,303.40000000000003,18,32,0.1215,0.10534979423868314,-2.2504690918550314,12,11,38,1295.0,5866.0,12.8,66.60000000000001,131.8,359.6
