model,parameter,estimate,std_error,t_stat,p_value,gmm_objective
Q1_MQO_logit_simples,const,-2.0208343995996345,0.8216115354288317,-2.4595983776504315,0.01781698494974826,
Q1_MQO_logit_simples,cals,0.0005053779333416449,0.002515976175517103,0.20086753533656798,0.8417072989478533,
Q1_MQO_logit_simples,fat,-0.005112214567717785,0.05010728446531568,-0.10202537659482357,0.9191898088053161,
Q1_MQO_logit_simples,sugar,-0.029487366329108533,0.01648145579205038,-1.7891238917942789,0.08032687633755953,
Q1_MQO_logit_simples,price,-0.22401891912527933,0.19874199297561188,-1.1271846265160943,0.26563912923075494,
Q2_2SLS_own_firm,const,-7.429019538716217,3.1692804610174448,-2.34407135313334,0.019074521868177152,
Q2_2SLS_own_firm,cals,0.008551499386845672,0.006332328479341542,1.3504510094105049,0.17687135813264288,
Q2_2SLS_own_firm,fat,-0.07472505329699294,0.129518846828935,-0.5769434729116125,0.5639776419597868,
Q2_2SLS_own_firm,sugar,-0.04993447325717297,0.030828576390342366,-1.6197463231813678,0.10528678096942312,
Q2_2SLS_own_firm,price,1.30300948669527,0.8962875095342672,1.4537851669631605,0.14600587714014313,
Q2_2SLS_rival_firms,const,-7.429019539036604,3.1692804612698415,-2.344071353047753,0.019074521872554318,
Q2_2SLS_rival_firms,cals,0.008551499387449674,0.006332328479771284,1.3504510094142406,0.1768713581314454,
Q2_2SLS_rival_firms,fat,-0.07472505330302814,0.12951884683450018,-0.5769434729334193,0.5639776419450553,
Q2_2SLS_rival_firms,sugar,-0.04993447325812942,0.030828576391717242,-1.619746323140156,0.10528678097827959,
Q2_2SLS_rival_firms,price,1.3030094867793502,0.8962875095995889,1.4537851669510178,0.14600587714351088,
Q2_2SLS_both,const,-7.429019538761397,3.1692804610041017,-2.344071353157464,0.019074521866943472,
Q2_2SLS_both,cals,0.008551499386928564,0.006332328479342471,1.350451009423397,0.17687135812851018,
Q2_2SLS_both,fat,-0.07472505329780874,0.12951884682927498,-0.5769434729163967,0.5639776419565548,
Q2_2SLS_both,sugar,-0.04993447325731407,0.03082857639048246,-1.6197463231785842,0.10528678097002131,
Q2_2SLS_both,price,1.303009486707333,0.896287509529938,1.4537851669836415,0.146005877134463,
Q3_GMM_own_firm_step1,const,-7.4290195387419224,3.1692804610293774,-2.344071353132625,0.01907452186821379,0.20560253373576928
Q3_GMM_own_firm_step1,cals,0.008551499386855637,0.006332328479371625,1.3504510094056628,0.1768713581341952,0.20560253373576928
Q3_GMM_own_firm_step1,fat,-0.07472505329688144,0.12951884682941608,-0.5769434729086085,0.5639776419618161,0.20560253373576928
Q3_GMM_own_firm_step1,sugar,-0.04993447325732992,0.030828576390468973,-1.6197463231798068,0.10528678096975863,0.20560253373576928
Q3_GMM_own_firm_step1,price,1.3030094867041733,0.8962875095373548,1.453785166968086,0.1460058771387771,0.20560253373576928
Q3_GMM_own_firm_2step,const,-7.009838732875185,2.8433827768465307,-2.4653165904906706,0.013689223827904717,0.323376839858107
Q3_GMM_own_firm_2step,cals,0.008006192122195574,0.005701535853731819,1.4042167457309402,0.16025431678044666,0.323376839858107
