row_product,column_product,elasticity
CornFlakes,CornFlakes,2.0085904083067394
Cheerios,CornFlakes,-0.12073261544682723
RiceKrispies,CornFlakes,-0.12073261544682723
FrostedFlakes,CornFlakes,-0.12073261544682723
RaisinBran,CornFlakes,-0.12073261544682723
Total,CornFlakes,-0.12073261544682723
HoneyNutCheerios,CornFlakes,-0.12073261544682723
SpecialK,CornFlakes,-0.12073261544682723
GrapeNuts,CornFlakes,-0.12073261544682723
SpoonSizeShdWt,CornFlakes,-0.12073261544682723
100%Natural,CornFlakes,-0.12073261544682723
FrostedMiniWheats,CornFlakes,-0.12073261544682723
NutriGrain,CornFlakes,-0.12073261544682723
Mueslix,CornFlakes,-0.12073261544682723
Wheaties,CornFlakes,-0.12073261544682723
RaisinBran,CornFlakes,-0.12073261544682723
Muesli,CornFlakes,-0.12073261544682723
CornPops,CornFlakes,-0.12073261544682723
RaisinNutBran,CornFlakes,-0.12073261544682723
Basic4,CornFlakes,-0.12073261544682723
CocoaPus,CornFlakes,-0.12073261544682723
GoldenGrahams,CornFlakes,-0.12073261544682723
Cinn.ToastCrunch,CornFlakes,-0.12073261544682723
FrootLoops,CornFlakes,-0.12073261544682723
LowFatGranola,CornFlakes,-0.12073261544682723
Trix,CornFlakes,-0.12073261544682723
Triples,CornFlakes,-0.12073261544682723
Crispix,CornFlakes,-0.12073261544682723
Kix,CornFlakes,-0.12073261544682723
LuckyCharms,CornFlakes,-0.12073261544682723
AppleCinn.Cheerios,CornFlakes,-0.12073261544682723
CracklinOatBran,CornFlakes,-0.12073261544682723
BigBiscuitShdWt,CornFlakes,-0.12073261544682723
HoneyBunchesofOats,CornFlakes,-0.12073261544682723
GreatGraines,CornFlakes,-0.12073261544682723
OtmlRaisinCrisp,CornFlakes,-0.12073261544682723
OatSquares,CornFlakes,-0.12073261544682723
RiceChex,CornFlakes,-0.12073261544682723
TotalRaisinBran,CornFlakes,-0.12073261544682723
Product19,CornFlakes,-0.12073261544682723
AppleJacks,CornFlakes,-0.12073261544682723
CaptCrunch,CornFlakes,-0.12073261544682723
ShreddedWheat,CornFlakes,-0.12073261544682723
FruityPebbles,CornFlakes,-0.12073261544682723
Clusters,CornFlakes,-0.12073261544682723
CinnamonMiniBuns,CornFlakes,-0.12073261544682723
DoubleDipCrunch,CornFlakes,-0.12073261544682723
MultiGrainCheerios,CornFlakes,-0.12073261544682723
Honeycomb,CornFlakes,-0.12073261544682723
Popeye,CornFlakes,-0.12073261544682723
CornFlakes,Cheerios,-0.162826155288223
Cheerios,Cheerios,3.5546659745798825
RiceKrispies,Cheerios,-0.162826155288223
FrostedFlakes,Cheerios,-0.162826155288223
RaisinBran,Cheerios,-0.162826155288223
Total,Cheerios,-0.162826155288223
HoneyNutCheerios,Cheerios,-0.162826155288223
SpecialK,Cheerios,-0.162826155288223
GrapeNuts,Cheerios,-0.162826155288223
SpoonSizeShdWt,Cheerios,-0.162826155288223
100%Natural,Cheerios,-0.162826155288223
