product,firm,segment,price,share,markup_monoproduct,mc_monoproduct,markup_multiproduct,mc_multiproduct,markup_mono_over_price,markup_multi_over_price
CornFlakes,KG,Fam,1.81,0.0567,-0.9011294649792971,2.7111294649792974,-1.260619048368635,3.070619048368635,-0.4978615828614901,-0.6964746123583618
Cheerios,GM,Fam,3.16,0.0438,-0.8889724161419902,4.04897241614199,-1.145445929544497,4.305445929544497,-0.28132038485506017,-0.3624828890963598
RiceKrispies,KG,Fam,2.96,0.0404,-0.8858226597696655,3.8458226597696656,-1.2606190483686366,4.220619048368636,-0.29926441208434645,-0.4258848136380529
FrostedFlakes,KG,Fam,2.52,0.0382,-0.8837964486535361,3.4037964486535364,-1.2606190483686346,3.7806190483686346,-0.3507128764498159,-0.5002456541145376
RaisinBran,KG,Fam,2.34,0.0273,-0.8738926948853408,3.213892694885341,-1.260619048368644,3.6006190483686438,-0.37345841661766704,-0.538726089046429
Total,GM,Adult,3.61,0.0236,-0.8705811392000933,4.480581139200093,-1.145445929544492,4.755445929544492,-0.241158210304735,-0.31729804142506707
HoneyNutCheerios,GM,Fam,3.14,0.0226,-0.8696904279874883,4.009690427987488,-1.1454459295444972,4.2854459295444975,-0.27697147388136567,-0.3647916973071647
SpecialK,KG,Adult,3.48,0.0216,-0.8688015375255222,4.348801537525523,-1.2606190483686368,4.740619048368637,-0.24965561423147192,-0.36224685297949333
GrapeNuts,PT,Adult,2.14,0.0212,-0.8684464899008695,3.0084464899008694,-0.913918314498411,3.0539183144984112,-0.4058161167761072,-0.4270646329431827
SpoonSizeShdWt,NB,Adult,2.81,0.0208,-0.8680917323478055,3.6780917323478057,-0.8842561368094993,3.6942561368094995,-0.30892944211665674,-0.3146818992204624
100%Natural,QK,Adult,2.24,0.0196,-0.867029196567698,3.107029196567698,-0.8891583936349067,3.1291583936349068,-0.38706660561057943,-0.39694571144415475
FrostedMiniWheats,KG,Adult,2.62,0.0184,-0.8659692586745833,3.4859692586745834,-1.2606190483686355,3.8806190483686356,-0.3305226178147264,-0.4811523085376471
NutriGrain,KG,Adult,2.87,0.0155,-0.863418409664775,3.7334184096647753,-1.2606190483686377,4.130619048368638,-0.3008426514511411,-0.439240086539595
Mueslix,KG,Adult,3.31,0.015300000000000001,-0.8632430428708957,4.1732430428708955,-1.2606190483686348,4.570619048368635,-0.26079850237791413,-0.38085167624430055
Wheaties,GM,Fam,2.55,0.0152,-0.8631553861849827,3.4131553861849824,-1.1454459295444972,3.695445929544497,-0.3384923083078364,-0.4491944821743127
RaisinBran,PT,Fam,2.23,0.0146,-0.8626298196823331,3.092629819682333,-0.9139183144984093,3.1439183144984093,-0.38682951555261574,-0.40982884058224633
Muesli,RL,Adult,3.34,0.0126,-0.8608825443740845,4.2008825443740845,-0.8687127484056927,4.208712748405692,-0.25774926478266,-0.2600936372472134
CornPops,KG,Fam,3.51,0.0146,-0.8626298196823331,4.3726298196823326,-1.2606190483686357,4.770619048368635,-0.24576348139097812,-0.3591507260309504
RaisinNutBran,GM,Adult,2.98,0.013500000000000002,-0.861667941525566,3.841667941525566,-1.145445929544497,4.125445929544497,-0.28915031594817653,-0.384377828706207
Basic4,GM,Adult,3.27,0.0131,-0.8613186992754798,4.13131869927548,-1.1454459295444952,4.415445929544495,-0.2634002138457125,-0.3502892750900597
CocoaPus,GM,Kids,3.46,0.0128,-0.8610569533174343,4.321056953317434,-1.145445929544496,4.605445929544496,-0.24886039113220643,-0.3310537368625711
GoldenGrahams,GM,Kids,3.24,0.0124,-0.860708206070242,4.100708206070243,-1.1454459295444956,4.385445929544495,-0.2656506808858771,-0.35353269430385664
Cinn.ToastCrunch,GM,Kids,3.36,0.0123,-0.8606210633947261,4.220621063394726,-1.1454459295444956,4.5054459295444955,-0.2561372212484304,-0.34090652665014753
FrootLoops,KG,Kids,3.53,0.012,-0.8603597412094849,4.390359741209485,-1.2606190483686361,4.790619048368636,-0.24372797201401838,-0.3571158777248261
LowFatGranola,KG,Adult,2.68,0.011699999999999999,-0.860098577673754,3.540098577673754,-1.2606190483686364,3.9406190483686365,-0.320932305102147,-0.4703802419285956
Trix,GM,Kids,3.96,0.0113,-0.8597506061646313,4.819750606164631,-1.1454459295444992,5.1054459295445,-0.21710873893046245,-0.28925402261224725
Triples,GM,Adult,2.33,0.011200000000000002,-0.8596636572764675,3.1896636572764674,-1.1454459295444983,3.4754459295444984,-0.3689543593461234,-0.4916076950834756
Crispix,KG,Adult,3.28,0.011200000000000002,-0.8596636572764675,4.139663657276468,-1.2606190483686397,4.540619048368639,-0.2620925784379474,-0.38433507572214626
Kix,GM,Kids,3.67,0.0108,-0.859316037520189,4.529316037520189,-1.145445929544497,4.815445929544497,-0.23414605926980628,-0.31211060750531255
LuckyCharms,GM,Kids,3.45,0.0108,-0.859316037520189,4.3093160375201895,-1.1454459295444952,4.595445929544495,-0.24907711232469246,-0.33201331291144787
AppleCinn.Cheerios,GM,Fam,3.02,0.0106,-0.8591423330452508,3.879142333045251,-1.1454459295444948,4.165445929544495,-0.28448421624014925,-0.3792867316372499
CracklinOatBran,KG,Adult,3.19,0.0106,-0.8591423330452508,4.049142333045251,-1.2606190483686357,4.450619048368636,-0.2693236153746868,-0.39517838506853786
BigBiscuitShdWt,NB,Adult,2.79,0.009899999999999999,-0.8585349200232006,3.6485349200232005,-0.8842561368094999,3.6742561368095,-0.30771860932731204,-0.3169376834442652
HoneyBunchesofOats,PT,Adult,2.85,0.0095,-0.8581882123321263,3.7081882123321264,-0.913918314498414,3.7639183144984143,-0.3011186709937285,-0.32067309280646106
GreatGraines,PT,Adult,2.9,0.0089,-0.8576686755271629,3.757668675527163,-0.9139183144984117,3.8139183144984115,-0.29574781914729753,-0.31514424637876265
OtmlRaisinCrisp,GM,Adult,2.71,0.0097,-0.8583615311672939,3.5683615311672936,-1.1454459295444974,3.8554459295444974,-0.3167385723864553,-0.42267377473966694
OatSquares,QK,Adult,2.43,0.009399999999999999,-0.8581015791590663,3.2881015791590666,-0.8891583936349107,3.3191583936349107,-0.35312822187615894,-0.36590880396498376
RiceChex,RL,Adult,3.4,0.0089,-0.8576686755271629,4.257668675527163,-0.8687127484056936,4.268712748405694,-0.25225549280210674,-0.25550374953108634
TotalRaisinBran,GM,Adult,3.0,0.0089,-0.8576686755271629,3.857668675527163,-1.1454459295444932,4.145445929544493,-0.2858895585090543,-0.3818153098481644
