"id","firm","product","price","shelf_price","ad_price","share_pct","segment","cals","fat","sugar","share","outside_share","delta","firm_id","segment_id","own_cals","rival_cals","own_fat","rival_fat","own_sugar","rival_sugar","n_products_firm","n_rival_products","nest_share","share_within_nest","log_share_within_nest","n_products_nest","n_same_nest_other","n_rival_nest","nest_own_cals","nest_rival_cals","nest_own_fat","nest_rival_fat","nest_own_sugar","nest_rival_sugar"
1,"KG","CornFlakes",1.81,1.95,7.109,5.67,"Fam",100,0,2,0.0567,0.2429,-1.45487562527442,2,2,2200,4981,19,61.4,162,341.4,17,33,0.3069,0.18475073313783,-1.68874775089198,13,12,37,1650,5531,14,66.4,138,365.4
2,"GM","Cheerios",3.16,3.47,7.287,4.38,"Fam",110,2,1,0.0438,0.2429,-1.71301601862573,1,2,2440,4731,30.3,48.1,201,303.4,18,32,0.3069,0.142717497556207,-1.94688814424329,13,12,37,1640,5531,12,66.4,139,365.4
3,"KG","RiceKrispies",2.96,3.2,6.034,4.04,"Fam",120,0,3,0.0404,0.2429,-1.79382005104102,2,2,2180,4981,19,61.4,161,341.4,17,33,0.3069,0.131638970348648,-2.02769217665859,13,12,37,1630,5531,14,66.4,137,365.4
4,"KG","FrostedFlakes",2.52,2.68,7.867,3.82,"Fam",120,0,13,0.0382,0.2429,-1.8498143203956,2,2,2180,4981,19,61.4,151,341.4,17,33,0.3069,0.124470511567286,-2.08368644601316,13,12,37,1630,5531,14,66.4,127,365.4
5,"KG","RaisinBran",2.34,2.5,5.591,2.73,"Fam",200,1.5,18,0.0273,0.2429,-2.18576313381721,2,2,2100,4981,17.5,61.4,146,341.4,17,33,0.3069,0.0889540566959922,-2.41963525943478,13,12,37,1550,5531,12.5,66.4,122,365.4
6,"GM","Total",3.61,4.04,3.926,2.36,"Adult",110,1,5,0.0236,0.2429,-2.33140312397656,1,1,2440,4731,31.3,48.1,197,303.4,18,32,0.3293,0.0716671727907683,-2.63572247735075,25,24,25,4006,3165,51.6,27.8,214.6,285.8
7,"GM","HoneyNutCheerios",3.14,3.41,4.03,2.26,"Fam",120,1.5,11,0.0226,0.2429,-2.37469992972989,1,2,2430,4731,30.8,48.1,191,303.4,18,32,0.3069,0.0736396220267188,-2.60857205534745,13,12,37,1630,5531,12.5,66.4,129,365.4
8,"KG","SpecialK",3.48,3.78,3.531,2.16,"Adult",110,0,3,0.0216,0.2429,-2.41995652131801,2,1,2190,4981,19,61.4,161,341.4,17,33,0.3293,0.0655936835712117,-2.7242758746922,25,24,25,4006,3165,52.6,27.8,216.6,285.8
9,"PT","GrapeNuts",2.14,2.29,6.74,2.12,"Adult",200,1,7,0.0212,0.2429,-2.43864865433016,4,1,750,6331,9.7,69.7,59.5,438.9,6,44,0.3293,0.0643789857273003,-2.74296800770435,25,24,25,3916,3165,51.6,27.8,212.6,285.8
10,"NB","SpoonSizeShdWt",2.81,3.05,0.025,2.08,"Adult",170,0.5,0,0.0208,0.2429,-2.45769684930085,3,1,316,6795,1.7,78.2,9.6,495.8,3,47,0.3293,0.063164287883389,-2.76201620267505,25,24,25,3946,3165,52.1,27.8,219.6,285.8
11,"QK","100%Natural",2.24,2.55,1.612,1.96,"Adult",220,8,13.5,0.0196,0.2429,-2.51712026977166,5,1,445,6616,5.5,66.9,33.8,458.1,4,46,0.3293,0.059520194351655,-2.82143962314585,25,24,25,3896,3165,44.6,27.8,206.1,285.8
12,"KG","FrostedMiniWheats",2.62,2.75,6.106,1.84,"Adult",170,1,10,0.0184,0.2429,-2.58029917139319,2,1,2130,4981,18,61.4,154,341.4,17,33,0.3293,0.055876100819921,-2.88461852476738,25,24,25,3946,3165,51.6,27.8,209.6,285.8
13,"KG","NutriGrain",2.87,3.1,2.508,1.55,"Adult",100,1,0,0.0155,0.2429,-2.75180981208293,2,1,2200,4981,18,61.4,164,341.4,17,33,0.3293,0.0470695414515639,-3.05612916545712,25,24,25,4016,3165,51.6,27.8,219.6,285.8
