"row_product","column_product","elasticity"
"CornFlakes","CornFlakes",2.00859040829347
"Cheerios","CornFlakes",-0.12073261544603
"RiceKrispies","CornFlakes",-0.12073261544603
"FrostedFlakes","CornFlakes",-0.12073261544603
"RaisinBran","CornFlakes",-0.12073261544603
"Total","CornFlakes",-0.12073261544603
"HoneyNutCheerios","CornFlakes",-0.12073261544603
"SpecialK","CornFlakes",-0.12073261544603
"GrapeNuts","CornFlakes",-0.12073261544603
"SpoonSizeShdWt","CornFlakes",-0.12073261544603
"100%Natural","CornFlakes",-0.12073261544603
"FrostedMiniWheats","CornFlakes",-0.12073261544603
"CornFlakes","Cheerios",-0.162826155287148
"Cheerios","Cheerios",3.55466597455641
"RiceKrispies","Cheerios",-0.162826155287148
"FrostedFlakes","Cheerios",-0.162826155287148
"RaisinBran","Cheerios",-0.162826155287148
"Total","Cheerios",-0.162826155287148
"HoneyNutCheerios","Cheerios",-0.162826155287148
"SpecialK","Cheerios",-0.162826155287148
"GrapeNuts","Cheerios",-0.162826155287148
"SpoonSizeShdWt","Cheerios",-0.162826155287148
"100%Natural","Cheerios",-0.162826155287148
"FrostedMiniWheats","Cheerios",-0.162826155287148
"CornFlakes","RiceKrispies",-0.140681195840257
"Cheerios","RiceKrispies",-0.140681195840257
"RiceKrispies","RiceKrispies",3.34152662198788
"FrostedFlakes","RiceKrispies",-0.140681195840257
"RaisinBran","RiceKrispies",-0.140681195840257
"Total","RiceKrispies",-0.140681195840257
"HoneyNutCheerios","RiceKrispies",-0.140681195840257
"SpecialK","RiceKrispies",-0.140681195840257
"GrapeNuts","RiceKrispies",-0.140681195840257
"SpoonSizeShdWt","RiceKrispies",-0.140681195840257
"100%Natural","RiceKrispies",-0.140681195840257
"FrostedMiniWheats","RiceKrispies",-0.140681195840257
"CornFlakes","FrostedFlakes",-0.113247045059259
"Cheerios","FrostedFlakes",-0.113247045059259
"RiceKrispies","FrostedFlakes",-0.113247045059259
"FrostedFlakes","FrostedFlakes",2.85133528633497
"RaisinBran","FrostedFlakes",-0.113247045059259
"Total","FrostedFlakes",-0.113247045059259
"HoneyNutCheerios","FrostedFlakes",-0.113247045059259
"SpecialK","FrostedFlakes",-0.113247045059259
"GrapeNuts","FrostedFlakes",-0.113247045059259
"SpoonSizeShdWt","FrostedFlakes",-0.113247045059259
"100%Natural","FrostedFlakes",-0.113247045059259
"FrostedMiniWheats","FrostedFlakes",-0.113247045059259
"CornFlakes","RaisinBran",-0.0751521621008436
"Cheerios","RaisinBran",-0.0751521621008436
"RiceKrispies","RaisinBran",-0.0751521621008436
"FrostedFlakes","RaisinBran",-0.0751521621008436
"RaisinBran","RaisinBran",2.67767428847951
"Total","RaisinBran",-0.0751521621008436
"HoneyNutCheerios","RaisinBran",-0.0751521621008436
"SpecialK","RaisinBran",-0.0751521621008436
"GrapeNuts","RaisinBran",-0.0751521621008436
"SpoonSizeShdWt","RaisinBran",-0.0751521621008436
"100%Natural","RaisinBran",-0.0751521621008436
"FrostedMiniWheats","RaisinBran",-0.0751521621008436
"CornFlakes","Total",-0.100226411232326
"Cheerios","Total",-0.100226411232326
"RiceKrispies","Total",-0.100226411232326
"FrostedFlakes","Total",-0.100226411232326
"RaisinBran","Total",-0.100226411232326
"Total","Total",4.14665542064591
"HoneyNutCheerios","Total",-0.100226411232326
"SpecialK","Total",-0.100226411232326
"GrapeNuts","Total",-0.100226411232326
"SpoonSizeShdWt","Total",-0.100226411232326
"100%Natural","Total",-0.100226411232326
"FrostedMiniWheats","Total",-0.100226411232326
"CornFlakes","HoneyNutCheerios",-0.0834835795893095
"Cheerios","HoneyNutCheerios",-0.0834835795893095
"RiceKrispies","HoneyNutCheerios",-0.0834835795893095
"FrostedFlakes","HoneyNutCheerios",-0.0834835795893095
"RaisinBran","HoneyNutCheerios",-0.0834835795893095
"Total","HoneyNutCheerios",-0.0834835795893095
"HoneyNutCheerios","HoneyNutCheerios",3.6104801190527
"SpecialK","HoneyNutCheerios",-0.0834835795893095
"GrapeNuts","HoneyNutCheerios",-0.0834835795893095
"SpoonSizeShdWt","HoneyNutCheerios",-0.0834835795893095
"100%Natural","HoneyNutCheerios",-0.0834835795893095
"FrostedMiniWheats","HoneyNutCheerios",-0.0834835795893095
"CornFlakes","SpecialK",-0.0884292558278735
"Cheerios","SpecialK",-0.0884292558278735
"RiceKrispies","SpecialK",-0.0884292558278735
"FrostedFlakes","SpecialK",-0.0884292558278735
"RaisinBran","SpecialK",-0.0884292558278735
"Total","SpecialK",-0.0884292558278735
"HoneyNutCheerios","SpecialK",-0.0884292558278735
"SpecialK","SpecialK",4.00551777324034
"GrapeNuts","SpecialK",-0.0884292558278735
"SpoonSizeShdWt","SpecialK",-0.0884292558278735
"100%Natural","SpecialK",-0.0884292558278735
"FrostedMiniWheats","SpecialK",-0.0884292558278735
"CornFlakes","GrapeNuts",-0.0533718933375767
"Cheerios","GrapeNuts",-0.0533718933375767
"RiceKrispies","GrapeNuts",-0.0533718933375767
"FrostedFlakes","GrapeNuts",-0.0533718933375767
"RaisinBran","GrapeNuts",-0.0533718933375767
"Total","GrapeNuts",-0.0533718933375767
"HoneyNutCheerios","GrapeNuts",-0.0533718933375767
"SpecialK","GrapeNuts",-0.0533718933375767
"GrapeNuts","GrapeNuts",2.46417024522736
"SpoonSizeShdWt","GrapeNuts",-0.0533718933375767
"100%Natural","GrapeNuts",-0.0533718933375767
"FrostedMiniWheats","GrapeNuts",-0.0533718933375767
"CornFlakes","SpoonSizeShdWt",-0.0687594873433848
"Cheerios","SpoonSizeShdWt",-0.0687594873433848
"RiceKrispies","SpoonSizeShdWt",-0.0687594873433848
"FrostedFlakes","SpoonSizeShdWt",-0.0687594873433848
"RaisinBran","SpoonSizeShdWt",-0.0687594873433848
"Total","SpoonSizeShdWt",-0.0687594873433848
"HoneyNutCheerios","SpoonSizeShdWt",-0.0687594873433848
"SpecialK","SpoonSizeShdWt",-0.0687594873433848
"GrapeNuts","SpoonSizeShdWt",-0.0687594873433848
"SpoonSizeShdWt","SpoonSizeShdWt",3.23698509647319
"100%Natural","SpoonSizeShdWt",-0.0687594873433848
"FrostedMiniWheats","SpoonSizeShdWt",-0.0687594873433848
"CornFlakes","100%Natural",-0.0516496121736239
"Cheerios","100%Natural",-0.0516496121736239
"RiceKrispies","100%Natural",-0.0516496121736239
"FrostedFlakes","100%Natural",-0.0516496121736239
"RaisinBran","100%Natural",-0.0516496121736239
"Total","100%Natural",-0.0516496121736239
"HoneyNutCheerios","100%Natural",-0.0516496121736239
"SpecialK","100%Natural",-0.0516496121736239
"GrapeNuts","100%Natural",-0.0516496121736239
"SpoonSizeShdWt","100%Natural",-0.0516496121736239
"100%Natural","100%Natural",2.58353468239902
"FrostedMiniWheats","100%Natural",-0.0516496121736239
"CornFlakes","FrostedMiniWheats",-0.0567129305681956
"Cheerios","FrostedMiniWheats",-0.0567129305681956
"RiceKrispies","FrostedMiniWheats",-0.0567129305681956
"FrostedFlakes","FrostedMiniWheats",-0.0567129305681956
"RaisinBran","FrostedMiniWheats",-0.0567129305681956
"Total","FrostedMiniWheats",-0.0567129305681956
"HoneyNutCheerios","FrostedMiniWheats",-0.0567129305681956
"SpecialK","FrostedMiniWheats",-0.0567129305681956
"GrapeNuts","FrostedMiniWheats",-0.0567129305681956
"SpoonSizeShdWt","FrostedMiniWheats",-0.0567129305681956
"100%Natural","FrostedMiniWheats",-0.0567129305681956
"FrostedMiniWheats","FrostedMiniWheats",3.02551155683374
