"product","firm","segment","price","share","own_elasticity_simple_logit"
"CornFlakes","KG","Fam",1.81,0.0567,2.00859040829347
"Cheerios","GM","Fam",3.16,0.0438,3.55466597455641
"RiceKrispies","KG","Fam",2.96,0.0404,3.34152662198788
"FrostedFlakes","KG","Fam",2.52,0.0382,2.85133528633497
"RaisinBran","KG","Fam",2.34,0.0273,2.67767428847951
"Total","GM","Adult",3.61,0.0236,4.14665542064591
"HoneyNutCheerios","GM","Fam",3.14,0.0226,3.6104801190527
"SpecialK","KG","Adult",3.48,0.0216,4.00551777324034
"GrapeNuts","PT","Adult",2.14,0.0212,2.46417024522736
"SpoonSizeShdWt","NB","Adult",2.81,0.0208,3.23698509647319
"100%Natural","QK","Adult",2.24,0.0196,2.58353468239902
"FrostedMiniWheats","KG","Adult",2.62,0.0184,3.02551155683374
"NutriGrain","KG","Adult",2.87,0.0155,3.32399676432117
"Mueslix","KG","Adult",3.31,0.0153,3.83437784678813
"Wheaties","GM","Fam",2.55,0.0152,2.95427687852795
"RaisinBran","PT","Fam",2.23,0.0146,2.58511814581889
"CornPops","KG","Fam",3.51,0.0146,4.06895277660282
"RaisinNutBran","GM","Adult",2.98,0.0135,3.45840880966778
"Basic4","GM","Adult",3.27,0.0131,3.79650413108301
"CocoaPus","GM","Kids",3.46,0.0128,4.01831723981398
"Muesli","RL","Adult",3.34,0.0126,3.87973948572314
"GoldenGrahams","GM","Kids",3.24,0.0124,3.76434194205206
"Cinn.ToastCrunch","GM","Kids",3.36,0.0123,3.9041572916241
"FrootLoops","KG","Kids",3.53,0.012,4.10293488978721
"LowFatGranola","KG","Adult",2.68,0.0117,3.11592190656878
"Trix","GM","Kids",3.96,0.0113,4.60598686593488
"Triples","GM","Adult",2.33,0.0112,2.71036233794781
"Crispix","KG","Adult",3.28,0.0112,3.81544569462181
"Kix","GM","Kids",3.67,0.0108,4.27083848052765
"LuckyCharms","GM","Kids",3.45,0.0108,4.01482091493743
"AppleCinn.Cheerios","GM","Fam",3.02,0.0106,3.51513350445158
"CracklinOatBran","KG","Adult",3.19,0.0106,3.71300525801342
"BigBiscuitShdWt","NB","Adult",2.79,0.0099,3.24972221270415
"OtmlRaisinCrisp","GM","Adult",2.71,0.0097,3.15717783425912
"HoneyBunchesofOats","PT","Adult",2.85,0.0095,3.32094983248057
"OatSquares","QK","Adult",2.43,0.0094,2.83183256971201
"GreatGraines","PT","Adult",2.9,0.0089,3.38125908375793
"RiceChex","RL","Adult",3.4,0.0089,3.96423478785412
"TotalRaisinBran","GM","Adult",3,0.0089,3.49785422457716
"Product19","KG","Adult",3.38,0.0089,3.94091575969027
"AppleJacks","KG","Kids",3.64,0.0084,4.24620421305963
"CaptCrunch","QK","Kids",2.55,0.0083,2.97497601587751
"FruityPebbles","PT","Kids",3.21,0.0083,3.74496980822227
"ShreddedWheat","NB","Adult",2.82,0.008,3.29096872902201
"Clusters","GM","Fam",3.14,0.0078,3.6651507817926
"CinnamonMiniBuns","KG","Fam",2.75,0.0076,3.21057207960634
"MultiGrainCheerios","GM","Fam",3.34,0.0075,3.8997786505775
"Honeycomb","PT","Kids",3.4,0.0074,3.97023453781051
"DoubleDipCrunch","KG","Adult",3.01,0.0073,3.51517938489242
"Popeye","QK","Kids",1.77,0.0067,2.06831497805547
