"product","own_elasticity_nested_logit"
"Trix",-2.99979732890537
"Total",-2.75226437268817
"Kix",-2.75041708034125
"AppleJacks",-2.74714254330335
"CornPops",-2.66291500614169
"FrootLoops",-2.65622528701836
"SpecialK",-2.64702181065617
"CocoaPus",-2.59737489286151
"LuckyCharms",-2.58706576061316
"RiceChex",-2.58202255182579
"Product19",-2.56877238992644
"Muesli",-2.54675819316111
"Honeycomb",-2.54255291494022
"MultiGrainCheerios",-2.52809808169711
"Mueslix",-2.52163479122121
"Cinn.ToastCrunch",-2.50495922195082
"Basic4",-2.48914650041905
"Crispix",-2.48781241928766
"CracklinOatBran",-2.42816254107213
"GoldenGrahams",-2.4110256382286
"FruityPebbles",-2.38919572799321
"Clusters",-2.36419251166068
"HoneyNutCheerios",-2.36061451637273
"Cheerios",-2.35531099468617
"TotalRaisinBran",-2.28367814513933
"DoubleDipCrunch",-2.28341245251356
"AppleCinn.Cheerios",-2.26754572442244
"RaisinNutBran",-2.26338499108907
"RiceKrispies",-2.19880875916898
"GreatGraines",-2.19261052355655
"NutriGrain",-2.15521292710268
"HoneyBunchesofOats",-2.14830906807052
"ShreddedWheat",-2.11491594892896
"SpoonSizeShdWt",-2.10681681267356
"BigBiscuitShdWt",-2.10606433158735
"OtmlRaisinCrisp",-2.05385343648609
"CinnamonMiniBuns",-2.04915927374079
"LowFatGranola",-2.02104689287969
"FrostedMiniWheats",-1.97145456643274
"Wheaties",-1.86718736564685
"FrostedFlakes",-1.86647302801598
"CaptCrunch",-1.84614499077102
"OatSquares",-1.8173445930651
"Triples",-1.7342632459066
"RaisinBran",-1.73114919718254
"100%Natural",-1.67136419698437
"RaisinBran",-1.64783725323543
"GrapeNuts",-1.58416227262016
"CornFlakes",-1.2614754666172
"Popeye",-1.21676979508764
