row_product,column_product,elasticity
HoneyBunchesofOats,HoneyBunchesofOats,3.3209496
Muesli,HoneyBunchesofOats,-.031851608
OatSquares,HoneyBunchesofOats,-.031851608
FrostedMiniWheats,HoneyBunchesofOats,-.031851608
DoubleDipCrunch,HoneyBunchesofOats,-.031851608
RiceChex,HoneyBunchesofOats,-.031851608
Total,HoneyBunchesofOats,-.031851608
GreatGraines,HoneyBunchesofOats,-.031851608
SpoonSizeShdWt,HoneyBunchesofOats,-.031851608
100%Natural,HoneyBunchesofOats,-.031851608
Product19,HoneyBunchesofOats,-.031851608
NutriGrain,HoneyBunchesofOats,-.031851608
ShreddedWheat,HoneyBunchesofOats,-.031851608
GrapeNuts,HoneyBunchesofOats,-.031851608
Crispix,HoneyBunchesofOats,-.031851608
TotalRaisinBran,HoneyBunchesofOats,-.031851608
CracklinOatBran,HoneyBunchesofOats,-.031851608
BigBiscuitShdWt,HoneyBunchesofOats,-.031851608
OtmlRaisinCrisp,HoneyBunchesofOats,-.031851608
SpecialK,HoneyBunchesofOats,-.031851608
Triples,HoneyBunchesofOats,-.031851608
Mueslix,HoneyBunchesofOats,-.031851608
Basic4,HoneyBunchesofOats,-.031851608
RaisinNutBran,HoneyBunchesofOats,-.031851608
LowFatGranola,HoneyBunchesofOats,-.031851608
Cheerios,HoneyBunchesofOats,-.031851608
RaisinBran,HoneyBunchesofOats,-.031851608
CinnamonMiniBuns,HoneyBunchesofOats,-.031851608
Wheaties,HoneyBunchesofOats,-.031851608
RaisinBran,HoneyBunchesofOats,-.031851608
RiceKrispies,HoneyBunchesofOats,-.031851608
AppleCinn.Cheerios,HoneyBunchesofOats,-.031851608
Clusters,HoneyBunchesofOats,-.031851608
FrostedFlakes,HoneyBunchesofOats,-.031851608
CornPops,HoneyBunchesofOats,-.031851608
HoneyNutCheerios,HoneyBunchesofOats,-.031851608
MultiGrainCheerios,HoneyBunchesofOats,-.031851608
CornFlakes,HoneyBunchesofOats,-.031851608
GoldenGrahams,HoneyBunchesofOats,-.031851608
LuckyCharms,HoneyBunchesofOats,-.031851608
FrootLoops,HoneyBunchesofOats,-.031851608
CaptCrunch,HoneyBunchesofOats,-.031851608
FruityPebbles,HoneyBunchesofOats,-.031851608
Cinn.ToastCrunch,HoneyBunchesofOats,-.031851608
CocoaPus,HoneyBunchesofOats,-.031851608
Popeye,HoneyBunchesofOats,-.031851608
AppleJacks,HoneyBunchesofOats,-.031851608
Kix,HoneyBunchesofOats,-.031851608
Trix,HoneyBunchesofOats,-.031851608
Honeycomb,HoneyBunchesofOats,-.031851608
HoneyBunchesofOats,Muesli,-.049508519
HoneyBunchesofOats,OatSquares,-.026871817
HoneyBunchesofOats,FrostedMiniWheats,-.056712925
HoneyBunchesofOats,DoubleDipCrunch,-.025849508
HoneyBunchesofOats,RiceChex,-.035598513
HoneyBunchesofOats,Total,-.1002264
HoneyBunchesofOats,GreatGraines,-.030363437
HoneyBunchesofOats,SpoonSizeShdWt,-.068759479
HoneyBunchesofOats,100%Natural,-.051649608
HoneyBunchesofOats,Product19,-.03538911
HoneyBunchesofOats,NutriGrain,-.052333105
HoneyBunchesofOats,ShreddedWheat,-.026540069
HoneyBunchesofOats,GrapeNuts,-.053371888
HoneyBunchesofOats,Crispix,-.043217015
HoneyBunchesofOats,TotalRaisinBran,-.031410452
HoneyBunchesofOats,CracklinOatBran,-.039779514
HoneyBunchesofOats,BigBiscuitShdWt,-.032493938
HoneyBunchesofOats,OtmlRaisinCrisp,-.03092459
HoneyBunchesofOats,SpecialK,-.08842925
