product,own_elasticity_nested_logit
Trix,-2.9997973
Total,-2.7522645
Kix,-2.750417
AppleJacks,-2.7471426
CornPops,-2.662915
FrootLoops,-2.6562252
SpecialK,-2.6470218
CocoaPus,-2.5973749
LuckyCharms,-2.5870657
RiceChex,-2.5820227
Product19,-2.5687723
Muesli,-2.5467582
Honeycomb,-2.5425529
MultiGrainCheerios,-2.5280981
Mueslix,-2.5216348
Cinn.ToastCrunch,-2.5049593
Basic4,-2.4891465
Crispix,-2.4878125
CracklinOatBran,-2.4281626
GoldenGrahams,-2.4110255
FruityPebbles,-2.3891957
Clusters,-2.3641925
HoneyNutCheerios,-2.3606145
Cheerios,-2.3553109
TotalRaisinBran,-2.2836781
DoubleDipCrunch,-2.2834125
AppleCinn.Cheerios,-2.2675457
RaisinNutBran,-2.2633851
RiceKrispies,-2.1988087
GreatGraines,-2.1926105
NutriGrain,-2.1552129
HoneyBunchesofOats,-2.148309
ShreddedWheat,-2.1149158
SpoonSizeShdWt,-2.1068168
BigBiscuitShdWt,-2.1060643
OtmlRaisinCrisp,-2.0538535
CinnamonMiniBuns,-2.0491593
LowFatGranola,-2.0210469
FrostedMiniWheats,-1.9714546
Wheaties,-1.8671874
FrostedFlakes,-1.8664731
CaptCrunch,-1.846145
OatSquares,-1.8173445
Triples,-1.7342633
RaisinBran,-1.7311492
100%Natural,-1.6713642
RaisinBran,-1.6478373
GrapeNuts,-1.5841622
CornFlakes,-1.2614754
Popeye,-1.2167698
