year,q,y,pchick,pbeef,pcor,pf,cpi,qprod,pop,meatex,time,ln_q,ln_y,ln_pch,ln_pb,z,z_sq,z_cu,z_lag,z_lag_sq
1950,14.3,7863,69.5,31.2,59.8,,24.1,2628500.0,151.684,,41,2.6602595372658615,8.969923491991516,1.0591149120741372,0.2582062543188272,0.9087938204599766,0.8259062081062402,0.7505784582064825,,
1951,15.1,7953,72.9,36.5,72.1,,26.0,2843000.0,154.287,,42,2.714694743820879,8.981304494957135,1.0309921009931304,0.3392157225669637,1.0199575062694213,1.0403133145953365,1.0610753740935355,0.9087938204599766,0.8259062081062402
1952,15.3,8071,73.1,36.2,71.3,,26.5,2851200.0,156.954,,43,2.72785282839839,8.996032669324372,1.014683633763556,0.31191438583954895,0.9897515944280737,0.9796082186729141,0.9695687963463618,1.0199575062694213,1.0403133145953365
1953,15.2,8319,71.3,28.5,62.7,,26.7,2953900.0,159.565,,44,2.7212954278522306,9.026297334283887,0.9822327620140464,0.06524052186840094,0.8536978822326713,0.7288000741285479,0.6221750798545552,0.9897515944280737,0.9796082186729141
1954,15.8,8276,64.4,27.4,63.4,,26.9,3099700.0,162.391,,45,2.760009940032921,9.021115038865434,0.8729873465025145,0.018416726786231068,0.857337574835387,0.7350277172246228,0.6301668805221486,0.8536978822326713,0.7288000741285479
1955,14.7,8675,67.0,27.1,56.1,,26.8,2958100.0,165.275,,46,2.6878474937846906,9.06820060481506,0.9162907318741551,0.011131840368844199,0.7387339250118395,0.5457278119633981,0.40314764851984425,0.857337574835387,0.7350277172246228
1956,16.8,8930,58.8,26.7,57.7,,27.2,3492200.0,168.221,,47,2.8213788864092133,9.097171673870545,0.7709248816026295,-0.018553407895747834,0.7520402002121024,0.565564462735059,0.42532721178812394,0.7387339250118395,0.5457278119633981
1957,17.6,8988,57.3,28.7,51.6,,28.1,3647100.0,171.274,,48,2.8678989020441064,9.10364563330522,0.7125310473809937,0.021127546425875277,0.6077520961478169,0.36936261037206525,0.22448090069225204,0.7520402002121024,0.565564462735059
1958,19.3,8922,56.6,33.4,50.1,,28.9,4144800.0,174.141,,49,2.9601050959108397,9.09627541568821,0.6721673900907509,0.1447143048642682,0.5501794129724327,0.3026973864586906,0.166537870390132,0.6077520961478169,0.36936261037206525
1959,19.8,9167,51.6,34.4,48.6,,29.1,4331118.0,177.073,,50,2.9856819377004897,9.123365357961776,0.5727834983100701,0.16731839020190567,0.5128853567290013,0.26305138914703485,0.13491520556073633,0.5501794129724327,0.3026973864586906
1960,19.2,9210,52.4,33.5,46.0,51.53361,29.6,4333602.0,180.671,50.0,51,2.954910279033736,9.128045129249353,0.5711322299969818,0.1237710775010061,0.44086703515908027,0.1943637426899577,0.08568856698214401,0.5128853567290013,0.26305138914703485
1961,20.6,9361,47.4,33.0,45.1,51.86824,29.9,4944130.0,183.691,49.0,52,3.0252910757955354,9.144307401371744,0.4607637483043901,0.09864908106983963,0.411023766111992,0.1689405363088855,0.06943857548265783,0.44086703515908027,0.1943637426899577
1962,20.6,9666,50.0,34.2,44.8,52.09133,30.2,4997189.0,186.538,46.0,53,3.0252910757955354,9.17636985240503,0.5041810810473221,0.12438371968773553,0.39436621504011554,0.15552471156506664,0.06133369184512102,0.411023766111992,0.1689405363088855
1963,21.1,9886,49.3,33.8,49.8,50.97588,30.6,5269019.0,189.242,80.0,54,3.0492730404820207,9.198874893866904,0.47692407209030924,0.09946079353063787,0.487014975072272,0.2371835859446457,0.1155119581963837,0.39436621504011554,0.15552471156506664
1964,21.3,10456,48.2,32.8,49.9,50.75279,31.0,5443769.0,191.889,78.0,55,3.0587070727153796,9.254931255304058,0.44137181657140845,0.05644131090495163,0.4760337982723267,0.22660817709757825,0.10787315126332826,0.487014975072272,0.2371835859446457
1965,22.9,10965,49.8,34.4,51.8,50.97588,31.5,5871560.0,194.303,49.0,56,3.131136910560194,9.302463660851988,0.4580274381990198,0.0880690185477652,0.49740260343384995,0.2474093499027718,0.12306205475551503,0.4760337982723267,0.22660817709757825
1966,24.5,11417,52.7,36.2,54.5,52.48173,32.4,6437127.0,196.56,44.0,57,3.1986731175506815,9.342858751676328,0.486457032749033,0.11090069603344174,0.5200422788709148,0.2704439718132543,0.14064229940866624,0.49740260343384995,0.2474093499027718
1967,25.1,11776,48.8,36.4,51.7,51.86824,33.4,6552305.0,198.712,45.0,58,3.2228678461377385,9.373818840968658,0.37917441287644676,0.08601287466004018,0.4369018815317288,0.1908832540859648,0.08339725286305709,0.5200422788709148,0.2704439718132543
1968,25.2,12196,51.2,37.9,45.5,49.5258,34.8,6653319.0,200.706,59.0,59,3.2268439945173775,9.408863308108145,0.3861221452650336,0.08533372530795198,0.2680949391764761,0.07187489641203841,0.01926929598190096,0.4369018815317288,0.1908832540859648
1969,26.3,12451,54.1,41.7,49.3,50.36239,36.7,7174882.0,202.677,87.0,60,3.269568939183719,9.429556219952412,0.3880574307919112,0.12772437374423118,0.29514732598811966,0.08711194403793737,0.025710857344423937,0.2680949391764761,0.07187489641203841
1970,27.4,12823,52.4,43.5,54.5,53.151,38.8,7686589.0,205.052,49.0,61,3.3105430133940246,9.458995712459116,0.3004863446977688,0.11434069146541066,0.33978045503997073,0.11545075762716957,0.03922791096126905,0.29514732598811966,0.08711194403793737
1971,27.4,13218,52.9,45.5,55.7,54.54531,40.5,7723561.0,207.661,57.0,62,3.3105430133940246,9.489334816030398,0.2671013647517603,0.11641035184441137,0.3186781728207449,0.10155577783236855,0.03236360971900872,0.33978045503997073,0.11545075762716957
1972,28.3,13692,53.4,49.7,52.1,54.82417,41.8,8146839.0,209.896,76.0,63,3.342861804649192,9.524566999650077,0.2449144064354386,0.17310859357187244,0.2202686092286107,0.048518260211506396,0.010687049698980353,0.3186781728207449,0.10155577783236855
1973,27.1,14496,77.1,59.6,89.0,84.66235,44.4,7961659.0,211.909,119.0,64,3.299533727885655,9.581628028282761,0.5518638111311047,0.29441610463312506,0.6953969002939608,0.48357684893844893,0.33627784180571835,0.2202686092286107,0.048518260211506396
1974,27.0,14268,72.3,61.3,128.2,94.0321,49.3,8034339.0,213.854,76.0,65,3.295836866004329,9.565774546478782,0.38290004811607453,0.21785576189352138,0.9556674634379253,0.9133003006738782,0.8728113817020998,0.6953969002939608,0.48357684893844893
1975,26.4,14393,81.4,61.9,115.2,91.13194,53.8,8019673.0,215.973,120.0,66,3.2733640101522705,9.57449725626267,0.41410180584075595,0.14024671252281168,0.7613962810940522,0.579724296863853,0.441399923692002,0.9556674634379253,0.9133003006738782
1976,28.5,14873,76.9,59.9,107.6,93.86478,56.9,9012071.0,218.035,184.0,67,3.349904087274605,9.607302767592598,0.30121053537931314,0.05138116398911849,0.6371253065953988,0.40592865630428093,0.2586274196037232,0.7613962810940522,0.579724296863853
1977,29.0,15256,77.3,59.5,88.0,95.25909,60.6,9279454.0,220.239,180.0,68,3.367295829986474,9.632728147280256,0.24339906251810747,-0.018318580523684746,0.37304192140293774,0.13916027512399556,0.05191261641521675,0.6371253065953988,0.40592865630428093
1978,30.4,15845,85.6,73.1,92.0,94.4225,65.2,9902015.0,222.585,204.0,69,3.414442608412176,9.670609272125022,0.27222581421508896,0.11436889782312543,0.3443291081164329,0.11856253469625815,0.0408245318279862,0.37304192140293774,0.13916027512399556
1979,32.8,16120,87.2,93.1,104.5,105.5212,72.6,10926345.0,225.055,210.0,70,3.490428515390098,9.68781601606062,0.18323940908418365,0.2487092624522711,0.3642221495741153,0.13265777424038921,0.04831689969155226,0.3443291081164329,0.11856253469625815
1980,32.7,16063,94.4,98.4,119.2,115.3371,82.4,11251965.0,227.726,194.0,71,3.487375077903208,9.684273769557766,0.13595563623602894,0.17745536714278165,0.3692173177158234,0.13632142770126726,0.05033223188305345,0.3642221495741153,0.13265777424038921
1981,33.7,16265,96.5,99.2,125.9,126.6589,90.9,11868104.0,229.966,239.0,72,3.517497837358316,9.696770838907451,0.0597830071615071,0.08737801310739399,0.32572793986686827,0.10609869080991415,0.03455930798008516,0.3692173177158234,0.13632142770126726
