year,q,y,pchick,pbeef,pcor,pf,cpi,qprod,pop,meatex,time,ln_q,ln_y,ln_pch,ln_pb,z,z_sq,z_cu,z_lag,z_lag_sq
1950,14.3,7863,69.5,31.2,59.8,,24.1,2628500,151.684,,41,2.660259537265862,8.969923491991516,1.059114912074137,.2582062543188272,.9087938204599766,.8259062081062402,.7505784582064825,,
1951,15.1,7953,72.90000000000001,36.5,72.09999999999999,,26,2843000,154.287,,42,2.714694743820879,8.981304494957135,1.03099210099313,.3392157225669637,1.019957506269421,1.040313314595336,1.061075374093535,.9087938204599766,.8259062081062402
1952,15.3,8071,73.09999999999999,36.2,71.3,,26.5,2851200,156.954,,43,2.72785282839839,8.996032669324372,1.014683633763556,.3119143858395489,.9897515944280737,.9796082186729141,.9695687963463618,1.019957506269421,1.040313314595336
1953,15.2,8319,71.3,28.5,62.7,,26.7,2953900,159.565,,44,2.721295427852231,9.026297334283887,.9822327620140464,.0652405218684009,.8536978822326713,.7288000741285479,.6221750798545551,.9897515944280737,.9796082186729141
1954,15.8,8276,64.40000000000001,27.4,63.4,,26.9,3099700,162.391,,45,2.760009940032921,9.021115038865434,.8729873465025145,.0184167267862311,.857337574835387,.7350277172246228,.6301668805221486,.8536978822326713,.7288000741285479
1955,14.7,8675,67,27.1,56.1,,26.8,2958100,165.275,,46,2.687847493784691,9.068200604815059,.9162907318741551,.0111318403688442,.7387339250118395,.5457278119633981,.4031476485198442,.857337574835387,.7350277172246228
1956,16.8,8930,58.8,26.7,57.7,,27.2,3492200,168.221,,47,2.821378886409213,9.097171673870545,.7709248816026295,-.0185534078957478,.7520402002121024,.565564462735059,.4253272117881239,.7387339250118395,.5457278119633981
1957,17.6,8988,57.3,28.7,51.6,,28.1,3647100,171.274,,48,2.867898902044106,9.10364563330522,.7125310473809937,.0211275464258753,.6077520961478169,.3693626103720652,.224480900692252,.7520402002121024,.565564462735059
1958,19.3,8922,56.6,33.4,50.1,,28.9,4144800,174.141,,49,2.96010509591084,9.09627541568821,.6721673900907509,.1447143048642682,.5501794129724327,.3026973864586906,.166537870390132,.6077520961478169,.3693626103720652
1959,19.8,9167,51.6,34.4,48.6,,29.1,4331118,177.073,,50,2.98568193770049,9.123365357961776,.5727834983100701,.1673183902019057,.5128853567290013,.2630513891470349,.1349152055607363,.5501794129724327,.3026973864586906
1960,19.2,9210,52.4,33.5,46,51.53361,29.6,4333602,180.671,50,51,2.954910279033736,9.128045129249353,.5711322299969818,.1237710775010061,.4408670351590803,.1943637426899577,.085688566982144,.5128853567290013,.2630513891470349
1961,20.6,9361,47.4,33,45.1,51.86824,29.9,4944130,183.691,49,52,3.025291075795535,9.144307401371744,.4607637483043901,.0986490810698396,.411023766111992,.1689405363088855,.0694385754826578,.4408670351590803,.1943637426899577
1962,20.6,9666,50,34.2,44.8,52.09133,30.2,4997189,186.538,46,53,3.025291075795535,9.176369852405029,.5041810810473221,.1243837196877355,.3943662150401155,.1555247115650666,.061333691845121,.411023766111992,.1689405363088855
1963,21.1,9886,49.3,33.8,49.8,50.97588,30.6,5269019,189.242,80,54,3.049273040482021,9.198874893866904,.4769240720903092,.0994607935306379,.487014975072272,.2371835859446457,.1155119581963837,.3943662150401155,.1555247115650666
1964,21.3,10456,48.2,32.8,49.9,50.75279,31,5443769,191.889,78,55,3.05870707271538,9.254931255304058,.4413718165714084,.0564413109049516,.4760337982723267,.2266081770975782,.1078731512633282,.487014975072272,.2371835859446457
1965,22.9,10965,49.8,34.4,51.8,50.97588,31.5,5871560,194.303,49,56,3.131136910560194,9.302463660851988,.4580274381990198,.0880690185477652,.49740260343385,.2474093499027718,.123062054755515,.4760337982723267,.2266081770975782
1966,24.5,11417,52.7,36.2,54.5,52.48173,32.4,6437127,196.56,44,57,3.198673117550682,9.342858751676328,.486457032749033,.1109006960334417,.5200422788709148,.2704439718132543,.1406422994086662,.49740260343385,.2474093499027718
1967,25.1,11776,48.8,36.4,51.7,51.86824,33.4,6552305,198.712,45,58,3.222867846137738,9.373818840968658,.3791744128764468,.0860128746600402,.4369018815317288,.1908832540859648,.0833972528630571,.5200422788709148,.2704439718132543
1968,25.2,12196,51.2,37.9,45.5,49.5258,34.8,6653319,200.706,59,59,3.226843994517377,9.408863308108145,.3861221452650336,.085333725307952,.2680949391764761,.0718748964120384,.019269295981901,.4369018815317288,.1908832540859648
1969,26.3,12451,54.1,41.7,49.3,50.36239,36.7,7174882,202.677,87,60,3.269568939183719,9.429556219952412,.3880574307919112,.1277243737442312,.2951473259881197,.0871119440379374,.0257108573444239,.2680949391764761,.0718748964120384
1970,27.4,12823,52.4,43.5,54.5,53.151,38.8,7686589,205.052,49,61,3.310543013394025,9.458995712459116,.3004863446977688,.1143406914654107,.3397804550399707,.1154507576271696,.039227910961269,.2951473259881197,.0871119440379374
1971,27.4,13218,52.9,45.5,55.7,54.54531,40.5,7723561,207.661,57,62,3.310543013394025,9.489334816030398,.2671013647517603,.1164103518444114,.3186781728207449,.1015557778323685,.0323636097190087,.3397804550399707,.1154507576271696
1972,28.3,13692,53.4,49.7,52.1,54.82417,41.8,8146839,209.896,76,63,3.342861804649192,9.524566999650077,.2449144064354386,.1731085935718724,.2202686092286107,.0485182602115064,.0106870496989804,.3186781728207449,.1015557778323685
1973,27.1,14496,77.09999999999999,59.6,89,84.66235,44.4,7961659,211.909,119,64,3.299533727885655,9.581628028282761,.5518638111311047,.2944161046331251,.6953969002939608,.4835768489384489,.3362778418057183,.2202686092286107,.0485182602115064
1974,27,14268,72.3,61.3,128.2,94.0321,49.3,8034339,213.854,76,65,3.295836866004329,9.565774546478782,.3829000481160745,.2178557618935214,.9556674634379253,.9133003006738782,.8728113817020997,.6953969002939608,.4835768489384489
1975,26.4,14393,81.40000000000001,61.9,115.2,91.13194,53.8,8019673,215.973,120,66,3.273364010152271,9.574497256262671,.414101805840756,.1402467125228117,.7613962810940522,.579724296863853,.441399923692002,.9556674634379253,.9133003006738782
1976,28.5,14873,76.90000000000001,59.9,107.6,93.86478,56.9,9012071,218.035,184,67,3.349904087274605,9.607302767592598,.3012105353793131,.0513811639891185,.6371253065953988,.4059286563042809,.2586274196037233,.7613962810940522,.579724296863853
1977,29,15256,77.3,59.5,88,95.25909,60.6,9279454,220.239,180,68,3.367295829986474,9.632728147280256,.2433990625181075,-.0183185805236847,.3730419214029377,.1391602751239956,.0519126164152167,.6371253065953988,.4059286563042809
1978,30.4,15845,85.59999999999999,73.09999999999999,92,94.4225,65.2,9902015,222.585,204,69,3.414442608412176,9.670609272125022,.272225814215089,.1143688978231254,.3443291081164329,.1185625346962581,.0408245318279862,.3730419214029377,.1391602751239956
