YEAR;Q;Y;PCHICK;PBEEF;PCOR;PF;CPI;QPROD;POP;EATEX;TIM
1950000;1430000;7863000;6950000;3120000;5980000;;2410000;2628500;1516840;;4100000
1951000;1510000;7953000;7290000;3650000;7210000;;2600000;2843000;1542870;;4200000
1952000;1530000;8071000;7310000;3620000;7130000;;2650000;2851200;1569540;;4300000
1953000;1520000;8319000;7130000;2850000;6270000;;2670000;2953900;1595650;;4400000
1954000;1580000;8276000;6440000;2740000;6340000;;2690000;3099700;1623910;;4500000
1955000;1470000;8675000;6700000;2710000;5610000;;2680000;2958100;1652750;;4600000
1956000;1680000;8930000;5880000;2670000;5770000;;2720000;3492200;1682210;;4700000
1957000;1760000;8988000;5730000;2870000;5160000;;2810000;3647100;1712740;;4800000
1958000;1930000;8922000;5660000;3340000;5010000;;2890000;4144800;1741410;;4900000
1959000;1980000;9167000;5160000;3440000;4860000;;2910000;4331118;1770730;;5000000
1960000;1920000;9210000;5240000;3350000;4600000;5153361;2960000;4333602;1806710;5000000;5100000
1961000;2060000;9361000;4740000;3300000;4510000;5186824;2990000;4944130;1836910;4900000;5200000
1962000;2060000;9666000;5000000;3420000;4480000;5209133;3020000;4997189;1865380;4600000;5300000
1963000;2110000;9886000;4930000;3380000;4980000;5097588;3060000;5269019;1892420;8000000;5400000
1964000;2130000;1045600;4820000;3280000;4990000;5075279;3100000;5443769;1918890;7800000;5500000
1965000;2290000;1096500;4980000;3440000;5180000;5097588;3150000;5871560;1943030;4900000;5600000
1966000;2450000;1141700;5270000;3620000;5450000;5248173;3240000;6437127;1965600;4400000;5700000
1967000;2510000;1177600;4880000;3640000;5170000;5186824;3340000;6552305;1987120;4500000;5800000
1968000;2520000;1219600;5120000;3790000;4550000;4952580;3480000;6653319;2007060;5900000;5900000
1969000;2630000;1245100;5410000;4170000;4930000;5036239;3670000;7174882;2026770;8700000;6000000
1970000;2740000;1282300;5240000;4350000;5450000;5315100;3880000;7686589;2050520;4900000;6100000
1971000;2740000;1321800;5290000;4550000;5570000;5454531;4050000;7723561;2076610;5700000;6200000
1972000;2830000;1369200;5340000;4970000;5210000;5482417;4180000;8146839;2098960;7600000;6300000
1973000;2710000;1449600;7710000;5960000;8900000;8466235;4440000;7961659;2119090;1190000;6400000
1974000;2700000;1426800;7230000;6130000;1282000;9403210;4930000;8034339;2138540;7600000;6500000
1975000;2640000;1439300;8140000;6190000;1152000;9113194;5380000;8019673;2159730;1200000;6600000
1976000;2850000;1487300;7690000;5990000;1076000;9386478;5690000;9012071;2180350;1840000;6700000
1977000;2900000;1525600;7730000;5950000;8800000;9525909;6060000;9279454;2202390;1800000;6800000
1978000;3040000;1584500;8560000;7310000;9200000;9442250;6520000;9902015;2225850;2040000;6900000
1979000;3280000;1612000;8720000;9310000;1045000;1055212;7260000;10926345;2250550;2100000;7000000
1980000;3270000;1606300;9440000;9840000;1192000;1153371;8240000;11251965;2277260;1940000;7100000
1981000;3370000;1626500;9650000;9920000;1259000;1266589;9090000;11868104;2299660;2390000;7200000
1982000;3390000;1632800;9480000;1006000;1000000;1170103;9650000;11995693;2321880;2120000;7300000
1983000;3400000;1667300;9630000;9910000;1284000;1243165;9960000;12325516;2343070;2240000;7400000
1984000;3530000;1779900;1090000;1003000;1297000;1300610;1039000;12920828;2363480;2260000;7500000
1985000;3640000;1822900;1045000;9820000;1059000;1097599;1076000;13519558;2384660;2090000;7600000
1986000;3720000;1864100;1154000;9880000;8350000;1044615;1096000;14180145;2406510;2780000;7700000
1987000;3940000;1887000;1133000;1063000;6770000;1031788;1136000;15413103;2428040;3260000;7800000
1988000;3960000;1952200;1251000;1121000;9710000;1483543;1183000;16006986;2450210;4010000;7900000
1989000;4090000;1983300;1371000;1193000;1024000;1430559;1240000;17227111;2473420;5830000;8000000
1990000;4240000;2005800;1349000;1288000;1009000;1309534;1307000;18429897;2499730;5640000;8100000
1991000;4410000;1987300;1317000;1324000;9700000;1266589;1362000;19591105;2533360;6670000;8200000
1992000;4650000;2022000;1319000;1323000;9600000;1253761;1403000;20903765;2566770;7860000;8300000
1993000;4820000;2023500;1380000;1371000;9290000;1313995;1445000;22014911;2600370;7800000;8400000
1994000;4880000;2050700;1401000;1360000;1001000;1364748;1482000;23666035;2632260;9800000;8500000
1995000;4820000;2079800;1422000;1349000;1090000;1384826;1524000;24827130;2663640;1183000;8600000
1996000;4880000;2107200;1526000;1345000;1585000;1743442;1569000;26123767;2694850;1291000;8700000
1997000;4950000;2147000;1585000;1368000;1101000;1577798;1605000;27041394;2727560;1443000;8800000
1998000;4980000;2235900;1596000;1365000;9170000;1289456;1630000;27612361;2759550;1543000;8900000
1999000;5290000;2267800;1618000;1392000;7820000;1028999;1666000;29741381;2791440;1674000;9000000
2000000;5320000;2350100;1629000;1481000;7640000;;1722000;30495171;2824890;1703000;9100000
2001000;5390000;2369200;1680000;1605000;7880000;;1771000;;2863620;1737000;9200000
